star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
HAT-P-14,HAT-P-14,,,205.0,11.0,11.0,
HAT-P-15,HAT-P-15,,,190.0,8.0,8.0,
HAT-P-16,HAT-P-16,,,235.0,10.0,10.0,
HAT-P-17,HAT-P-17,,,90.0,3.0,3.0,
HAT-P-18,HAT-P-18,,,166.0,9.0,9.0,
HAT-P-19,HAT-P-19,,,215.0,15.0,15.0,
HAT-P-2,HAT-P-2,,,118.0,8.0,8.0,
HAT-P-20,HAT-P-20,,,70.0,3.0,3.0,
HAT-P-21,HAT-P-21,,,254.0,19.0,19.0,
HAT-P-22,HAT-P-22,,,82.0,3.0,3.0,
HAT-P-23,HAT-P-23,,,393.0,25.0,25.0,
HAT-P-24,HAT-P-24,,,306.0,20.0,20.0,
HAT-P-25,HAT-P-25,,,297.0,13.0,13.0,
HAT-P-26,HAT-P-26,,,134.0,8.0,8.0,
HAT-P-27-WASP-40,HAT-P-27-WASP-40,,,204.0,14.0,14.0,
HAT-P-28,HAT-P-28,,,395.0,26.0,26.0,
HAT-P-29,HAT-P-29,,,322.0,21.0,21.0,
HAT-P-3,HAT-P-3,,,130.0,10.0,10.0,
HAT-P-30-WASP-51,HAT-P-30-WASP-51,,,193.0,8.0,8.0,
HAT-P-31,HAT-P-31,,,354.0,51.0,51.0,
HAT-P-32,HAT-P-32,,,320.0,16.0,16.0,
HAT-P-33,HAT-P-33,,,419.0,66.0,66.0,
HAT-P-34,HAT-P-34,,,257.0,17.0,17.0,
HAT-P-35,HAT-P-35,,,535.0,32.0,32.0,
HAT-P-36,HAT-P-36,,,317.0,17.0,17.0,
HAT-P-37,HAT-P-37,,,411.0,26.0,26.0,
HAT-P-38,HAT-P-38,,,249.0,19.0,19.0,
HAT-P-39,HAT-P-39,,,642.0,29.0,29.0,
HAT-P-4,HAT-P-4,,,310.0,30.0,30.0,
HAT-P-40,HAT-P-40,,,501.0,16.0,16.0,
HAT-P-41,HAT-P-41,,,344.0,8.0,12.0,
HAT-P-42,HAT-P-42,,,447.0,40.0,40.0,
HAT-P-43,HAT-P-43,,,543.0,18.0,18.0,
HAT-P-44,HAT-P-44,,,374.0,23.0,42.0,
HAT-P-45,HAT-P-45,,,305.0,17.0,35.0,
HAT-P-46,HAT-P-46,,,296.0,29.0,61.0,
HAT-P-49,HAT-P-49,,,322.0,24.0,13.0,
HAT-P-5,HAT-P-5,,,340.0,30.0,30.0,
HAT-P-50,HAT-P-50,,,597.0,21.0,21.0,
HAT-P-51,HAT-P-51,,,470.0,16.0,16.0,
HAT-P-52,HAT-P-52,,,385.0,21.0,21.0,
HAT-P-53,HAT-P-53,,,719.0,43.0,43.0,
HAT-P-54,HAT-P-54,,,135.8,3.5,3.5,
HAT-P-55,HAT-P-55,,,480.0,19.0,19.0,
HAT-P-56,HAT-P-56,,,310.5,7.1,7.1,
HAT-P-57,HAT-P-57,,,303.0,13.0,13.0,
HAT-P-6,HAT-P-6,,,200.0,20.0,20.0,
HAT-P-65,HAT-P-65,,,841.0,45.0,45.0,
HAT-P-66,HAT-P-66,,,927.0,49.0,75.0,
HAT-P-7,HAT-P-7,,,320.0,40.0,40.0,
HAT-P-8,HAT-P-8,,,230.0,15.0,15.0,
HAT-P-9,HAT-P-9,,,480.0,60.0,60.0,
HATS-1,HATS-1,,,303.0,23.0,23.0,
HATS-10,HATS-10,,,496.0,24.0,24.0,
HATS-11,HATS-11,,,906.0,41.0,41.0,
HATS-12,HATS-12,,,981.0,94.0,94.0,
HATS-13,HATS-13,,,476.0,12.0,12.0,
HATS-14,HATS-14,,,513.0,14.0,14.0,
HATS-15,HATS-15,,,689.0,23.0,23.0,
HATS-16,HATS-16,,,774.0,74.0,74.0,
HATS-17,HATS-17,,,339.0,16.0,22.0,
HATS-18,HATS-18,,,645.0,25.0,36.0,
HATS-19,HATS-19,,,780.0,110.0,110.0,
HATS-2,HATS-2,,,360.0,11.0,11.0,
HATS-20,HATS-20,,,454.0,22.0,30.0,
HATS-21,HATS-21,,,286.0,12.0,24.0,
HATS-22,HATS-22,,,207.9,6.6,8.9,
HATS-23,HATS-23,,,747.0,46.0,46.0,
