star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
HD 4203,HD 4203,,,77.5,,,
HD 4208,HD 4208,,,33.9,,,
HD 42618,HD 42618,,,23.5,0.3,0.3,
HD 4308,HD 4308,,,21.9,,,
HD 4313,HD 4313,,,137.0,14.0,14.0,
HD 43197,HD 43197,,,54.9,6.3,6.3,
HD 43691,HD 43691,,,93.2,9.0,9.0,
HD 44219,HD 44219,,,50.43,2.6,2.6,
HD 45184,HD 45184,,,21.9,0.2,0.2,
HD 45350,HD 45350,,,49.0,,,
HD 45364,HD 45364,,,32.6,1.0,1.0,
HD 45652,HD 45652,,,36.0,2.0,2.0,
HD 46375,HD 46375,,,33.4,,,
HD 47186,HD 47186,,,37.84,1.5,1.5,
HD 4732,HD 4732,,,56.5,3.2,3.2,
HD 47366,HD 47366,,,80.0,2.7,2.7,
HD 4747,HD 4747,,,18.69,0.19,0.19,
HD 47536,HD 47536,,,121.36,8.25,8.25,
HD 48265,HD 48265,,,87.4,,,
HD 49674,HD 49674,,,40.7,,,
HD 50499,HD 50499,,,47.26,,,
HD 50554,HD 50554,,,31.03,,,
HD 51608,HD 51608,,,34.8,0.6,0.6,
HD 52265,HD 52265,,,28.0,,,
HD 5319,HD 5319,,,100.0,10.0,10.0,
HD 5583,HD 5583,,,221.0,4.0,4.0,
HD 5608,HD 5608,,,58.2,2.8,2.8,
HD 564,HD 564,,,54.0,2.5,2.5,
HD 5891,HD 5891,,,251.0,76.0,76.0,
HD 60532,HD 60532,,,25.7,,,
HD 62509,HD 62509,,,10.34,1.0,1.0,
HD 63454,HD 63454,,,35.8,,,
HD 63765,HD 63765,,,32.6,0.7,0.7,
HD 6434,HD 6434,,,40.32,,,
HD 65216,HD 65216,,,34.3,,,
HD 66141,HD 66141,,,80.9,6.3,6.3,
HD 66428,HD 66428,,,55.0,3.8,3.8,
HD 67087,HD 67087,,,88.8,,,
HD 6718,HD 6718,,,55.9,2.2,2.2,
HD 68402,HD 68402,,,78.0,3.7,3.7,
HD 68988,HD 68988,,,58.0,,,
HD 69830,HD 69830,,,12.6,,,
HD 70642,HD 70642,,,28.8,,,
HD 7199,HD 7199,,,36.0,1.0,1.0,
HD 72659,HD 72659,,,49.8,2.0,2.0,
HD 72892,HD 72892,,,72.78,4.4,4.4,
HD 73256,HD 73256,,,36.5,,,
HD 73267,HD 73267,,,54.91,3.0,3.0,
HD 73526,HD 73526,,,99.0,,,
HD 73534,HD 73534,,,96.99,,,
HD 74156,HD 74156,,,64.56,4.9,4.9,
HD 7449,HD 7449,,,39.0,1.0,1.0,
HD 75289,HD 75289,,,28.94,,,
HD 75784,HD 75784,,,68.7,6.2,6.2,
HD 75898,HD 75898,,,80.58,,,
HD 76700,HD 76700,,,59.7,,,
HD 77065,HD 77065,,,31.7,,,
HD 77338,HD 77338,,,40.75,1.76,1.76,
HD 7924,HD 7924,,,16.8,0.1,0.1,
HD 79498,HD 79498,,,49.0,,,
HD 80606,HD 80606,,,58.4,15.0,15.0,
HD 81040,HD 81040,,,32.56,1.31,1.31,
HD 81688,HD 81688,,,88.26,8.0,8.0,
HD 82886,HD 82886,,,125.0,12.0,12.0,
HD 82943,HD 82943,,,27.46,,,
HD 83443,HD 83443,,,43.54,,,
HD 8535,HD 8535,,,52.5,1.6,1.6,
HD 85390,HD 85390,,,33.96,1.0,1.0,
HD 85512,HD 85512,,,11.15,,,
HD 8574,HD 8574,,,44.2,1.7,1.7,
HD 86081,HD 86081,,,91.0,,,
HD 86226,HD 86226,,,42.48,1.53,1.53,
HD 86264,HD 86264,,,72.6,,,
HD 8673,HD 8673,,,38.25,1.2,1.2,
HD 86950,HD 86950,,,169.0,22.0,22.0,
HD 87646 A,HD 87646 A,,,,,,
HD 87883,HD 87883,,,18.1,,,
HD 88133,HD 88133,,,74.5,,,
HD 89307,HD 89307,,,30.9,,,
HD 89744,HD 89744,,,40.0,,,
HD 90156,HD 90156,,,39.6,0.66,0.66,
HD 9174,HD 9174,,,78.93,3.86,3.86,
HD 92788,HD 92788,,,32.82,,,
HD 93083,HD 93083,,,28.9,,,
HD 93385,HD 93385,,,42.2,1.2,1.2,
HD 9446,HD 9446,,,53.0,3.0,3.0,
HD 95086,HD 95086,,,90.4,3.3,3.3,
HD 95089,HD 95089,,,139.0,16.0,16.0,
HD 95127,HD 95127,,,300.0,100.0,100.0,
HD 9578,HD 9578,,,57.24,2.9,2.9,
HD 95872,HD 95872,,,7.56,,,
HD 96063,HD 96063,,,158.0,20.0,20.0,
HD 96127,HD 96127,,,540.0,26.0,26.0,
HD 96167,HD 96167,,,84.0,9.0,9.0,
HD 96700,HD 96700,,,25.6,0.3,0.3,
HD 97658,HD 97658,,,21.1,0.33,0.33,
HD 98219,HD 98219,,,134.0,12.0,12.0,
HD 98649,HD 98649,,,40.3,1.3,1.3,
HD 99109,HD 99109,,,60.5,4.8,4.8,
HD 99492,HD 99492,,,18.0,1.14,1.14,
HD 99706,HD 99706,,,129.0,11.0,11.0,
HD169142,HD169142,,,145.0,,,
HII 1348,HII 1348,,,127.0,7.0,7.0,
HIP 105854,HIP 105854,,,80.84,,,
HIP 107773,HIP 107773,,,106.0,4.0,4.0,
HIP 109384,HIP 109384,,,56.2,2.7,2.7,
HIP 109600,HIP 109600,,,58.6,3.2,3.2,
HIP 116454,HIP 116454,,,55.2,5.4,5.4,
HIP 11915,HIP 11915,,,57.3,3.5,3.5,
HIP 12961,HIP 12961,,,23.0,0.9,0.9,
HIP 14810,HIP 14810,,,52.9,4.1,4.1,
HIP 41378,HIP 41378,,,116.0,18.0,18.0,
HIP 5158,HIP 5158,,,45.0,4.0,4.0,
HIP 57050,HIP 57050,,,11.0,0.4,0.4,
HIP 57274,HIP 57274,,,25.92,,,
HIP 63242,HIP 63242,,,135.0,8.9,8.9,
HIP 65407,HIP 65407,,,16.74,1.28,1.28,
HIP 65891,HIP 65891,,,136.0,1.0,1.0,
HIP 67851,HIP 67851,,,65.96,1.7,1.7,
HIP 68468,HIP 68468,,,87.8,9.0,9.0,
HIP 70849,HIP 70849,,,24.0,1.2,1.2,
HIP 73990,HIP 73990,,,125.0,15.0,15.0,
HIP 74865,HIP 74865,,,115.0,15.0,15.0,
HIP 74890,HIP 74890,,,91.6,5.3,5.3,
HIP 75458,HIP 75458,,,31.5,,,
HIP 77900,HIP 77900,,,,,,
HIP 78530,HIP 78530,,,156.7,13.0,13.0,
HIP 79431,HIP 79431,,,14.4,0.7,0.7,
HIP 8541,HIP 8541,,,169.0,17.0,17.0,
HIP 91258,HIP 91258,,,44.9,1.3,1.3,
HIP 97233,HIP 97233,,,106.5,7.9,7.9,
HN Peg,HN Peg,,,18.4,0.3,0.3,
HR 2562,HR 2562,,,33.63,0.48,0.48,
HR 3549,HR 3549,,,92.5,,,
HR 7329,HR 7329,,,48.0,,,
HR 810,HR 810,,,17.17,0.07,0.07,
 H2O, H2O,,,,,39.4,
HR 8799,HR 8799,,,39.4,1.0,1.0,
HU Aqr (AB),HU Aqr (AB),,,,,,
HW Vir (AB),HW Vir (AB),,,181.0,20.0,20.0,
J1433,J1433,,,,,,
K2-10,K2-10,,,,,,
K2-11,K2-11,,,2019.0,1728.0,71.0,
K2-12,K2-12,,,294.0,27.0,78.0,
K2-13,K2-13,,,290.0,18.0,34.0,
K2-14,K2-14,,,219.0,8.0,8.0,
K2-15,K2-15,,,437.0,22.0,43.0,
K2-16,K2-16,,,324.0,16.0,16.0,
K2-17,K2-17,,,134.0,6.0,5.0,
K2-18,K2-18,,,34.0,4.0,4.0,
K2-19,K2-19,,,291.0,20.0,33.0,
KE-24 ,KE-24 ,,,181.0,17.0,17.0,
K2-26,K2-26,,,,,,
K2-27,K2-27,,,,,,
K2-28,K2-28,,,53.0,8.0,8.0,
K2-3,K2-3,,,42.0,2.0,2.0,
K2-30,K2-30,,,323.0,14.0,14.0,
EPIC 205117205,EPIC 205117205,,,145.0,5.0,5.0,
K2-34,K2-34,,,377.0,20.0,20.0,
K2-39,K2-39,,,255.0,,,
K2-4,K2-4,,,218.0,10.0,11.0,
K2-5,K2-5,,,181.0,7.0,7.0,
K2-6,K2-6,,,343.0,33.0,52.0,
K2-7,K2-7,,,433.0,38.0,75.0,
K2-9,K2-9,,,66.0,7.0,11.0,
K2-95,K2-95,,,171.0,15.0,15.0,
EPIC 212803289,EPIC 212803289,,,604.0,14.0,24.0,
KELT-1,KELT-1,,,263.0,14.0,14.0,
KELT-10,KELT-10,,,183.0,14.0,14.0,
KELT-11,KELT-11,,,98.0,5.0,5.0,
KELT-12,KELT-12,,,360.0,25.0,25.0,
KELT-15,KELT-15,,,201.0,19.0,19.0,
KELT-17,KELT-17,,,210.0,10.0,10.0,
KELT-2 A,KELT-2 A,,,128.9,8.8,8.8,
KELT-3,KELT-3,,,178.0,16.0,16.0,
KELT-4 A,KELT-4 A,,,211.0,13.0,13.0,
KELT-6,KELT-6,,,,,,
KELT-7,KELT-7,,,129.0,8.0,8.0,
KELT-8,KELT-8,,,236.0,9.0,9.0,
KIC 10001893,KIC 10001893,,,,,,
KIC 10024862,KIC 10024862,,,,,,
KIC 10255705 	,KIC 10255705 	,,,,,,
KIC 10905746,KIC 10905746,,,,,,
KIC 11152511,KIC 11152511,,,,,,
KIC 12454613,KIC 12454613,,,,,,
KIC 12557548,KIC 12557548,,,470.0,,,
KIC 5010054,KIC 5010054,,,,,,
KIC 5094412,KIC 5094412,,,,,,
KIC 5522786,KIC 5522786,,,,,,
KIC 5732155,KIC 5732155,,,,,,
KIC 6185331,KIC 6185331,,,,,,
KIC 6372194,KIC 6372194,,,,,,
KIC 6436029,KIC 6436029,,,,,,
KIC 7917485,KIC 7917485,,,,,,
KIC 8012732,KIC 8012732,,,,,,
KIC 9413313,KIC 9413313,,,,,,
KIC 9662267,KIC 9662267,,,,,,
KIC 9704149,KIC 9704149,,,,,,
KMT-2015-1,KMT-2015-1,,,8200.0,900.0,900.0,
Kepler-418,Kepler-418,,,,,,
KOI-1257 A,KOI-1257 A,,,900.0,110.0,110.0,
Kepler-432,Kepler-432,,,874.0,30.0,30.0,
KOI-1843,KOI-1843,,,,,,
KOI-188,KOI-188,,,650.0,20.0,20.0,
KOI-192,KOI-192,,,1100.0,150.0,150.0,
KOI-195,KOI-195,,,880.0,30.0,30.0,
KOI-205,KOI-205,,,585.0,16.0,16.0,
KOI-206,KOI-206,,,,,,
KOI-2700,KOI-2700,,,,,,
KOI-368,KOI-368,,,1070.0,50.0,50.0,
KOI-415,KOI-415,,,,,,
KOI-4427,KOI-4427,,,240.0,32.0,39.0,
KOI-5833,KOI-5833,,,,,,
KOI-5929,KOI-5929,,,,,,
Kepler-51,Kepler-51,,,,,,
KOI-680,KOI-680,,,,,,
KOI-682,KOI-682,,,,,,
KOI-771,KOI-771,,,,,,
KOI-830,KOI-830,,,730.0,25.0,25.0,
Kapteyn's,Kapteyn's,,,3.91,0.01,0.01,
Kepler-10,Kepler-10,,,173.0,27.0,27.0,
Kepler-100,Kepler-100,,,310.34,9.63,0.49,
Kepler-1000,Kepler-1000,,,925.0,,,
Kepler-1001,Kepler-1001,,,1009.0,,,
Kepler-1002,Kepler-1002,,,425.0,,,
Kepler-1003,Kepler-1003,,,873.0,,,
Kepler-1004,Kepler-1004,,,1080.0,,,
Kepler-1005,Kepler-1005,,,515.0,,,
Kepler-1006,Kepler-1006,,,496.0,,,
Kepler-1007,Kepler-1007,,,365.0,,,
Kepler-1008,Kepler-1008,,,299.0,,,
Kepler-1009,Kepler-1009,,,281.0,,,
Kepler-101,Kepler-101,,,,,,
Kepler-1010,Kepler-1010,,,610.0,,,
Kepler-1011,Kepler-1011,,,860.0,,,
Kepler-1012,Kepler-1012,,,420.0,,,
Kepler-1013,Kepler-1013,,,433.0,,,
Kepler-1014,Kepler-1014,,,672.0,,,
Kepler-1015,Kepler-1015,,,932.0,,,
Kepler-1016,Kepler-1016,,,1239.0,,,
Kepler-1017,Kepler-1017,,,554.0,,,
Kepler-1018,Kepler-1018,,,894.0,,,
Kepler-1019,Kepler-1019,,,198.0,,,
Kepler-102,Kepler-102,,,,,,
Kepler-1020,Kepler-1020,,,446.0,,,
Kepler-1021,Kepler-1021,,,837.0,,,
Kepler-1022,Kepler-1022,,,455.0,,,
Kepler-1023,Kepler-1023,,,686.0,,,
Kepler-1024,Kepler-1024,,,1017.0,,,
Kepler-1025,Kepler-1025,,,716.0,,,
Kepler-1026,Kepler-1026,,,389.0,,,
Kepler-1027,Kepler-1027,,,291.0,,,
Kepler-1028,Kepler-1028,,,633.0,,,
Kepler-1029,Kepler-1029,,,422.0,,,
Kepler-103,Kepler-103,,,473.56,14.51,14.51,
Kepler-1030,Kepler-1030,,,795.0,,,
Kepler-1031,Kepler-1031,,,741.0,,,
Kepler-1032,Kepler-1032,,,607.0,,,
Kepler-1033,Kepler-1033,,,1425.0,,,
Kepler-1034,Kepler-1034,,,706.0,,,
Kepler-1035,Kepler-1035,,,408.0,,,
Kepler-1036,Kepler-1036,,,507.0,,,
Kepler-1037,Kepler-1037,,,451.0,,,
Kepler-1038,Kepler-1038,,,622.0,,,
Kepler-1039,Kepler-1039,,,324.0,,,
Kepler-104,Kepler-104,,,,,,
Kepler-1040,Kepler-1040,,,473.0,,,
Kepler-1041,Kepler-1041,,,979.0,,,
Kepler-1042,Kepler-1042,,,659.0,,,
Kepler-1043,Kepler-1043,,,838.0,,,
Kepler-1044,Kepler-1044,,,1507.0,,,
Kepler-1045,Kepler-1045,,,971.0,,,
Kepler-1046,Kepler-1046,,,518.0,,,
Kepler-1047,Kepler-1047,,,566.0,,,
Kepler-1048,Kepler-1048,,,415.0,,,
Kepler-1049,Kepler-1049,,,129.0,,,
Kepler-105,Kepler-105,,,,,,
Kepler-1050,Kepler-1050,,,555.0,,,
Kepler-1051,Kepler-1051,,,1021.0,,,
Kepler-1052,Kepler-1052,,,1051.0,,,
Kepler-1053,Kepler-1053,,,171.0,,,
Kepler-1054,Kepler-1054,,,1050.0,,,
Kepler-1055,Kepler-1055,,,422.0,,,
Kepler-1056,Kepler-1056,,,971.0,,,
Kepler-1057,Kepler-1057,,,1462.0,,,
Kepler-1058,Kepler-1058,,,525.0,,,
Kepler-1059,Kepler-1059,,,673.0,,,
Kepler-106,Kepler-106,,,,,,
Kepler-1060,Kepler-1060,,,861.0,,,
Kepler-1061,Kepler-1061,,,585.0,,,
Kepler-1062,Kepler-1062,,,388.0,,,
Kepler-1063,Kepler-1063,,,365.0,,,
Kepler-1064,Kepler-1064,,,374.0,,,
Kepler-1065,Kepler-1065,,,1078.0,,,
Kepler-1066,Kepler-1066,,,399.0,,,
Kepler-1067,Kepler-1067,,,689.0,,,
Kepler-1068,Kepler-1068,,,1532.0,,,
Kepler-1069,Kepler-1069,,,435.0,,,
Kepler-107,Kepler-107,,,,,,
Kepler-1070,Kepler-1070,,,1040.0,,,
Kepler-1071,Kepler-1071,,,964.0,,,
Kepler-1072,Kepler-1072,,,976.0,,,
Kepler-1073,Kepler-1073,,,837.0,,,
Kepler-1074,Kepler-1074,,,245.0,,,
Kepler-1075,Kepler-1075,,,265.0,,,
Kepler-1076,Kepler-1076,,,199.0,,,
Kepler-1077,Kepler-1077,,,1098.0,,,
Kepler-1078,Kepler-1078,,,1215.0,,,
Kepler-1079,Kepler-1079,,,481.0,,,
Kepler-108,Kepler-108,,,,,,
Kepler-1080,Kepler-1080,,,688.0,,,
Kepler-1081,Kepler-1081,,,425.0,,,
Kepler-1082,Kepler-1082,,,628.0,,,
Kepler-1083,Kepler-1083,,,912.0,,,
Kepler-1084,Kepler-1084,,,427.0,,,
Kepler-1085,Kepler-1085,,,1518.0,,,
Kepler-1086,Kepler-1086,,,464.0,,,
Kepler-1087,Kepler-1087,,,354.0,,,
Kepler-1088,Kepler-1088,,,300.0,,,
Kepler-1089,Kepler-1089,,,227.0,,,
Kepler-109,Kepler-109,,,464.73,15.28,14.88,
Kepler-1090,Kepler-1090,,,702.0,,,
Kepler-1091,Kepler-1091,,,915.0,,,
Kepler-1092,Kepler-1092,,,914.0,,,
Kepler-1093,Kepler-1093,,,848.0,,,
Kepler-1094,Kepler-1094,,,1371.0,,,
Kepler-1095,Kepler-1095,,,758.0,,,
Kepler-1096,Kepler-1096,,,344.0,,,
Kepler-1097,Kepler-1097,,,738.0,,,
Kepler-1098,Kepler-1098,,,876.0,,,
Kepler-1099,Kepler-1099,,,1209.0,,,
Kepler-11,Kepler-11,,,,,,
Kepler-110,Kepler-110,,,,,,
Kepler-1100,Kepler-1100,,,940.0,,,
Kepler-1101,Kepler-1101,,,897.0,,,
Kepler-1102,Kepler-1102,,,986.0,,,
Kepler-1103,Kepler-1103,,,921.0,,,
Kepler-1104,Kepler-1104,,,516.0,,,
Kepler-1105,Kepler-1105,,,369.0,,,
Kepler-1106,Kepler-1106,,,1168.0,,,
Kepler-1107,Kepler-1107,,,457.0,,,
Kepler-1108,Kepler-1108,,,764.0,,,
Kepler-1109,Kepler-1109,,,797.0,,,
Kepler-111,Kepler-111,,,,,,
Kepler-1110,Kepler-1110,,,726.0,,,
Kepler-1111,Kepler-1111,,,1142.0,,,
Kepler-1112,Kepler-1112,,,1734.0,,,
Kepler-1113,Kepler-1113,,,1127.0,,,
Kepler-1114,Kepler-1114,,,427.0,,,
Kepler-1115,Kepler-1115,,,935.0,,,
Kepler-1116,Kepler-1116,,,1017.0,,,
Kepler-1117,Kepler-1117,,,619.0,,,
Kepler-1118,Kepler-1118,,,818.0,,,
Kepler-1119,Kepler-1119,,,1288.0,,,
Kepler-112,Kepler-112,,,,,,
Kepler-1120,Kepler-1120,,,635.0,,,
Kepler-1121,Kepler-1121,,,529.0,,,
Kepler-1122,Kepler-1122,,,924.0,,,
Kepler-1123,Kepler-1123,,,796.0,,,
Kepler-1124,Kepler-1124,,,177.0,,,
Kepler-1125,Kepler-1125,,,910.0,,,
Kepler-1126,Kepler-1126,,,668.0,,,
Kepler-1127,Kepler-1127,,,996.0,,,
Kepler-1128,Kepler-1128,,,1163.0,,,
Kepler-1129,Kepler-1129,,,1258.0,,,
Kepler-113,Kepler-113,,,,,,
Kepler-1130,Kepler-1130,,,234.0,,,
Kepler-1131,Kepler-1131,,,1109.0,,,
Kepler-1132,Kepler-1132,,,940.0,,,
Kepler-1133,Kepler-1133,,,821.0,,,
Kepler-1134,Kepler-1134,,,997.0,,,
Kepler-1135,Kepler-1135,,,728.0,,,
Kepler-1136,Kepler-1136,,,545.0,,,
Kepler-1137,Kepler-1137,,,971.0,,,
Kepler-1138,Kepler-1138,,,1101.0,,,
Kepler-1139,Kepler-1139,,,555.0,,,
Kepler-114,Kepler-114,,,,,,
Kepler-1140,Kepler-1140,,,657.0,,,
Kepler-1141,Kepler-1141,,,365.0,,,
Kepler-1142,Kepler-1142,,,697.0,,,
Kepler-1143,Kepler-1143,,,632.0,,,
Kepler-1144,Kepler-1144,,,1012.0,,,
Kepler-1145,Kepler-1145,,,714.0,,,
Kepler-1146,Kepler-1146,,,694.0,,,
Kepler-1147,Kepler-1147,,,1476.0,,,
Kepler-1148,Kepler-1148,,,682.0,,,
Kepler-1149,Kepler-1149,,,1023.0,,,
Kepler-115,Kepler-115,,,,,,
Kepler-1150,Kepler-1150,,,373.0,,,
Kepler-1151,Kepler-1151,,,763.0,,,
Kepler-1152,Kepler-1152,,,184.0,,,
Kepler-1153,Kepler-1153,,,1185.0,,,
Kepler-1154,Kepler-1154,,,1531.0,,,
Kepler-1155,Kepler-1155,,,987.0,,,
Kepler-1156,Kepler-1156,,,759.0,,,
Kepler-1157,Kepler-1157,,,346.0,,,
Kepler-1158,Kepler-1158,,,1258.0,,,
Kepler-1159,Kepler-1159,,,1238.0,,,
Kepler-116,Kepler-116,,,,,,
Kepler-1160,Kepler-1160,,,1293.0,,,
Kepler-1161,Kepler-1161,,,428.0,,,
Kepler-1162,Kepler-1162,,,989.0,,,
Kepler-1163,Kepler-1163,,,487.0,,,
Kepler-1164,Kepler-1164,,,447.0,,,
Kepler-1165,Kepler-1165,,,1081.0,,,
Kepler-1166,Kepler-1166,,,648.0,,,
Kepler-1167,Kepler-1167,,,811.0,,,
Kepler-1168,Kepler-1168,,,911.0,,,
Kepler-1169,Kepler-1169,,,538.0,,,
Kepler-117,Kepler-117,,,,,,
Kepler-1170,Kepler-1170,,,911.0,,,
Kepler-1171,Kepler-1171,,,615.0,,,
Kepler-1172,Kepler-1172,,,1292.0,,,
Kepler-1173,Kepler-1173,,,402.0,,,
Kepler-1174,Kepler-1174,,,829.0,,,
Kepler-1175,Kepler-1175,,,1244.0,,,
Kepler-1176,Kepler-1176,,,1023.0,,,
Kepler-1177,Kepler-1177,,,829.0,,,
Kepler-1178,Kepler-1178,,,336.0,,,
Kepler-1179,Kepler-1179,,,454.0,,,
Kepler-118,Kepler-118,,,,,,
Kepler-1180,Kepler-1180,,,1284.0,,,
Kepler-1181,Kepler-1181,,,867.0,,,
Kepler-1182,Kepler-1182,,,1258.0,,,
Kepler-1183,Kepler-1183,,,1378.0,,,
Kepler-1184,Kepler-1184,,,1193.0,,,
Kepler-1185,Kepler-1185,,,296.0,,,
Kepler-1186,Kepler-1186,,,1112.0,,,
Kepler-1187,Kepler-1187,,,1029.0,,,
Kepler-1188,Kepler-1188,,,1202.0,,,
Kepler-1189,Kepler-1189,,,883.0,,,
Kepler-119,Kepler-119,,,,,,
Kepler-1190,Kepler-1190,,,384.0,,,
Kepler-1191,Kepler-1191,,,876.0,,,
Kepler-1192,Kepler-1192,,,1108.0,,,
Kepler-1193,Kepler-1193,,,695.0,,,
Kepler-1194,Kepler-1194,,,616.0,,,
Kepler-1195,Kepler-1195,,,812.0,,,
Kepler-1196,Kepler-1196,,,946.0,,,
Kepler-1197,Kepler-1197,,,505.0,,,
Kepler-1198,Kepler-1198,,,777.0,,,
Kepler-1199,Kepler-1199,,,540.0,,,
Kepler-12,Kepler-12,,,,,,
Kepler-120,Kepler-120,,,,,,
Kepler-1200,Kepler-1200,,,579.0,,,
Kepler-1201,Kepler-1201,,,1202.0,,,
Kepler-1202,Kepler-1202,,,1393.0,,,
Kepler-1203,Kepler-1203,,,269.0,,,
Kepler-1204,Kepler-1204,,,1282.0,,,
Kepler-1205,Kepler-1205,,,766.0,,,
Kepler-1206,Kepler-1206,,,807.0,,,
Kepler-1207,Kepler-1207,,,946.0,,,
Kepler-1208,Kepler-1208,,,877.0,,,
Kepler-1209,Kepler-1209,,,558.0,,,
Kepler-121,Kepler-121,,,,,,
Kepler-1210,Kepler-1210,,,1155.0,,,
Kepler-1211,Kepler-1211,,,1486.0,,,
Kepler-1212,Kepler-1212,,,1304.0,,,
Kepler-1213,Kepler-1213,,,685.0,,,
Kepler-1214,Kepler-1214,,,757.0,,,
Kepler-1215,Kepler-1215,,,701.0,,,
Kepler-1216,Kepler-1216,,,1124.0,,,
Kepler-1217,Kepler-1217,,,1363.0,,,
Kepler-1218,Kepler-1218,,,667.0,,,
Kepler-1219,Kepler-1219,,,622.0,,,
Kepler-122,Kepler-122,,,,,,
Kepler-1220,Kepler-1220,,,958.0,,,
Kepler-1221,Kepler-1221,,,909.0,,,
Kepler-1222,Kepler-1222,,,455.0,,,
Kepler-1223,Kepler-1223,,,455.0,,,
Kepler-1224,Kepler-1224,,,578.0,,,
Kepler-1225,Kepler-1225,,,1241.0,,,
Kepler-1226,Kepler-1226,,,779.0,,,
Kepler-1227,Kepler-1227,,,667.0,,,
Kepler-1228,Kepler-1228,,,547.0,,,
Kepler-1229,Kepler-1229,,,236.0,,,
Kepler-123,Kepler-123,,,,,,
Kepler-1230,Kepler-1230,,,1433.0,,,
Kepler-1231,Kepler-1231,,,948.0,,,
Kepler-1232,Kepler-1232,,,740.0,,,
Kepler-1233,Kepler-1233,,,1281.0,,,
Kepler-1234,Kepler-1234,,,866.0,,,
Kepler-1235,Kepler-1235,,,533.0,,,
Kepler-1236,Kepler-1236,,,1078.0,,,
Kepler-1237,Kepler-1237,,,1121.0,,,
Kepler-1238,Kepler-1238,,,1533.0,,,
Kepler-1239,Kepler-1239,,,2511.0,,,
Kepler-124,Kepler-124,,,,,,
Kepler-1240,Kepler-1240,,,614.0,,,
Kepler-1241,Kepler-1241,,,936.0,,,
Kepler-1242,Kepler-1242,,,682.0,,,
Kepler-1243,Kepler-1243,,,877.0,,,
Kepler-1244,Kepler-1244,,,764.0,,,
Kepler-1245,Kepler-1245,,,861.0,,,
Kepler-1246,Kepler-1246,,,435.0,,,
Kepler-1247,Kepler-1247,,,1094.0,,,
Kepler-1248,Kepler-1248,,,540.0,,,
Kepler-1249,Kepler-1249,,,1674.0,,,
Kepler-125,Kepler-125,,,,,,
Kepler-1250,Kepler-1250,,,1371.0,,,
Kepler-1251,Kepler-1251,,,863.0,,,
Kepler-1252,Kepler-1252,,,828.0,,,
Kepler-1253,Kepler-1253,,,390.0,,,
Kepler-1254,Kepler-1254,,,676.0,,,
Kepler-1255,Kepler-1255,,,1344.0,,,
Kepler-1256,Kepler-1256,,,862.0,,,
Kepler-1257,Kepler-1257,,,1081.0,,,
Kepler-1258,Kepler-1258,,,651.0,,,
Kepler-1259,Kepler-1259,,,704.0,,,
Kepler-126,Kepler-126,,,,,,
Kepler-1260,Kepler-1260,,,1041.0,,,
Kepler-1261,Kepler-1261,,,795.0,,,
Kepler-1262,Kepler-1262,,,1153.0,,,
Kepler-1263,Kepler-1263,,,695.0,,,
Kepler-1264,Kepler-1264,,,814.0,,,
Kepler-1265,Kepler-1265,,,581.0,,,
Kepler-1266,Kepler-1266,,,901.0,,,
Kepler-1267,Kepler-1267,,,1628.0,,,
Kepler-1268,Kepler-1268,,,1406.0,,,
Kepler-1269,Kepler-1269,,,710.0,,,
Kepler-127,Kepler-127,,,,,,
Kepler-1270,Kepler-1270,,,1204.0,,,
Kepler-1271,Kepler-1271,,,885.0,,,
Kepler-1272,Kepler-1272,,,896.0,,,
Kepler-1273,Kepler-1273,,,1355.0,,,
Kepler-1274,Kepler-1274,,,609.0,,,
Kepler-1275,Kepler-1275,,,1280.0,,,
Kepler-1276,Kepler-1276,,,587.0,,,
Kepler-1277,Kepler-1277,,,606.0,,,
Kepler-1278,Kepler-1278,,,743.0,,,
Kepler-1279,Kepler-1279,,,1017.0,,,
Kepler-128,Kepler-128,,,,,,
Kepler-1280,Kepler-1280,,,1006.0,,,
Kepler-1281,Kepler-1281,,,1090.0,,,
Kepler-1282,Kepler-1282,,,1126.0,,,
Kepler-1283,Kepler-1283,,,1452.0,,,
Kepler-1284,Kepler-1284,,,852.0,,,
Kepler-1285,Kepler-1285,,,364.0,,,
Kepler-1286,Kepler-1286,,,1150.0,,,
Kepler-1287,Kepler-1287,,,1027.0,,,
Kepler-1288,Kepler-1288,,,715.0,,,
Kepler-1289,Kepler-1289,,,1059.0,,,
Kepler-129,Kepler-129,,,,,,
Kepler-1290,Kepler-1290,,,1321.0,,,
Kepler-1291,Kepler-1291,,,982.0,,,
Kepler-1292,Kepler-1292,,,1406.0,,,
Kepler-1293,Kepler-1293,,,770.0,,,
Kepler-1294,Kepler-1294,,,1120.0,,,
Kepler-1295,Kepler-1295,,,1257.0,,,
Kepler-1296,Kepler-1296,,,631.0,,,
Kepler-1297,Kepler-1297,,,996.0,,,
Kepler-1298,Kepler-1298,,,498.0,,,
Kepler-1299,Kepler-1299,,,1352.0,,,
" KOI-13.01"""," KOI-13.01""",,,,,,
Kepler-130,Kepler-130,,,,,,
Kepler-1300,Kepler-1300,,,757.0,,,
Kepler-1301,Kepler-1301,,,816.0,,,
Kepler-1302,Kepler-1302,,,727.0,,,
Kepler-1303,Kepler-1303,,,905.0,,,
Kepler-1304,Kepler-1304,,,682.0,,,
