star_name,star_name,Right ascension,Declination,star_distance,star_distance_error_min,star_distance_error_max,source (xml)
HAT-P-24,hat-p-24,,,306.0,20.0,20.0,
HAT-P-25,hat-p-25,,,297.0,13.0,13.0,
HAT-P-26,hat-p-26,,,134.0,8.0,8.0,
HAT-P-27-WASP-40,hat-p-27-wasp-40,,,204.0,14.0,14.0,
HAT-P-28,hat-p-28,,,395.0,26.0,26.0,
HAT-P-29,hat-p-29,,,322.0,21.0,21.0,
HAT-P-3,hat-p-3,,,130.0,10.0,10.0,
HAT-P-30-WASP-51,hat-p-30-wasp-51,,,193.0,8.0,8.0,
HAT-P-31,hat-p-31,,,354.0,51.0,51.0,
HAT-P-32,hat-p-32,,,320.0,16.0,16.0,
HAT-P-33,hat-p-33,,,419.0,66.0,66.0,
HAT-P-34,hat-p-34,,,257.0,17.0,17.0,
HAT-P-35,hat-p-35,,,535.0,32.0,32.0,
HAT-P-36,hat-p-36,,,317.0,17.0,17.0,
HAT-P-37,hat-p-37,,,411.0,26.0,26.0,
HAT-P-38,hat-p-38,,,249.0,19.0,19.0,
HAT-P-39,hat-p-39,,,642.0,29.0,29.0,
HAT-P-4,hat-p-4,,,310.0,30.0,30.0,
HAT-P-40,hat-p-40,,,501.0,16.0,16.0,
HAT-P-41,hat-p-41,,,344.0,8.0,12.0,
HAT-P-42,hat-p-42,,,447.0,40.0,40.0,
HAT-P-43,hat-p-43,,,543.0,18.0,18.0,
HAT-P-44,hat-p-44,,,374.0,23.0,42.0,
HAT-P-45,hat-p-45,,,305.0,17.0,35.0,
HAT-P-46,hat-p-46,,,296.0,29.0,61.0,
HAT-P-49,hat-p-49,,,322.0,24.0,13.0,
HAT-P-5,hat-p-5,,,340.0,30.0,30.0,
HAT-P-50,hat-p-50,,,597.0,21.0,21.0,
HAT-P-51,hat-p-51,,,470.0,16.0,16.0,
HAT-P-52,hat-p-52,,,385.0,21.0,21.0,
HAT-P-53,hat-p-53,,,719.0,43.0,43.0,
HAT-P-54,hat-p-54,,,135.8,3.5,3.5,
HAT-P-55,hat-p-55,,,480.0,19.0,19.0,
HAT-P-56,hat-p-56,,,310.5,7.1,7.1,
HAT-P-57,hat-p-57,,,303.0,13.0,13.0,
HAT-P-6,hat-p-6,,,200.0,20.0,20.0,
HAT-P-65,hat-p-65,,,841.0,45.0,45.0,
HAT-P-66,hat-p-66,,,927.0,49.0,75.0,
HAT-P-7,hat-p-7,,,320.0,40.0,40.0,
HAT-P-8,hat-p-8,,,230.0,15.0,15.0,
HAT-P-9,hat-p-9,,,480.0,60.0,60.0,
HATS-1,hats-1,,,303.0,23.0,23.0,
HATS-10,hats-10,,,496.0,24.0,24.0,
HATS-11,hats-11,,,906.0,41.0,41.0,
HATS-12,hats-12,,,981.0,94.0,94.0,
HATS-13,hats-13,,,476.0,12.0,12.0,
HATS-14,hats-14,,,513.0,14.0,14.0,
HATS-15,hats-15,,,689.0,23.0,23.0,
HATS-16,hats-16,,,774.0,74.0,74.0,
HATS-17,hats-17,,,339.0,16.0,22.0,
HATS-18,hats-18,,,645.0,25.0,36.0,
HATS-19,hats-19,,,780.0,110.0,110.0,
HATS-2,hats-2,,,360.0,11.0,11.0,
HATS-20,hats-20,,,454.0,22.0,30.0,
HATS-21,hats-21,,,286.0,12.0,24.0,
HATS-22,hats-22,,,207.9,6.6,8.9,
HATS-23,hats-23,,,747.0,46.0,46.0,
HATS-24,hats-24,,,510.0,15.0,15.0,
HATS-25,hats-25,,,466.0,30.0,30.0,
HATS-26,hats-26,,,907.0,49.0,69.0,
HATS-27,hats-27,,,840.0,51.0,80.0,
HATS-28,hats-28,,,521.0,25.0,25.0,
HATS-29,hats-29,,,351.0,15.0,15.0,
HATS-3,hats-3,,,453.0,11.0,11.0,
HATS-30,hats-30,,,339.0,16.0,16.0,
HATS-31,hats-31,,,872.0,84.0,84.0,
HATS-32,hats-32,,,839.0,55.0,77.0,
HATS-33,hats-33,,,355.0,12.0,12.0,
HATS-34,hats-34,,,532.0,32.0,32.0,
HATS-35,hats-35,,,557.0,17.0,22.0,
HATS-4,hats-4,,,420.0,12.0,12.0,
HATS-5,hats-5,,,257.0,8.0,8.0,
