star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
CoRoT-13,corot-13,1.09,0.02,0.02,1.01,0.03,0.03,1.64,1.52,1.52,1.52,1.52,0.01,0.07,0.07,5945.0,90.0,90.0,,15.04,,,
CoRoT-14,corot-14,1.13,0.09,0.09,1.21,0.08,0.08,4.2,3.8,3.8,3.8,3.8,0.05,0.15,0.15,6035.0,100.0,100.0,,16.03,,,
CoRoT-15,corot-15,,,,,,,,,,,,,,,,,,,,,,
CoRoT-16,corot-16,1.098,0.078,0.078,1.19,0.14,0.14,6.73,2.8,2.8,2.8,2.8,0.19,0.06,0.06,5650.0,100.0,100.0,,15.64,,,
CoRoT-17,corot-17,1.04,0.1,0.1,1.59,0.07,0.07,10.7,1.0,1.0,1.0,1.0,0.0,0.1,0.1,5740.0,80.0,80.0,,15.46,,,
CoRoT-18,corot-18,0.95,0.15,0.15,1.0,0.13,0.13,,,,,,-0.1,0.1,0.1,5440.0,100.0,100.0,,14.99,,,
CoRoT-19,corot-19,1.21,0.06,0.06,1.65,0.04,0.04,5.0,1.0,1.0,1.0,1.0,-0.02,0.1,0.1,6090.0,70.0,70.0,,14.78,,,
CoRoT-2,corot-2,0.97,0.06,0.06,0.902,0.018,0.018,,,,,,-0.04,0.08,0.08,5575.0,66.0,66.0,,12.57,,,
CoRoT-20,corot-20,1.14,0.08,0.08,0.92,,,0.1,0.04,0.04,0.04,0.04,0.14,0.12,0.12,5880.0,90.0,90.0,,14.66,,,
CoRoT-21,corot-21,1.29,0.09,0.09,1.945,0.21,0.21,4.1,0.5,0.5,0.5,0.5,0.0,0.1,0.1,6200.0,100.0,100.0,,16.0,,,
CoRoT-22,corot-22,1.099,0.049,0.049,1.136,0.09,0.038,3.3,2.0,2.0,2.0,2.0,0.17,0.12,0.07,5939.0,120.0,54.0,,11.93,,,
CoRoT-23,corot-23,1.14,0.08,0.08,1.61,0.18,0.18,7.2,1.0,1.0,1.0,1.0,0.05,0.1,0.1,5900.0,100.0,100.0,,15.63,,,
CoRoT-24,corot-24,0.91,0.09,0.09,0.86,0.09,0.09,11.0,,,,,0.3,0.25,0.25,4950.0,150.0,150.0,,,,,
CoRoT-25,corot-25,1.09,0.05,0.11,1.19,0.03,0.14,5.2,1.3,1.3,1.3,1.3,-0.01,0.13,0.13,6040.0,90.0,90.0,,15.0,,,
CoRoT-26,corot-26,1.09,0.06,0.06,1.79,0.09,0.18,8.6,1.8,0.9,1.8,0.9,0.01,0.13,0.13,5590.0,100.0,100.0,,15.76,,,
