star_name,star_name,star_mass,star_mass_error_min,star_mass_error_max,star_radius,star_radius_error_min,star_radius_error_max,star_age,star_age_error_min,star_age_error_max,star_age_error_min,star_age_error_max,star_metallicity,star_metallicity_error_min,star_metallicity_error_max,star_teff,star_teff_error_min,star_teff_error_max,Spectral type,mag_v,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
Kepler-1595,kepler-1595,0.84,0.04,0.04,0.8,0.04,0.05,,,,,,-0.02,0.166,0.152,5203.0,66.07,61.17,,,,,
Kepler-1596,kepler-1596,0.95,0.07,0.05,0.92,0.07,0.11,,,,,,-0.11,0.213,0.162,5706.0,66.32,76.54,,,,,
Kepler-1597,kepler-1597,1.25,0.11,0.2,1.39,0.21,0.61,,,,,,0.02,0.184,0.125,6377.0,114.19,131.93,,,,,
Kepler-1598,kepler-1598,1.07,0.06,0.07,1.09,0.1,0.31,,,,,,0.04,0.16,0.145,5940.0,88.75,75.0,,,,,
Kepler-1599,kepler-1599,0.99,0.05,0.06,0.99,0.09,0.18,,,,,,0.02,0.159,0.133,5767.0,125.25,97.64,,,,,
Kepler-16 (AB),kepler-16(ab),0.8499,0.017,0.017,0.65,0.0,0.0,,,,,,-0.3,0.2,0.2,4450.0,150.0,150.0,,12.0,,,
Kepler-160,kepler-160,,,,0.88,0.43,0.43,,,,,,-0.361,,,5857.0,200.0,200.0,,,,,
Kepler-1600,kepler-1600,0.86,0.04,0.04,0.82,0.04,0.05,,,,,,0.07,0.146,0.144,5214.0,91.43,66.69,,,,,
Kepler-1601,kepler-1601,1.04,0.06,0.07,1.07,0.12,0.31,,,,,,0.05,0.154,0.145,5869.0,118.62,90.84,,,,,
Kepler-1602,kepler-1602,1.22,0.11,0.2,1.36,0.22,0.58,,,,,,0.02,0.168,0.119,6296.0,152.7,217.69,,,,,
Kepler-1603,kepler-1603,1.21,0.1,0.15,1.31,0.18,0.48,,,,,,0.07,0.141,0.14,6241.0,168.54,116.66,,,,,
Kepler-1604,kepler-1604,0.81,0.04,0.03,0.76,0.03,0.03,,,,,,0.02,0.164,0.151,4976.0,51.36,49.62,,,,,
Kepler-1605,kepler-1605,0.86,0.04,0.04,0.82,0.05,0.06,,,,,,-0.01,0.157,0.15,5280.0,59.11,56.11,,,,,
Kepler-1606,kepler-1606,0.9,0.04,0.04,0.86,0.05,0.08,,,,,,0.01,0.162,0.144,5422.0,63.5,59.86,,,,,
Kepler-1607,kepler-1607,1.14,0.1,0.14,1.21,0.18,0.43,,,,,,0.05,0.146,0.135,6116.0,199.25,118.51,,,,,
Kepler-1608,kepler-1608,0.75,0.07,0.05,0.72,0.07,0.05,,,,,,-0.24,0.239,0.201,4992.0,72.99,119.01,,,,,
Kepler-1609,kepler-1609,1.18,0.09,0.16,1.27,0.17,0.51,,,,,,0.1,0.126,0.145,6132.0,146.65,88.96,,,,,
Kepler-161,kepler-161,0.77,,,0.81,0.05,0.05,,,,,,-0.093,,,5078.0,100.0,100.0,,,,,
Kepler-1610,kepler-1610,0.91,0.04,0.04,0.87,0.04,0.09,,,,,,0.1,0.145,0.154,5383.0,82.73,61.72,,,,,
Kepler-1611,kepler-1611,0.94,0.05,0.04,0.93,0.07,0.17,,,,,,0.01,0.172,0.135,5605.0,122.47,89.65,,,,,
Kepler-1612,kepler-1612,0.96,0.05,0.05,0.94,0.07,0.16,,,,,,0.03,0.166,0.14,5643.0,130.31,104.98,,,,,
Kepler-1613,kepler-1613,1.08,0.07,0.08,1.12,0.12,0.24,,,,,,0.01,0.174,0.152,6005.0,111.57,92.89,,,,,
Kepler-1614,kepler-1614,0.79,0.06,0.05,0.76,0.07,0.05,,,,,,-0.17,0.222,0.173,5121.0,46.14,50.38,,,,,
Kepler-1615,kepler-1615,1.04,0.06,0.06,1.05,0.09,0.24,,,,,,0.06,0.159,0.147,5865.0,105.58,85.98,,,,,
Kepler-1616,kepler-1616,1.21,0.1,0.19,1.34,0.19,0.62,,,,,,0.02,0.159,0.127,6266.0,92.78,93.46,,,,,
Kepler-1617,kepler-1617,1.15,0.08,0.13,1.22,0.15,0.38,,,,,,0.01,0.165,0.123,6167.0,77.96,84.79,,,,,
Kepler-1618,kepler-1618,1.41,0.15,0.22,1.65,0.29,0.68,,,,,,0.04,0.161,0.13,6620.0,143.89,213.78,,,,,
Kepler-1619,kepler-1619,1.0,0.07,0.06,1.0,0.09,0.19,,,,,,-0.07,0.22,0.147,5852.0,80.99,90.66,,,,,
Kepler-162,kepler-162,,,,0.96,0.51,0.51,,,,,,-0.301,,,5816.0,200.0,200.0,,,,,
Kepler-1620,kepler-1620,1.15,0.1,0.16,1.23,0.18,0.48,,,,,,0.03,0.156,0.134,6157.0,167.55,120.8,,,,,
Kepler-1621,kepler-1621,1.15,0.11,0.2,1.24,0.2,0.46,,,,,,0.03,0.16,0.133,6158.0,219.74,276.88,,,,,
Kepler-1622,kepler-1622,1.31,0.13,0.22,1.5,0.26,0.69,,,,,,0.04,0.145,0.133,6436.0,172.76,154.47,,,,,
Kepler-1623,kepler-1623,1.0,0.07,0.07,1.0,0.11,0.23,,,,,,0.04,0.171,0.143,5772.0,187.15,140.28,,,,,
Kepler-1624,kepler-1624,0.5,0.04,0.03,0.47,0.04,0.03,,,,,,0.06,0.118,0.112,3636.0,53.35,58.98,,,,,
Kepler-1625,kepler-1625,0.96,0.06,0.06,0.94,0.08,0.13,,,,,,0.01,0.189,0.134,5677.0,162.14,107.4,,,,,
Kepler-1626,kepler-1626,1.51,0.2,0.21,1.85,0.39,0.6,,,,,,0.04,0.147,0.127,6826.0,316.8,286.4,,,,,
Kepler-1627,kepler-1627,0.87,0.06,0.05,0.84,0.07,0.09,,,,,,-0.1,0.177,0.161,5445.0,121.15,93.89,,,,,
Kepler-1628,kepler-1628,0.55,0.03,0.04,0.52,0.03,0.04,,,,,,0.17,0.107,0.104,3724.0,48.58,65.64,,,,,
Kepler-1629,kepler-1629,1.01,0.05,0.05,1.01,0.08,0.19,,,,,,0.05,0.156,0.147,5776.0,74.65,68.39,,,,,
Kepler-163,kepler-163,0.96,,,0.92,0.38,0.38,,,,,,-0.016,,,5776.0,200.0,200.0,,,,,
Kepler-1630,kepler-1630,0.66,0.03,0.05,0.63,0.02,0.05,,,,,,-0.46,0.105,0.225,4736.0,64.28,97.3,,,,,
Kepler-1631,kepler-1631,0.97,0.06,0.05,0.95,0.08,0.13,,,,,,0.04,0.17,0.151,5679.0,148.91,101.54,,,,,
Kepler-1632,kepler-1632,1.12,0.1,0.14,1.19,0.17,0.4,,,,,,0.0,0.194,0.131,6137.0,176.47,159.61,,,,,
Kepler-1633,kepler-1633,1.2,0.09,0.17,1.32,0.18,0.54,,,,,,0.02,0.163,0.128,6256.0,118.36,119.67,,,,,
Kepler-1634,kepler-1634,0.92,0.05,0.05,0.89,0.06,0.1,,,,,,0.02,0.162,0.147,5474.0,144.37,149.64,,,,,
Kepler-1635,kepler-1635,0.89,0.04,0.04,0.85,0.04,0.08,,,,,,0.06,0.158,0.161,5347.0,53.97,51.14,,,,,
Kepler-1636,kepler-1636,1.01,0.06,0.08,1.02,0.11,0.23,,,,,,0.03,0.155,0.13,5797.0,166.58,171.84,,,,,
Kepler-1637,kepler-1637,1.02,0.05,0.06,1.02,0.09,0.2,,,,,,0.07,0.158,0.153,5789.0,94.94,79.58,,,,,
Kepler-1638,kepler-1638,0.97,0.06,0.05,0.95,0.08,0.17,,,,,,-0.01,0.188,0.141,5710.0,111.43,96.7,,,,,
Kepler-1639,kepler-1639,1.12,0.08,0.11,1.18,0.14,0.34,,,,,,-0.03,0.184,0.136,6150.0,82.94,91.49,,,,,
Kepler-164,kepler-164,1.11,,,1.15,0.22,0.22,,,,,,-0.125,,,5888.0,113.0,113.0,,,,,
Kepler-1640,kepler-1640,1.27,0.1,0.21,1.43,0.21,0.65,,,,,,0.1,0.132,0.152,6324.0,142.31,102.05,,,,,
Kepler-1641,kepler-1641,1.12,0.12,0.16,1.19,0.19,0.4,,,,,,-0.02,0.207,0.135,6152.0,233.57,173.97,,,,,
Kepler-1642,kepler-1642,0.88,0.05,0.06,0.84,0.06,0.09,,,,,,-0.01,0.167,0.143,5355.0,191.86,178.89,,,,,
Kepler-1643,kepler-1643,0.92,0.05,0.04,0.88,0.05,0.09,,,,,,-0.01,0.171,0.137,5508.0,48.8,58.66,,,,,
Kepler-1644,kepler-1644,0.89,0.05,0.05,0.86,0.06,0.09,,,,,,-0.1,0.177,0.167,5499.0,63.1,66.43,,,,,
Kepler-1645,kepler-1645,1.02,0.06,0.06,1.02,0.1,0.24,,,,,,0.04,0.158,0.138,5812.0,151.42,119.73,,,,,
Kepler-1646,kepler-1646,0.24,0.06,0.06,0.26,0.05,0.05,,,,,,0.04,0.131,0.127,3299.0,41.07,36.22,,,,,
Kepler-1647 (AB),kepler-1647(ab),2.1885,0.01,0.01,1.79,0.006,0.006,,,,,,,,,6210.0,100.0,100.0,,13.78,,,
Kepler-165,kepler-165,,,,0.77,0.47,0.47,,,,,,-0.28,,,5211.0,200.0,200.0,,,,,
Kepler-166,kepler-166,,,,0.74,0.38,0.38,,,,,,-0.286,,,5413.0,200.0,200.0,,,,,
Kepler-167,kepler-167,0.76,,,0.7,0.04,0.04,,,,,,0.052,,,4796.0,100.0,100.0,,,,,
Kepler-168,kepler-168,,,,1.11,0.5,0.5,,,,,,-0.012,,,6282.0,200.0,200.0,,,,,
Kepler-169,kepler-169,0.86,,,0.76,0.05,0.05,,,,,,0.238,,,4997.0,100.0,100.0,,,,,
Kepler-17,kepler-17,1.16,0.06,0.06,1.05,0.03,0.03,1.78,inf,nan,inf,nan,0.26,0.1,0.1,5781.0,85.0,85.0,,14.0,,,
Kepler-170,kepler-170,,,,1.03,0.06,0.06,,,,,,0.234,,,5679.0,57.0,57.0,,,,,
Kepler-171,kepler-171,,,,0.84,0.38,0.38,,,,,,-0.151,,,5642.0,200.0,200.0,,,,,
Kepler-172,kepler-172,0.86,,,1.08,0.19,0.19,,,,,,0.012,,,5526.0,100.0,100.0,,,,,
Kepler-173,kepler-173,0.78,,,0.95,0.47,0.47,,,,,,-0.786,,,6031.0,200.0,200.0,,,,,
Kepler-174,kepler-174,,,,0.62,0.03,0.03,,,,,,-0.556,,,4880.0,126.0,126.0,,,,,
Kepler-175,kepler-175,1.04,,,1.01,0.5,0.5,,,,,,-0.023,,,6064.0,200.0,200.0,,,,,
Kepler-176,kepler-176,,,,0.89,0.46,0.46,,,,,,0.072,,,5232.0,200.0,200.0,,,,,
Kepler-177,kepler-177,0.93,0.49,0.28,0.98,0.05,0.05,,,,,,0.091,,,5942.0,,,,15.0,,,
Kepler-178,kepler-178,,,,1.07,0.45,0.45,,,,,,-0.188,,,5676.0,200.0,200.0,,,,,
Kepler-179,kepler-179,,,,0.76,0.31,0.31,,,,,,-0.01,,,5302.0,200.0,200.0,,,,,
Kepler-18,kepler-18,0.972,0.042,0.042,1.108,0.051,0.051,10.0,2.3,2.3,2.3,2.3,0.2,0.04,0.04,5383.0,44.0,44.0,,14.0,,,
Kepler-180,kepler-180,0.84,,,1.06,0.47,0.47,,,,,,-0.194,,,5731.0,200.0,200.0,,,,,
Kepler-181,kepler-181,,,,0.75,0.37,0.37,,,,,,-0.162,,,5333.0,200.0,200.0,,,,,
Kepler-182,kepler-182,1.14,,,1.15,0.51,0.51,,,,,,0.077,,,6250.0,200.0,200.0,,,,,
Kepler-183,kepler-183,,,,0.96,0.41,0.41,,,,,,0.026,,,5888.0,200.0,200.0,,,,,
Kepler-184,kepler-184,,,,0.87,0.49,0.49,,,,,,-0.338,,,5788.0,200.0,200.0,,,,,
Kepler-185,kepler-185,0.79,,,0.81,0.46,0.46,,,,,,-0.051,,,5208.0,200.0,200.0,,,,,
Kepler-186,kepler-186,0.478,0.055,0.055,0.472,0.052,0.052,,,,,,-0.28,0.1,0.1,3788.0,54.0,54.0,,,,,
Kepler-187,kepler-187,0.85,,,1.29,0.25,0.25,,,,,,-0.345,,,6105.0,129.0,129.0,,,,,
Kepler-188,kepler-188,,,,1.14,0.51,0.51,,,,,,0.1,,,6021.0,200.0,200.0,,,,,
Kepler-189,kepler-189,0.79,,,0.75,0.38,0.38,,,,,,-0.134,,,5235.0,200.0,200.0,,,,,
Kepler-19,kepler-19,0.936,0.04,0.04,0.85,0.018,0.018,1.9,1.7,1.7,1.7,1.7,-0.13,0.06,0.06,5541.0,60.0,60.0,,12.0,,,
Kepler-190,kepler-190,0.84,,,0.8,0.05,0.05,,,,,,0.009,,,5106.0,100.0,100.0,,,,,
Kepler-191,kepler-191,0.85,,,0.79,0.39,0.39,,,,,,0.006,,,5282.0,200.0,200.0,,,,,
Kepler-192,kepler-192,,,,1.01,0.16,0.16,,,,,,-0.153,,,5479.0,100.0,100.0,,,,,
Kepler-193,kepler-193,,,,1.15,0.52,0.52,,,,,,-0.011,,,6335.0,200.0,200.0,,,,,
Kepler-194,kepler-194,,,,1.02,0.54,0.54,,,,,,-0.298,,,6089.0,200.0,200.0,,,,,
Kepler-195,kepler-195,,,,0.78,0.28,0.28,,,,,,-0.052,,,5329.0,200.0,200.0,,,,,
Kepler-196,kepler-196,,,,0.78,0.06,0.06,,,,,,0.071,,,5128.0,100.0,100.0,,,,,
Kepler-197,kepler-197,,,,1.12,0.03,0.03,,,,,,-0.533,,,6004.0,102.0,102.0,,,,,
Kepler-198,kepler-198,0.93,,,0.94,0.14,0.14,,,,,,-0.14,,,5574.0,100.0,100.0,,,,,
Kepler-199,kepler-199,,,,0.97,0.17,0.17,,,,,,-0.157,,,5644.0,117.0,117.0,,,,,
Kepler-20,kepler-20,0.912,0.035,0.035,0.944,0.095,0.095,8.8,2.7,2.7,2.7,2.7,0.02,0.04,0.04,5466.0,93.0,93.0,,12.5,,,
Kepler-200,kepler-200,,,,0.94,0.16,0.16,,,,,,-0.118,,,5678.0,100.0,100.0,,,,,
Kepler-201,kepler-201,1.17,,,1.23,0.24,0.24,,,,,,-0.279,,,6065.0,117.0,117.0,,,,,
Kepler-202,kepler-202,,,,0.67,0.03,0.03,,,,,,0.012,,,4668.0,100.0,100.0,,,,,
Kepler-203,kepler-203,0.98,,,1.11,0.21,0.21,,,,,,-0.107,,,5821.0,100.0,100.0,,,,,
Kepler-204,kepler-204,0.96,,,1.24,0.26,0.26,,,,,,-0.213,,,5812.0,100.0,100.0,,,,,
Kepler-205,kepler-205,,,,0.55,0.02,0.02,,,,,,-0.149,,,4321.0,100.0,100.0,,,,,
Kepler-206,kepler-206,0.94,,,1.19,0.23,0.23,,,,,,-0.149,,,5764.0,100.0,100.0,,,,,
Kepler-207,kepler-207,,,,1.59,0.3,0.3,,,,,,-0.023,,,5920.0,116.0,116.0,,,,,
Kepler-208,kepler-208,1.03,,,1.31,0.24,0.24,,,,,,,,,6092.0,100.0,100.0,,,,,
Kepler-209,kepler-209,,,,0.94,0.14,0.14,,,,,,0.008,,,5513.0,100.0,100.0,,,,,
Kepler-21,kepler-21,1.34,0.06,0.06,1.86,0.04,0.04,2.84,0.35,0.35,0.35,0.35,-0.15,0.06,0.06,6131.0,44.0,44.0,,8.27,,,
Kepler-210,kepler-210,0.63,,,0.69,,,,,,,,,,,4300.0,,,,14.4,,,
Kepler-211,kepler-211,0.97,,,0.82,0.05,0.05,,,,,,0.106,,,5123.0,100.0,100.0,,,,,
Kepler-212,kepler-212,1.16,,,1.46,0.27,0.27,,,,,,,,,5852.0,100.0,100.0,,,,,
Kepler-213,kepler-213,0.94,,,1.2,0.22,0.22,,,,,,-0.051,,,5696.0,100.0,100.0,,,,,
Kepler-214,kepler-214,,,,1.35,0.25,0.25,,,,,,-0.359,,,6169.0,100.0,100.0,,,,,
Kepler-215,kepler-215,0.77,,,1.03,0.24,0.24,,,,,,-0.618,,,5739.0,164.0,164.0,,,,,
Kepler-216,kepler-216,,,,1.26,0.24,0.24,,,,,,-0.183,,,6091.0,120.0,120.0,,,,,
Kepler-217,kepler-217,,,,1.8,0.26,0.26,,,,,,,,,6171.0,109.0,109.0,,,,,
Kepler-218,kepler-218,,,,1.06,0.08,0.08,,,,,,0.194,,,5502.0,74.0,74.0,,,,,
Kepler-219,kepler-219,,,,1.49,0.25,0.25,,,,,,0.02,,,5786.0,100.0,100.0,,,,,
Kepler-22,kepler-22,0.97,0.06,0.06,0.979,0.02,0.02,,,,,,-0.29,0.06,0.06,5518.0,44.0,44.0,,12.0,,,
Kepler-220,kepler-220,,,,0.67,0.03,0.03,,,,,,,,,4632.0,100.0,100.0,,,,,
Kepler-221,kepler-221,0.72,,,0.82,0.07,0.07,,,,,,-0.413,,,5243.0,100.0,100.0,,,,,
Kepler-222,kepler-222,,,,0.87,0.38,0.38,,,,,,0.15,,,5433.0,200.0,200.0,,,,,
Kepler-223,kepler-223,,,,1.02,0.44,0.44,,,,,,-0.211,,,5829.0,200.0,200.0,,,,,
Kepler-224,kepler-224,0.74,,,0.68,0.04,0.04,,,,,,-0.309,,,5018.0,100.0,100.0,,,,,
Kepler-225,kepler-225,,,,0.48,0.02,0.02,,,,,,-0.185,,,3682.0,150.0,150.0,,,,,
Kepler-226,kepler-226,0.86,,,0.8,0.32,0.32,,,,,,-0.145,,,5571.0,200.0,200.0,,,,,
Kepler-227,kepler-227,,,,1.09,0.55,0.55,,,,,,0.136,,,5854.0,200.0,200.0,,,,,
Kepler-228,kepler-228,,,,1.01,0.47,0.47,,,,,,-0.067,,,6043.0,200.0,200.0,,,,,
Kepler-229,kepler-229,,,,0.73,0.26,0.26,,,,,,-0.109,,,5120.0,200.0,200.0,,,,,
Kepler-23,kepler-23,1.11,,,1.52,0.3,0.3,,,,,,,,,5760.0,124.0,124.0,,14.0,,,
Kepler-230,kepler-230,,,,0.82,0.41,0.41,,,,,,-0.291,,,5588.0,200.0,200.0,,,,,
Kepler-231,kepler-231,0.58,,,0.49,0.02,0.02,,,,,,-0.011,,,3767.0,150.0,150.0,,,,,
Kepler-232,kepler-232,,,,0.97,0.46,0.46,,,,,,0.083,,,5847.0,200.0,200.0,,,,,
Kepler-233,kepler-233,,,,0.76,0.21,0.21,,,,,,-0.067,,,5360.0,200.0,200.0,,,,,
Kepler-234,kepler-234,,,,1.11,0.49,0.49,,,,,,0.075,,,6224.0,200.0,200.0,,,,,
Kepler-235,kepler-235,0.59,,,0.55,0.02,0.02,,,,,,0.087,,,4255.0,100.0,100.0,,,,,
Kepler-236,kepler-236,0.56,,,0.51,0.02,0.02,,,,,,0.119,,,3750.0,150.0,150.0,,,,,
Kepler-237,kepler-237,0.7,,,0.72,0.38,0.38,,,,,,-0.077,,,4861.0,200.0,200.0,,,,,
Kepler-238,kepler-238,1.43,5.82,1.31,0.9,0.3,0.3,,,,,,0.143,,,5614.0,,,,,,,
Kepler-239,kepler-239,0.74,,,0.76,0.04,0.04,,,,,,-0.016,,,4914.0,100.0,100.0,,,,,
Kepler-24,kepler-24,1.03,0.14,0.14,1.07,0.23,0.23,,,,,,,,,5800.0,200.0,200.0,,15.5,,,
Kepler-240,kepler-240,,,,0.74,0.3,0.3,,,,,,0.089,,,4985.0,200.0,200.0,,,,,
Kepler-241,kepler-241,,,,0.67,0.29,0.29,,,,,,-0.243,,,4699.0,200.0,200.0,,,,,
Kepler-242,kepler-242,,,,0.85,0.52,0.52,,,,,,0.103,,,5020.0,200.0,200.0,,,,,
Kepler-243,kepler-243,0.89,,,0.84,0.4,0.4,,,,,,0.241,,,5228.0,200.0,200.0,,,,,
Kepler-244,kepler-244,,,,0.8,0.34,0.34,,,,,,-0.191,,,5554.0,200.0,200.0,,,,,
Kepler-245,kepler-245,0.8,,,0.8,0.05,0.05,,,,,,-0.028,,,5100.0,100.0,100.0,,,,,
Kepler-246,kepler-246,0.86,,,0.83,0.42,0.42,,,,,,0.143,,,5206.0,200.0,200.0,,,,,
Kepler-247,kepler-247,0.884,0.089,0.047,0.791,0.053,0.106,,,,,,0.21,0.29,0.19,5094.0,134.0,168.0,,,,,
Kepler-248,kepler-248,,,,0.83,0.1,0.1,,,,,,0.171,,,5190.0,161.0,161.0,,,,,
Kepler-249,kepler-249,,,,0.48,0.02,0.02,,,,,,0.221,,,3568.0,150.0,150.0,,,,,
Kepler-25,kepler-25,1.22,0.06,0.06,1.36,0.13,0.13,,,,,,0.01,0.09,0.09,6190.0,80.0,80.0,,11.0,,,
Kepler-250,kepler-250,0.8,,,0.81,0.46,0.46,,,,,,0.063,,,5160.0,200.0,200.0,,,,,
Kepler-251,kepler-251,0.91,,,0.89,0.15,0.15,,,,,,-0.156,,,5526.0,100.0,100.0,,,,,
Kepler-252,kepler-252,0.52,,,0.55,0.03,0.03,,,,,,-0.67,,,4208.0,150.0,150.0,,,,,
Kepler-253,kepler-253,,,,0.79,0.32,0.32,,,,,,0.052,,,5208.0,200.0,200.0,,,,,
Kepler-254,kepler-254,,,,0.91,0.43,0.43,,,,,,-0.191,,,5957.0,200.0,200.0,,,,,
Kepler-255,kepler-255,0.97,,,0.93,0.37,0.37,,,,,,0.212,,,5573.0,200.0,200.0,,,,,
Kepler-256,kepler-256,1.02,,,1.3,0.32,0.32,,,,,,0.061,,,5551.0,111.0,111.0,,,,,
Kepler-257,kepler-257,,,,1.04,0.52,0.52,,,,,,0.315,,,5180.0,200.0,200.0,,,,,
Kepler-258,kepler-258,0.8,,,0.92,0.61,0.61,,,,,,0.415,,,4942.0,200.0,200.0,,,,,
Kepler-259,kepler-259,,,,0.9,0.43,0.43,,,,,,-0.165,,,5938.0,200.0,200.0,,,,,
Kepler-26,kepler-26,0.65,0.03,0.03,0.59,0.03,0.03,,,,,,-0.21,0.08,0.08,4500.0,100.0,100.0,,16.0,,,
Kepler-260,kepler-260,0.88,,,0.86,0.23,0.23,,,,,,-0.034,,,5250.0,257.0,257.0,,,,,
Kepler-261,kepler-261,0.87,,,0.79,0.05,0.05,,,,,,0.14,,,5098.0,100.0,100.0,,,,,
Kepler-262,kepler-262,,,,0.88,0.36,0.36,,,,,,-0.115,,,5841.0,200.0,200.0,,,,,
Kepler-263,kepler-263,,,,0.79,0.43,0.43,,,,,,-0.11,,,5265.0,200.0,200.0,,,,,
Kepler-264,kepler-264,1.32,,,1.55,0.31,0.31,,,,,,-0.19,,,6158.0,100.0,100.0,,,,,
Kepler-265,kepler-265,1.03,,,1.1,0.23,0.23,,,,,,-0.311,,,5835.0,118.0,118.0,,,,,
Kepler-266,kepler-266,0.99,,,1.03,0.5,0.5,,,,,,0.106,,,5885.0,250.0,250.0,,,,,
Kepler-267,kepler-267,0.56,,,0.56,0.02,0.02,,,,,,0.028,,,4258.0,100.0,100.0,,,,,
Kepler-268,kepler-268,,,,1.27,0.23,0.23,,,,,,-0.114,,,6081.0,100.0,100.0,,,,,
Kepler-269,kepler-269,0.98,,,0.96,0.43,0.43,,,,,,0.02,,,5847.0,250.0,250.0,,,,,
Kepler-27,kepler-27,0.65,0.16,0.16,0.59,0.15,0.15,,,,,,0.41,0.04,0.04,5400.0,60.0,60.0,,,,,
Kepler-270,kepler-270,,,,1.46,0.28,0.28,,,,,,-0.151,,,6067.0,100.0,100.0,,,,,
Kepler-271,kepler-271,,,,0.88,0.16,0.16,,,,,,-0.951,,,5524.0,100.0,100.0,,,,,
Kepler-272,kepler-272,0.79,,,0.93,0.5,0.5,,,,,,-0.161,,,5297.0,200.0,200.0,,,,,
Kepler-273,kepler-273,,,,0.81,0.46,0.46,,,,,,-0.478,,,5626.0,200.0,200.0,,,,,
Kepler-274,kepler-274,,,,1.01,0.54,0.54,,,,,,-0.188,,,6023.0,200.0,200.0,,,,,
Kepler-275,kepler-275,1.24,,,1.38,0.26,0.26,,,,,,0.184,,,6165.0,100.0,100.0,,,,,
Kepler-276,kepler-276,0.96,0.42,0.29,0.95,0.05,0.05,,,,,,0.012,,,5812.0,,,,,,,
Kepler-277,kepler-277,1.19,0.49,0.37,1.65,0.22,0.22,,,,,,-0.315,,,6306.0,,,,13.4,,,
Kepler-278,kepler-278,,,,2.94,0.07,0.07,,,,,,0.422,,,4991.0,75.0,75.0,,,,,
Kepler-279,kepler-279,1.23,2.18,0.89,1.27,0.52,0.52,,,,,,-0.57,,,6562.0,,,,13.7,,,
Kepler-28,kepler-28,0.75,,,0.7,,,,,,,,0.34,,,4590.0,,,,15.5,,,
Kepler-280,kepler-280,0.91,,,0.89,0.43,0.43,,,,,,-0.169,,,5744.0,200.0,200.0,,,,,
Kepler-281,kepler-281,0.98,,,0.9,0.35,0.35,,,,,,0.012,,,5723.0,200.0,200.0,,,,,
Kepler-282,kepler-282,1.09,0.46,0.33,1.01,0.05,0.05,,,,,,-0.374,,,5876.0,,,,15.2,,,
Kepler-283,kepler-283,,,,0.57,0.02,0.02,,,,,,-0.26,,,4351.0,100.0,100.0,,,,,
Kepler-284,kepler-284,,,,0.81,0.36,0.36,,,,,,-0.145,,,5615.0,200.0,200.0,,,,,
Kepler-285,kepler-285,0.85,,,0.81,0.35,0.35,,,,,,-0.063,,,5411.0,200.0,200.0,,,,,
Kepler-286,kepler-286,,,,0.86,0.17,0.17,,,,,,-0.165,,,5580.0,131.0,131.0,,,,,
Kepler-287,kepler-287,,,,1.03,0.47,0.47,,,,,,-0.077,,,5806.0,200.0,200.0,,,,,
Kepler-288,kepler-288,0.89,,,1.09,0.52,0.52,,,,,,-0.219,,,5918.0,250.0,250.0,,,,,
Kepler-289,kepler-289,1.08,0.02,0.02,1.0,0.02,0.02,0.65,0.44,0.44,0.44,0.44,0.05,0.04,0.04,5990.0,38.0,38.0,,12.9,,,
Kepler-29,kepler-29,1.0,0.12,0.12,0.96,0.14,0.14,,,,,,0.0,0.3,0.3,5750.0,200.0,200.0,,15.5,,,
Kepler-290,kepler-290,,,,0.74,0.38,0.38,,,,,,-0.061,,,5147.0,200.0,200.0,,,,,
Kepler-291,kepler-291,1.03,,,1.02,0.44,0.44,,,,,,0.07,,,6002.0,200.0,200.0,,,,,
Kepler-292,kepler-292,0.88,,,0.83,0.07,0.07,,,,,,0.077,,,5299.0,100.0,100.0,,,,,
Kepler-293,kepler-293,1.01,,,0.96,0.4,0.4,,,,,,0.134,,,5804.0,200.0,200.0,,,,,
Kepler-294,kepler-294,,,,0.98,0.46,0.46,,,,,,-0.001,,,5913.0,200.0,200.0,,,,,
Kepler-295,kepler-295,,,,0.9,0.47,0.47,,,,,,-0.332,,,5603.0,200.0,200.0,,,,,
Kepler-296,kepler-296,,,,0.56,0.02,0.02,,,,,,0.168,,,4249.0,100.0,100.0,,,,,
Kepler-297,kepler-297,,,,0.92,0.17,0.17,,,,,,-0.12,,,5619.0,100.0,100.0,,,,,
Kepler-298,kepler-298,0.65,,,0.58,0.03,0.03,,,,,,-0.121,,,4465.0,100.0,100.0,,,,,
Kepler-299,kepler-299,0.97,,,1.03,0.21,0.21,,,,,,-0.052,,,5617.0,112.0,112.0,,,,,
Kepler-30,kepler-30,0.99,0.08,0.08,0.95,0.12,0.12,,,,,,0.18,0.027,0.027,5498.0,54.0,54.0,,15.5,,,
Kepler-300,kepler-300,0.94,,,0.9,0.41,0.41,,,,,,-0.238,,,5986.0,200.0,200.0,,,,,
Kepler-301,kepler-301,0.91,,,0.9,0.48,0.48,,,,,,-0.178,,,5815.0,200.0,200.0,,,,,
Kepler-302,kepler-302,,,,1.22,0.25,0.25,,,,,,-0.238,,,5740.0,107.0,107.0,,,,,
Kepler-303,kepler-303,0.59,,,0.48,0.03,0.03,,,,,,0.102,,,3944.0,150.0,150.0,,,,,
Kepler-304,kepler-304,0.8,,,0.69,0.04,0.04,,,,,,0.523,,,4731.0,100.0,100.0,,,,,
Kepler-305,kepler-305,0.83,1.29,0.54,0.87,0.3,0.3,,,,,,-0.071,,,4918.0,,,,15.8,,,
