pl_hostname,pl_hostname,st_mass,st_masserr2,st_masserr1,st_rad,st_raderr2,st_raderr1,st_age,st_ageerr2,st_ageerr1,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,st_metfe,st_metfeerr2,st_metfeerr1,st_teff,st_tefferr2,st_tefferr1,Spectral type,st_optmag,st_optmagerr,st_optmagerr,source (xml)
HIP 63242,HIP 63242,1.54,0.05,0.05,,,,,,,,,-0.310,0.090,0.090,4830.00,100.00,100.00,,6.871,0.010,0.010,
HIP 67851,HIP 67851,1.63,0.22,0.22,5.92,0.44,0.44,,,,,,0.000,0.100,0.100,4890.00,100.00,100.00,,6.170,,,
HIP 70849,HIP 70849,,,,,,,,,,,,,,,,,,,10.380,0.011,0.011,
HD 185269,HD 185269,1.28,0.10,0.10,1.88,0.10,0.10,4.200,,,,,0.110,0.050,0.050,5980.00,50.00,50.00,,,,,
HD 187085,HD 187085,1.22,0.06,0.10,,,,3.300,1.200,0.600,,,0.050,0.030,0.030,6075.00,30.00,30.00,,7.214,0.010,0.010,
HD 187123,HD 187123,1.00,0.10,0.10,,,,,,,,,0.160,,,5830.00,40.00,40.00,,7.832,0.011,0.011,
HD 188015,HD 188015,1.09,,,,,,,,,,,0.289,,,5746.00,,,,8.234,0.011,0.011,
HD 189733,HD 189733,0.85,0.05,0.05,0.81,0.02,0.02,,,,,,-0.030,0.080,0.080,4875.00,43.00,43.00,,7.670,0.030,0.030,
Kepler-125,Kepler-125,0.55,,,0.51,0.02,0.02,,,,,,0.126,,,3810.00,150.00,150.00,,14.752,,,
Kepler-126,Kepler-126,,,,1.36,0.02,0.02,,,,,,,,,6239.00,94.00,94.00,,10.500,,,
Kepler-127,Kepler-127,,,,1.36,0.04,0.04,,,,,,-0.154,,,6106.00,106.00,106.00,,11.485,,,
Kepler-128,Kepler-128,1.18,0.07,0.07,1.66,0.04,0.04,,,,,,-0.048,,,6090.00,,,,11.390,,,
Kepler-129,Kepler-129,1.18,,,1.64,0.05,0.05,,,,,,,,,5770.00,83.00,83.00,,11.696,,,
Kepler-130,Kepler-130,1.00,0.10,0.09,1.13,0.03,0.03,,,,,,0.020,0.460,0.460,5884.00,75.00,75.00,,11.529,,,
Kepler-131,Kepler-131,1.02,0.06,0.06,1.03,0.10,0.10,3.660,,,,,0.120,0.070,0.070,5685.00,74.00,74.00,,11.525,,,
Kepler-132,Kepler-132,,,,1.18,0.23,0.23,,,,,,-0.053,,,6003.00,146.00,146.00,,11.818,,,
Kepler-133,Kepler-133,,,,1.43,0.24,0.24,,,,,,-0.160,,,5736.00,100.00,100.00,,12.848,,,
Kepler-134,Kepler-134,,,,1.18,0.23,0.23,,,,,,,,,5983.00,150.00,150.00,,12.324,,,
Kepler-135,Kepler-135,,,,1.27,0.24,0.24,,,,,,0.045,,,6090.00,120.00,120.00,,12.730,,,
Kepler-136,Kepler-136,1.20,,,1.35,0.25,0.25,,,,,,,,,6165.00,100.00,100.00,,12.459,,,
Kepler-137,Kepler-137,,,,0.80,0.06,0.06,,,,,,-0.120,,,5187.00,100.00,100.00,,12.990,,,
Kepler-138,Kepler-138,0.52,0.06,0.06,0.44,0.02,0.02,,,,,,-0.280,0.099,0.099,3841.00,49.00,49.00,,12.925,,,
Kepler-207,Kepler-207,,,,1.59,0.30,0.30,,,,,,-0.023,,,5920.00,116.00,116.00,,13.182,,,
Kepler-208,Kepler-208,1.03,,,1.31,0.24,0.24,,,,,,,,,6092.00,100.00,100.00,,13.749,,,
Kepler-209,Kepler-209,,,,0.94,0.14,0.14,,,,,,0.008,,,5513.00,100.00,100.00,,13.998,,,
Kepler-210,Kepler-210,,,,0.65,0.03,0.03,,,,,,-0.748,,,4559.00,100.00,100.00,,13.822,,,
Kepler-211,Kepler-211,0.97,,,0.82,0.05,0.05,,,,,,0.106,,,5123.00,100.00,100.00,,13.283,,,
Kepler-212,Kepler-212,1.16,,,1.46,0.27,0.27,,,,,,,,,5852.00,100.00,100.00,,13.178,,,
Kepler-213,Kepler-213,0.94,,,1.20,0.22,0.22,,,,,,-0.051,,,5696.00,100.00,100.00,,13.648,,,
HAT-P-36,HAT-P-36,1.02,,0.05,1.10,,0.06,,,,,,,,,5560.00,,100.00,,12.262,0.068,0.068,
HAT-P-37,HAT-P-37,0.93,,0.04,0.88,,0.06,,,,,,,,,5500.00,,100.00,,13.230,0.320,0.320,
HAT-P-38,HAT-P-38,0.89,,0.04,0.92,,0.10,,,,,,,,,5330.00,,100.00,,12.557,0.094,0.094,
HAT-P-39,HAT-P-39,1.40,,0.05,1.62,,0.08,,,,,,,,,6430.00,,100.00,,12.422,,,
HAT-P-40,HAT-P-40,1.51,,0.11,2.21,,0.06,,,,,,,,,6080.00,,100.00,,11.699,,,
HAT-P-41,HAT-P-41,1.42,,0.05,1.68,,0.06,,,,,,,,,6390.00,,100.00,,,,,
HAT-P-42,HAT-P-42,1.18,0.07,0.07,1.53,0.14,0.14,5.200,0.700,1.800,,,0.270,0.080,0.080,5743.00,50.00,50.00,,12.168,0.030,0.030,
HAT-P-43,HAT-P-43,1.05,0.04,0.03,1.10,0.02,0.04,5.700,1.100,1.900,,,0.230,0.080,0.080,5645.00,74.00,74.00,,13.356,0.030,0.030,
HAT-P-44,HAT-P-44,0.94,0.04,0.04,0.95,0.04,0.08,7.500,3.600,3.600,,,0.330,0.100,0.100,5295.00,100.00,100.00,,,,,
HAT-P-45,HAT-P-45,1.26,0.06,0.06,1.32,0.07,0.15,2.000,0.800,0.800,,,0.070,0.100,0.100,6330.00,100.00,100.00,,,,,
HD 86081,HD 86081,1.21,0.09,0.09,1.22,0.10,0.10,,,,,,0.257,0.050,0.050,,,,,8.730,,,
HD 86226,HD 86226,1.06,0.03,0.03,1.02,0.03,0.03,1.500,1.300,1.300,,,0.050,0.030,0.030,5903.00,31.00,31.00,,7.932,0.013,0.013,
HD 87883,HD 87883,,,,,,,,,,,,,,,,,,,7.550,0.020,0.020,
HD 88133,HD 88133,1.18,0.06,0.06,1.94,0.06,0.06,,,,,,0.330,0.050,0.050,5438.00,34.00,34.00,,8.010,,,
HD 89744,HD 89744,1.56,0.05,0.05,,,,,,,,,0.260,0.030,0.030,6291.00,44.00,44.00,,5.720,0.009,0.009,
HD 90156,HD 90156,0.84,,,,,,4.400,,,,,-0.240,0.010,0.010,5599.00,12.00,12.00,,6.920,0.010,0.010,
HD 93083,HD 93083,0.70,0.04,0.04,,,,,,,,,0.150,0.060,0.060,4995.00,50.00,50.00,,8.300,0.000,0.000,
HD 95086,HD 95086,1.60,,,,,,0.017,0.004,0.004,,,,,,,,,,7.360,0.010,0.010,
HD 95127,HD 95127,1.20,0.22,0.22,20.00,9.00,9.00,5.500,2.540,4.740,,,-0.180,0.050,0.050,4218.00,69.00,69.00,,8.150,0.010,0.010,
HD 96063,HD 96063,1.02,0.07,0.07,4.50,0.10,0.10,9.000,3.000,3.000,,,-0.300,0.030,0.030,5148.00,44.00,44.00,,8.370,,,
HD 96167,HD 96167,1.31,0.09,0.09,1.86,0.07,0.07,3.800,1.000,1.000,,,0.340,0.060,0.060,5770.00,70.00,70.00,,8.080,0.014,0.014,
HD 97658,HD 97658,0.75,0.03,0.03,0.70,0.03,0.04,,,,,,-0.300,0.080,0.080,5119.00,50.00,50.00,,7.710,0.010,0.010,
HD 98219,HD 98219,1.30,0.09,0.09,4.50,0.10,0.10,4.000,1.000,1.000,,,-0.020,0.030,0.030,4992.00,44.00,44.00,,8.210,,,
HD 99109,HD 99109,0.93,,,,,,,,,,,0.315,,,5272.00,,,,9.100,,,
HD 99492,HD 99492,0.85,0.02,0.02,0.78,0.02,0.02,4.800,4.100,4.100,,,0.300,0.030,0.030,4929.00,44.00,44.00,,7.580,,,
HD 99706,HD 99706,1.72,0.12,0.12,5.40,0.10,0.10,2.100,0.400,0.400,,,0.140,0.030,0.030,4932.00,44.00,44.00,,7.810,,,
HD 100546,HD 100546,2.40,0.10,0.10,,,,0.005,0.004,0.004,,,,,,10500.00,,,,6.704,0.010,0.010,
HD 100655,HD 100655,2.40,0.40,0.20,9.30,1.10,1.30,,,,,,0.150,0.120,0.120,4861.00,110.00,110.00,,6.450,,,
HD 100777,HD 100777,1.01,0.10,0.10,,,,2.000,,,,,-0.270,0.030,0.030,5582.00,24.00,24.00,,8.418,0.016,0.016,
HD 101930,HD 101930,0.74,0.05,0.05,,,,,,,,,0.170,0.060,0.060,5079.00,62.00,62.00,,8.210,0.000,0.000,
HD 102117,HD 102117,1.11,,,,,,,,,,,0.295,0.030,0.030,5695.00,44.00,44.00,,7.470,,,
HD 102195,HD 102195,0.87,,,,,,,,,,,0.050,0.050,0.050,5291.00,34.00,34.00,,8.062,0.014,0.014,
HD 102272,HD 102272,1.90,0.30,0.30,10.10,4.60,4.60,,,,,,-0.260,0.080,0.080,4908.00,35.00,35.00,,8.690,,,
HD 102329,HD 102329,1.95,0.14,0.14,6.30,0.10,0.10,1.600,0.400,0.400,,,0.300,0.030,0.030,4830.00,44.00,44.00,,8.040,,,
HD 102956,HD 102956,1.68,0.11,0.11,4.40,0.10,0.10,2.300,0.500,0.500,,,0.190,0.040,0.040,5054.00,44.00,44.00,,7.851,0.010,0.010,
HD 190360,HD 190360,0.96,,,1.13,,,6.700,,,,,0.250,0.050,0.050,5590.00,50.00,50.00,,5.730,,,
HD 190984,HD 190984,0.91,,,1.53,,,,,,,,-0.480,0.060,0.060,5988.00,25.00,25.00,,8.760,,,
HD 192263,HD 192263,0.81,0.01,0.01,0.73,0.01,0.01,2.090,2.540,2.540,,,0.054,0.030,0.030,4996.00,44.00,44.00,,7.790,,,
HD 192310,HD 192310,0.80,,,,,,7.810,0.900,0.900,,,-0.040,0.030,0.030,5166.00,49.00,49.00,,5.730,,,
HD 195019,HD 195019,1.07,,,,,,,,,,,0.068,,,5788.00,,,,6.870,,,
HD 196067,HD 196067,1.29,0.08,0.08,1.73,0.21,0.21,3.300,0.600,0.600,,,0.180,0.040,0.040,6017.00,46.00,46.00,,6.030,,,
HD 196885,HD 196885,1.28,0.05,0.05,1.31,0.05,0.05,3.120,,,,,0.220,0.040,0.040,6254.00,44.00,44.00,,6.398,,,
HD 200964,HD 200964,1.44,0.09,0.09,4.30,0.09,0.09,3.000,0.600,0.600,,,-0.150,0.040,0.040,5164.00,44.00,44.00,,6.487,0.010,0.010,
HD 202206,HD 202206,1.15,,,,,,5.600,1.200,1.200,,,0.370,0.070,0.070,5765.00,40.00,40.00,,8.080,,,
HD 203030,HD 203030,,,,,,,0.220,0.090,0.140,,,,,,,,,,8.425,0.013,0.013,
HD 204941,HD 204941,0.74,,,0.72,,,6.670,0.770,0.770,,,-0.190,0.030,0.030,5056.00,52.00,52.00,,8.450,0.000,0.000,
HD 205739,HD 205739,1.22,0.06,0.08,1.33,0.10,0.10,2.840,1.120,0.920,,,0.190,0.040,0.040,6176.00,30.00,30.00,,8.560,,,
HD 207832,HD 207832,0.94,,0.10,0.90,,0.06,,,,,,,,,5710.00,,81.00,,8.786,0.014,0.014,
HD 208487,HD 208487,1.13,,,,,,,,,,,0.022,,,6067.00,,,,7.471,0.012,0.012,
HD 209458,HD 209458,1.10,0.06,0.07,1.12,0.02,0.02,,,,,,,,,,,,,,,,
HD 210277,HD 210277,1.01,,,,,,,,,,,0.214,,,5555.00,,,,6.530,,,
HD 212771,HD 212771,1.15,0.08,0.08,5.00,0.10,0.10,6.000,2.000,2.000,,,-0.210,0.030,0.030,5121.00,44.00,44.00,,7.595,0.014,0.014,
HIP 78530,HIP 78530,2.50,,,,,,0.005,,,,,,,,10500.00,,,,7.192,0.011,0.011,
Kepler-18,Kepler-18,0.97,0.04,0.04,1.11,0.05,0.05,10.000,2.300,2.300,,,0.190,0.060,0.060,5345.00,100.00,100.00,,13.549,,,
Kepler-19,Kepler-19,0.94,0.04,0.04,0.85,0.02,0.02,1.900,1.700,1.700,,,-0.130,0.060,0.060,5541.00,60.00,60.00,,11.898,,,
K2-31,K2-31,1.00,0.06,0.06,0.99,0.07,0.07,,,,,,0.200,0.030,0.030,5412.00,34.00,34.00,,10.775,0.023,0.023,
K2-32,K2-32,0.87,0.04,0.04,0.87,0.05,0.05,,,,,,0.000,0.040,0.040,5315.00,60.00,60.00,,12.310,0.040,0.040,
WASP-119,WASP-119,1.02,0.06,0.06,1.20,0.10,0.10,8.000,2.500,2.500,,,0.140,0.100,0.100,5650.00,100.00,100.00,,12.200,0.400,0.400,
WASP-124,WASP-124,1.07,0.05,0.05,1.02,0.02,0.02,2.100,1.400,1.400,,,-0.020,0.110,0.110,6050.00,100.00,100.00,,12.700,0.400,0.400,
WASP-126,WASP-126,1.12,0.06,0.06,1.27,0.05,0.10,6.400,1.600,1.600,,,0.170,0.080,0.080,5800.00,100.00,100.00,,10.800,0.500,0.500,
WASP-129,WASP-129,1.00,0.03,0.03,0.90,0.02,0.02,1.000,0.900,0.900,,,0.150,0.090,0.090,5900.00,100.00,100.00,,12.300,0.600,0.600,
WASP-133,WASP-133,1.16,0.08,0.08,1.44,0.05,0.05,6.800,1.800,1.800,,,0.290,0.120,0.120,5700.00,100.00,100.00,,12.900,0.400,0.400,
Kepler-624,Kepler-624,1.10,0.06,0.05,1.18,0.11,0.17,3.720,1.680,1.230,,,-0.060,0.114,0.104,6117.00,63.28,70.67,,13.490,,,
Kepler-625,Kepler-625,1.04,0.02,0.02,0.96,0.02,0.03,1.510,0.300,0.571,,,0.100,0.085,0.087,5789.00,43.94,46.81,,13.307,,,
Kepler-626,Kepler-626,1.01,0.04,0.05,1.05,0.09,0.12,5.370,2.960,2.270,,,0.010,0.104,0.092,5813.00,94.62,93.83,,13.946,,,
Kepler-627,Kepler-627,1.30,0.14,0.21,1.49,0.27,0.64,2.240,0.620,0.816,,,0.050,0.142,0.126,6424.00,213.39,160.13,,13.949,,,
Kepler-628,Kepler-628,1.00,0.04,0.05,1.28,0.21,0.25,8.710,1.600,1.300,,,0.040,0.089,0.073,5721.00,51.36,47.04,,13.398,,,
Kepler-629,Kepler-629,0.93,0.03,0.03,0.84,0.02,0.02,1.910,0.611,1.130,,,0.010,0.104,0.093,5444.00,60.20,71.98,,13.359,,,
Kepler-630,Kepler-630,1.02,0.04,0.04,1.04,0.08,0.11,4.470,2.430,2.390,,,0.030,0.095,0.093,5829.00,98.87,97.42,,13.871,,,
Kepler-631,Kepler-631,1.24,0.05,0.05,1.33,0.10,0.14,2.510,0.912,0.830,,,0.230,0.079,0.083,6185.00,75.47,85.62,,13.500,,,
Kepler-632,Kepler-632,0.91,0.03,0.03,0.84,0.02,0.02,3.020,1.430,2.240,,,0.110,0.091,0.090,5322.00,82.67,89.61,,13.332,,,
Kepler-633,Kepler-633,1.02,0.06,0.06,1.15,0.14,0.21,6.030,2.340,1.600,,,-0.050,0.126,0.104,5899.00,91.57,86.22,,13.716,,,
Kepler-634,Kepler-634,1.03,0.07,0.09,1.24,0.16,0.19,5.370,1.580,1.600,,,-0.180,0.129,0.132,6075.00,77.53,86.22,,13.550,,,
Kepler-635,Kepler-635,1.33,0.05,0.06,1.51,0.15,0.20,2.340,0.626,0.450,,,0.410,0.038,0.037,6174.00,82.75,70.40,,13.310,,,
Kepler-636,Kepler-636,0.85,0.04,0.03,0.80,0.02,0.02,5.010,2.600,3.150,,,-0.020,0.109,0.108,5203.00,72.86,56.47,,13.653,,,
Kepler-637,Kepler-637,1.64,0.10,0.07,2.56,0.30,0.27,2.190,0.250,0.340,,,0.380,0.053,0.052,6096.00,44.44,46.96,,13.413,,,
Kepler-638,Kepler-638,0.88,0.04,0.04,0.93,0.09,0.29,11.750,7.410,2.400,,,0.040,0.123,0.105,5382.00,59.39,50.10,,13.532,,,
Kepler-639,Kepler-639,1.14,0.06,0.09,1.29,0.18,0.26,4.370,1.700,1.160,,,0.230,0.073,0.078,5896.00,59.62,76.96,,13.336,,,
Kepler-640,Kepler-640,1.01,0.03,0.03,0.94,0.03,0.03,2.090,0.759,1.450,,,0.150,0.084,0.078,5653.00,62.83,72.44,,13.721,,,
Kepler-641,Kepler-641,1.02,0.04,0.05,1.13,0.14,0.19,7.080,3.550,2.400,,,0.150,0.091,0.094,5713.00,83.52,81.57,,13.774,,,
Kepler-642,Kepler-642,1.40,0.16,0.23,1.66,0.32,0.74,1.950,0.454,0.620,,,0.060,0.138,0.130,6570.00,201.09,133.26,,13.343,,,
Kepler-643,Kepler-643,1.00,0.04,0.07,2.52,0.07,0.08,12.020,2.300,1.800,,,0.130,0.111,0.078,4908.00,47.77,45.26,,13.781,,,
Kepler-764,Kepler-764,0.92,0.05,0.05,0.89,0.07,0.10,4.170,2.520,4.870,,,-0.060,0.181,0.145,5557.00,102.61,132.83,,15.302,,,
Kepler-765,Kepler-765,1.05,0.06,0.06,1.06,0.10,0.23,3.720,2.020,2.240,,,0.040,0.154,0.145,5901.00,89.97,81.23,,14.609,,,
Kepler-766,Kepler-766,1.10,0.07,0.09,1.15,0.13,0.31,3.630,1.910,1.790,,,0.090,0.147,0.148,5992.00,140.96,95.54,,15.678,,,
Kepler-767,Kepler-767,0.96,0.06,0.06,0.94,0.08,0.12,4.070,2.370,3.600,,,-0.050,0.198,0.143,5694.00,124.14,163.45,,15.435,,,
Kepler-768,Kepler-768,0.82,0.05,0.05,0.78,0.05,0.05,4.570,2.780,6.100,,,-0.030,0.168,0.153,5108.00,165.03,177.47,,15.681,,,
Kepler-769,Kepler-769,1.19,0.11,0.17,1.28,0.19,0.55,2.880,1.110,1.100,,,0.060,0.140,0.131,6186.00,184.13,127.24,,14.818,,,
Kepler-770,Kepler-770,0.94,0.06,0.05,0.92,0.07,0.12,4.570,2.850,4.780,,,-0.010,0.179,0.135,5598.00,124.54,127.60,,14.604,,,
Kepler-771,Kepler-771,1.03,0.07,0.08,1.05,0.11,0.18,3.720,1.990,2.460,,,0.010,0.169,0.135,5906.00,193.81,145.88,,14.794,,,
Kepler-772,Kepler-772,0.98,0.04,0.04,1.11,0.15,0.22,8.130,3.370,2.000,,,0.030,0.096,0.081,5714.00,85.03,67.61,,13.974,,,
Kepler-773,Kepler-773,1.04,0.03,0.04,1.01,0.04,0.05,2.820,1.200,1.830,,,0.050,0.086,0.088,5850.00,65.30,76.73,,13.333,,,
Kepler-774,Kepler-774,1.57,0.14,0.11,2.42,0.41,0.34,2.140,0.380,0.470,,,0.040,0.043,0.076,6403.00,76.70,86.23,,12.808,,,
Kepler-775,Kepler-775,0.92,0.03,0.03,0.84,0.02,0.02,1.860,0.568,1.000,,,-0.040,0.100,0.103,5468.00,70.49,67.97,,13.507,,,
Kepler-776,Kepler-776,0.83,0.04,0.04,0.78,0.04,0.04,4.370,2.620,6.030,,,0.050,0.164,0.157,5071.00,86.62,57.15,,15.456,,,
Kepler-777,Kepler-777,0.58,0.03,0.02,0.56,0.02,0.02,3.160,1.560,4.640,,,-0.170,0.111,0.091,4043.00,34.40,36.21,,15.950,,,
Kepler-778,Kepler-778,0.81,0.05,0.04,0.77,0.05,0.04,5.250,3.240,5.790,,,-0.090,0.186,0.147,5102.00,62.12,71.96,,15.764,,,
Kepler-779,Kepler-779,0.46,0.03,0.03,0.44,0.03,0.03,3.890,2.330,5.810,,,-0.430,0.086,0.082,3804.00,34.03,35.65,,15.649,,,
Kepler-780,Kepler-780,1.01,0.03,0.03,1.02,0.06,0.10,4.900,2.680,2.570,,,0.050,0.092,0.089,5769.00,57.06,62.55,,13.326,,,
Kepler-271,Kepler-271,,,,0.88,0.16,0.16,,,,,,-0.951,,,5524.00,100.00,100.00,,13.404,,,
Kepler-781,Kepler-781,0.81,0.05,0.04,0.78,0.06,0.04,4.900,3.010,6.100,,,-0.100,0.199,0.151,5162.00,64.49,64.88,,15.987,,,
Kepler-782,Kepler-782,0.98,0.05,0.05,1.01,0.09,0.13,5.250,3.020,2.600,,,-0.140,0.125,0.127,5867.00,61.94,70.10,,12.783,,,
Kepler-783,Kepler-783,0.93,0.04,0.03,0.89,0.03,0.04,3.890,2.140,3.400,,,0.010,0.103,0.102,5521.00,52.89,66.78,,13.916,,,
Kepler-784,Kepler-784,1.00,0.05,0.07,1.32,0.26,0.28,9.120,2.090,1.900,,,0.070,0.062,0.088,5674.00,83.91,74.62,,13.290,,,
Kepler-785,Kepler-785,0.77,0.04,0.03,0.71,0.03,0.02,2.820,1.290,4.700,,,-0.020,0.133,0.131,4739.00,69.98,115.49,,15.715,,,
Kepler-786,Kepler-786,0.81,0.03,0.02,0.74,0.01,0.01,2.510,0.960,2.140,,,0.090,0.103,0.106,4838.00,45.60,59.77,,14.887,,,
Kepler-787,Kepler-787,0.65,0.02,0.03,0.62,0.02,0.02,3.390,1.780,4.090,,,-0.090,0.081,0.105,4248.00,33.57,40.90,,15.854,,,
Kepler-788,Kepler-788,1.16,0.10,0.13,1.23,0.17,0.39,3.020,1.300,1.210,,,0.050,0.155,0.126,6159.00,186.01,129.54,,15.291,,,
Kepler-789,Kepler-789,1.01,0.07,0.09,1.02,0.11,0.20,3.720,2.000,3.300,,,-0.060,0.199,0.138,5870.00,120.74,204.63,,14.507,,,
Kepler-790,Kepler-790,0.84,0.05,0.04,0.80,0.05,0.05,4.900,3.070,5.920,,,-0.050,0.165,0.141,5208.00,114.14,139.26,,15.187,,,
Kepler-14,Kepler-14,1.51,0.04,0.04,2.05,0.08,0.11,2.200,0.100,0.200,,,0.120,0.060,0.060,6395.00,60.00,60.00,,12.128,,,
Kepler-61,Kepler-61,0.64,0.04,0.04,0.62,0.05,0.02,1.000,,,,,0.030,0.140,0.140,4017.00,150.00,68.00,,14.995,,,
Kepler-66,Kepler-66,1.04,0.04,0.04,0.97,0.04,0.04,1.000,0.170,0.170,,,-0.200,0.100,0.100,5962.00,79.00,79.00,,15.300,,,
Kepler-77,Kepler-77,0.95,0.04,0.04,0.99,0.02,0.02,7.500,2.000,2.000,,,0.200,0.050,0.050,5520.00,60.00,60.00,,13.938,,,
Kepler-8,Kepler-8,1.21,0.06,0.07,1.49,0.06,0.05,,,,,,-0.055,0.030,0.030,6213.00,150.00,150.00,,13.900,0.324,0.324,
Kepler-98,Kepler-98,0.99,0.06,0.06,1.11,0.12,0.12,2.790,,,,,0.180,0.070,0.070,5539.00,73.00,73.00,,12.899,,,
MOA 2007-BLG-192L,MOA 2007-BLG-192L,0.06,0.02,0.03,,,,,,,,,,,,,,,,,,,
MOA 2009-BLG-387L,MOA 2009-BLG-387L,0.19,0.12,0.30,,,,,,,,,,,,,,,,,,,
MOA-bin-1L,MOA-bin-1L,0.75,0.41,0.33,,,,,,,,,,,,,,,,,,,
NGC 2682 YBP 1514,NGC 2682 YBP 1514,0.96,0.01,0.01,,,,,,,,,,,,5725.00,45.00,45.00,,14.770,,,
OGLE 2005-BLG-390L,OGLE 2005-BLG-390L,0.22,0.11,0.21,,,,,,,,,,,,,,,,,,,
OGLE 2007-BLG-368L,OGLE 2007-BLG-368L,0.64,0.26,0.21,,,,,,,,,,,,,,,,17.710,0.180,0.180,
OGLE 2011-BLG-265L,OGLE 2011-BLG-265L,0.21,0.04,0.07,,,,,,,,,,,,,,,,,,,
OGLE 2012-BLG-358L,OGLE 2012-BLG-358L,0.02,0.00,0.00,,,,,,,,,,,,,,,,,,,
OGLE 2013-BLG-341L B,OGLE 2013-BLG-341L B,0.15,0.01,0.01,,,,,,,,,,,,,,,,,,,
OGLE-TR-10,OGLE-TR-10,1.14,,0.12,1.17,,0.13,,,,,,,,,5950.00,,130.00,,14.930,,,
OGLE-TR-182,OGLE-TR-182,1.14,,0.05,1.14,,0.23,,,,,,,,,5924.00,,64.00,,,,,
PH1,PH1,1.53,0.09,0.09,1.73,0.04,0.04,2.000,,,,,0.210,0.080,0.080,6407.00,150.00,150.00,,13.718,,,
POTS-1,POTS-1,0.69,0.05,0.05,0.59,0.03,0.02,,,,,,-0.030,0.150,0.150,4400.00,200.00,200.00,,17.940,0.030,0.030,
PSR B1257+12,PSR B1257+12,,,,,,,3.000,3.000,3.000,,,,,,,,,,,,,
Pr0201,Pr0201,1.23,,0.03,1.17,,0.12,,,,,,,,,6174.00,,50.00,,10.520,,,
Qatar-2,Qatar-2,0.74,0.02,0.02,0.78,0.01,0.01,5.000,,,,,0.020,0.080,0.080,4645.00,50.00,50.00,,13.300,,,
VHS J125601.92-125723.9,VHS J125601.92-125723.9,0.07,0.01,0.02,,,,0.225,0.075,0.075,,,,,,2620.00,140.00,140.00,,17.759,0.059,0.059,
WASP-12,WASP-12,1.43,0.09,0.11,1.66,0.04,0.05,,,,,,0.330,0.170,0.140,6360.00,140.00,130.00,,11.690,0.080,0.080,
WASP-16,WASP-16,1.02,,0.13,0.95,,0.06,,,,,,,,,5700.00,,150.00,,,,,
WASP-2,WASP-2,0.89,0.12,0.12,0.84,0.07,0.06,5.600,5.600,8.400,,,0.100,0.200,0.200,5200.00,200.00,200.00,,11.880,0.100,0.100,
WASP-24,WASP-24,1.18,,0.03,1.33,,0.03,,,,,,,,,6075.00,,100.00,,11.306,0.108,0.108,
WASP-29,WASP-29,0.82,,0.03,0.81,,0.04,,,,,,,,,4800.00,,150.00,,,,,
WASP-33,WASP-33,1.50,,0.03,1.44,,0.03,,,,,,,,,7430.00,,100.00,,8.142,0.012,0.012,
WASP-37,WASP-37,0.93,,0.12,1.00,,0.05,,,,,,,,,5800.00,,150.00,,12.704,0.149,0.149,
WASP-41,WASP-41,0.93,0.07,0.07,0.87,0.03,0.03,,,,,,0.060,0.020,0.020,5545.00,33.00,33.00,,11.600,,,
WASP-45,WASP-45,0.90,0.07,0.07,0.92,0.02,0.02,7.200,9.100,8.900,,,0.500,,,5100.00,,,,12.000,,,
WASP-49,WASP-49,0.94,,0.08,0.98,,0.03,,,,,,,,,5600.00,,150.00,,11.360,,,
WASP-55,WASP-55,1.16,0.04,0.04,1.10,0.02,0.02,1.100,0.600,0.900,,,0.090,0.050,0.050,6070.00,53.00,53.00,,11.800,,,
WASP-59,WASP-59,0.72,0.04,0.04,0.61,0.04,0.04,0.500,0.400,0.700,,,-0.150,0.110,0.110,4650.00,150.00,150.00,,13.000,,,
WASP-62,WASP-62,1.25,,0.05,1.28,,0.05,,,,,,,,,6280.00,,80.00,,10.300,,,
WASP-66,WASP-66,1.30,,0.07,1.75,,0.09,,,,,,,,,6580.00,,170.00,,11.600,,,
WASP-7,WASP-7,1.28,0.07,0.07,1.43,0.09,0.09,,,,,,,,,6400.00,,100.00,,9.510,,,
WASP-73,WASP-73,1.34,0.04,0.05,2.07,0.08,0.19,,,,,,0.140,0.140,0.140,6036.00,120.00,120.00,,10.500,,,
WASP-79,WASP-79,1.38,,0.12,1.53,,0.31,,,,,,,,,6600.00,,100.00,,10.100,,,
WASP-82,WASP-82,1.63,0.08,0.08,2.18,0.05,0.08,,,,,,0.120,0.110,0.110,6490.00,100.00,100.00,,10.100,,,
WASP-94 A,WASP-94 A,1.45,0.09,0.09,1.62,0.04,0.05,4.000,,,,,0.260,0.150,0.150,6153.00,76.00,75.00,,10.100,,,
WASP-97,WASP-97,1.12,0.06,0.06,1.06,0.04,0.04,11.900,8.300,16.000,,,0.230,0.110,0.110,5640.00,100.00,100.00,,,,,
WTS-2,WTS-2,0.82,0.08,0.08,0.75,0.03,0.03,0.600,,,,,0.200,0.200,0.300,5000.00,250.00,250.00,,15.900,0.100,0.100,
XO-4,XO-4,1.32,0.02,0.02,1.55,0.05,0.05,2.100,0.600,0.600,,,-0.040,0.030,0.030,5700.00,70.00,70.00,,10.674,,,
Kepler-238,Kepler-238,1.06,0.12,0.17,1.43,0.26,0.26,,,,,,0.143,,,5751.00,100.00,100.00,,15.084,,,
Kepler-239,Kepler-239,0.74,,,0.76,0.04,0.04,,,,,,-0.016,,,4914.00,100.00,100.00,,15.208,,,
