# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
Kepler-1479 b,Kepler-1479 b,,,,,,,0.163,0.014,0.027,,,14.53261362,4.429e-05,4.429e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-148 b,Kepler-148 b,,,,,,,0.161,0.078,0.078,,,1.729366,4e-06,4e-06,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-148 c,Kepler-148 c,,,,,,,0.321,0.157,0.157,,,4.180043,4e-06,4e-06,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-148 d,Kepler-148 d,,,,,,,0.774,0.037,0.046,,,51.84688575,2.57e-05,2.57e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1480 b,Kepler-1480 b,,,,,,,0.149,0.007,0.01,,,22.12679948,9.372e-05,9.372e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1481 b,Kepler-1481 b,,,,,,,0.11,0.005,0.007,,,5.94220998,2.335e-05,2.335e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1482 b,Kepler-1482 b,,,,,,,0.09,0.01,0.009,,,12.25383217,8.407e-05,8.407e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1483 b,Kepler-1483 b,,,,,,,0.136,0.027,0.059,,,9.5085156,0.0001053,0.0001053,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1484 b,Kepler-1484 b,,,,,,,0.188,0.02,0.027,,,30.4549136,0.0003536,0.0003536,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1485 b,Kepler-1485 b,,,,,,,0.131,0.012,0.021,,,19.9157725,0.0001284,0.0001284,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1486 b,Kepler-1486 b,,,,,,,0.207,0.026,0.052,,,54.6495759,0.0009825,0.0009825,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1487 b,Kepler-1487 b,,,,,,,0.19,0.04,0.076,,,7.31946363,4.683e-05,4.683e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1488 b,Kepler-1488 b,,,,,,,0.166,0.033,0.037,,,39.8189932,0.0002907,0.0002907,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1489 b,Kepler-1489 b,,,,,,,0.158,0.016,0.021,,,82.294751,0.001799,0.001799,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-149 b,Kepler-149 b,,,,,,,0.376,0.054,0.054,,,29.198943,4.1e-05,4.1e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-149 c,Kepler-149 c,,,,,,,0.144,0.021,0.021,,,55.328328,0.001946,0.001946,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-149 d,Kepler-149 d,,,,,,,0.353,0.061,0.061,,,160.018032,0.001096,0.001096,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1490 b,Kepler-1490 b,,,,,,,0.271,0.056,0.033,,,92.4362973,0.0009042,0.0009042,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1491 b,Kepler-1491 b,,,,,,,0.135,0.012,0.031,,,16.5861762,0.0002214,0.0002214,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1492 b,Kepler-1492 b,,,,,,,0.133,0.014,0.025,,,16.75255007,6.46e-05,6.46e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1493 b,Kepler-1493 b,,,,,,,0.126,0.021,0.024,,,15.0217983,0.0001075,0.0001075,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1494 b,Kepler-1494 b,,,,,,,0.274,0.051,0.041,,,91.080482,0.001769,0.001769,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1495 b,Kepler-1495 b,,,,,,,0.262,0.029,0.064,,,85.273256,0.001954,0.001954,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1496 b,Kepler-1496 b,,,,,,,0.198,0.032,0.081,,,64.6588017,0.00078,0.00078,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1497 b,Kepler-1497 b,,,,,,,0.148,0.014,0.026,,,8.74199772,8.621e-05,8.621e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1498 b,Kepler-1498 b,,,,,,,0.119,0.008,0.01,,,48.051405,0.0009331,0.0009331,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1499 b,Kepler-1499 b,,,,,,,0.106,0.012,0.022,,,44.2008,0.0006553,0.0006553,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-15 b,Kepler-15 b,,0.66,0.09,0.09,0.09,0.09,0.96,0.07,0.07,,,4.942782,1.3e-06,1.3e-06,,,,,,,,1225.0,,,,,Primary Transit,2011,2013-10-19,
Kepler-150 b,Kepler-150 b,,,,,,,0.112,0.017,0.017,,,3.428054,2.6e-05,2.6e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-150 c,Kepler-150 c,,,,,,,0.329,0.053,0.053,,,7.381998,1e-05,1e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-150 d,Kepler-150 d,,,,,,,0.249,0.037,0.037,,,12.56093,3.6e-05,3.6e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-150 e,Kepler-150 e,,,,,,,0.278,0.049,0.049,,,30.826557,0.000199,0.000199,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1500 b,Kepler-1500 b,,,,,,,0.107,0.013,0.02,,,15.0330105,0.0001612,0.0001612,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1501 b,Kepler-1501 b,,,,,,,0.139,0.022,0.061,,,14.5564533,0.0001121,0.0001121,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1502 b,Kepler-1502 b,,,,,,,0.284,0.057,0.1,,,41.7083629,0.0003485,0.0003485,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1503 b,Kepler-1503 b,,,,,,,0.203,0.021,0.017,,,96.16987,0.00118,0.00118,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1504 b,Kepler-1504 b,,,,,,,0.19,0.017,0.021,,,82.304003,0.001593,0.001593,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1505 b,Kepler-1505 b,,,,,,,0.083,0.004,0.004,,,30.8609366,0.0002252,0.0002252,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1506 b,Kepler-1506 b,,,,,,,0.118,0.012,0.017,,,14.0329154,0.0002811,0.0002811,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1507 b,Kepler-1507 b,,,,,,,0.075,0.008,0.008,,,16.0506213,0.0001447,0.0001447,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1508 b,Kepler-1508 b,,,,,,,0.119,0.023,0.047,,,20.7056504,0.0005499,0.0005499,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1509 b,Kepler-1509 b,,,,,,,0.165,0.014,0.033,,,25.4338197,0.0003114,0.0003114,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-151 b,Kepler-151 b,,,,,,,0.273,0.136,0.136,,,15.228958,3e-05,3e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-151 c,Kepler-151 c,,,,,,,0.186,0.093,0.093,,,24.674612,0.000106,0.000106,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1510 b,Kepler-1510 b,,,,,,,0.3,0.05,0.11,,,84.703921,0.001896,0.001896,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1511 b,Kepler-1511 b,,,,,,,0.15,0.021,0.062,,,23.2382792,0.000222,0.000222,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1512 b,Kepler-1512 b,,,,,,,0.105,0.01,0.006,,,20.35972599,5.874e-05,5.874e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1513 b,Kepler-1513 b,,,,,,,0.755,0.065,0.123,,,160.88465087,7.718e-05,7.718e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1514 b,Kepler-1514 b,,,,,,,1.055,0.045,0.054,,,217.8317626,0.0001058,0.0001058,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1515 b,Kepler-1515 b,,,,,,,0.852,0.057,0.069,,,214.3114164,0.0001275,0.0001275,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1516 b,Kepler-1516 b,,,,,,,0.156,0.017,0.044,,,7.25931979,3.612e-05,3.612e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1517 b,Kepler-1517 b,,,,,,,0.871,0.172,0.249,,,5.54608367,7.09e-06,7.09e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1518 b,Kepler-1518 b,,,,,,,0.272,0.056,0.082,,,5.11177904,5.083e-05,5.083e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1519 b,Kepler-1519 b,,,,,,,0.63,0.048,0.072,,,240.7989397,0.0006117,0.0006117,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-152 b,Kepler-152 b,,,,,,,0.249,0.015,0.015,,,18.207973,2.3e-05,2.3e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-152 c,Kepler-152 c,,,,,,,0.213,0.014,0.014,,,88.255055,0.000309,0.000309,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1521 b,Kepler-1521 b,,,,,,,0.223,0.009,0.008,,,47.14840805,7.919e-05,7.919e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1522 b,Kepler-1522 b,,,,,,,0.154,0.012,0.021,,,1.84788917,2.72e-06,2.72e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1523 b,Kepler-1523 b,,,,,,,0.141,0.013,0.024,,,0.93875077,1.16e-06,1.16e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1524 b,Kepler-1524 b,,,,,,,0.316,0.048,0.131,,,70.9674603,0.0001723,0.0001723,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1525 b,Kepler-1525 b,,,,,,,0.081,0.004,0.005,,,2.41660118,5.28e-06,5.28e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1526 b,Kepler-1526 b,,,,,,,0.217,0.035,0.008,,,3.908632,7.4e-06,7.4e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1527 b,Kepler-1527 b,,,,,,,0.426,0.067,0.174,,,160.129918,0.001742,0.001742,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1528 b,Kepler-1528 b,,,,,,,0.13,0.012,0.022,,,1.79111021,7.7e-06,7.7e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1529 b,Kepler-1529 b,,,,,,,0.187,0.01,0.013,,,5.33905686,1.277e-05,1.277e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-153 b,Kepler-153 b,,,,,,,0.261,0.157,0.157,,,18.870227,3.9e-05,3.9e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-153 c,Kepler-153 c,,,,,,,0.226,0.136,0.136,,,46.90232,0.000215,0.000215,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1530 b,Kepler-1530 b,,,,,,,0.146,0.01,0.019,,,2.5904434,0.0001715,0.0001715,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1530 c,Kepler-1530 c,,,,,,,0.147,0.01,0.021,,,5.3227406,0.0006331,0.0006331,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1531 b,Kepler-1531 b,,,,,,,0.099,0.016,0.043,,,1.13854338,2.59e-06,2.59e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1532 b,Kepler-1532 b,,,,,,,0.12,0.011,0.016,,,1.09366356,2.16e-06,2.16e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1533 b,Kepler-1533 b,,,,,,,0.309,0.061,0.133,,,308.5471,0.002415,0.002415,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1534 b,Kepler-1534 b,,,,,,,0.169,0.013,0.02,,,5.71668872,2.925e-05,2.925e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1535 b,Kepler-1535 b,,,,,,,0.227,0.017,0.022,,,138.9442,0.001214,0.001214,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1536 b,Kepler-1536 b,,,,,,,0.28,0.047,0.032,,,364.758031,0.00582,0.00582,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1537 b,Kepler-1537 b,,,,,,,0.105,0.008,0.005,,,1.4444538,2.33e-06,2.33e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1538 b,Kepler-1538 b,,,,,,,0.252,0.028,0.062,,,175.138819,0.002807,0.002807,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1539 b,Kepler-1539 b,,,,,,,0.241,0.013,0.017,,,133.3036741,0.0008843,0.0008843,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-154 b,Kepler-154 b,,,,,,,0.202,0.039,0.039,,,33.040532,0.000215,0.000215,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-154 c,Kepler-154 c,,,,,,,0.263,0.055,0.055,,,62.303276,0.000406,0.000406,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-154 d,Kepler-154 d,,,,,,,0.343,0.021,0.029,,,20.54981883,2.572e-05,2.572e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-18,
Kepler-154 e,Kepler-154 e,,,,,,,0.134,0.011,0.012,,,3.93276465,1.225e-05,1.225e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-154 f,Kepler-154 f,,,,,,,0.134,0.019,0.03,,,9.91935684,7.788e-05,7.788e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1540 b,Kepler-1540 b,,,,,,,0.222,0.012,0.017,,,125.4131177,0.0004189,0.0004189,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1541 b,Kepler-1541 b,,,,,,,0.103,0.007,0.009,,,8.40691199,2.698e-05,2.698e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1542 b,Kepler-1542 b,,,,,,,0.068,0.007,0.01,,,3.95116882,1.633e-05,1.633e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1542 c,Kepler-1542 c,,,,,,,0.058,0.005,0.008,,,2.89223021,1.472e-05,1.472e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1542 d,Kepler-1542 d,,,,,,,0.078,0.008,0.011,,,5.99273738,2.26e-05,2.26e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1542 e,Kepler-1542 e,,,,,,,0.068,0.007,0.009,,,5.10115756,2.409e-05,2.409e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1543 b,Kepler-1543 b,,,,,,,0.242,0.045,0.108,,,6.96710269,3.285e-05,3.285e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1544 b,Kepler-1544 b,,,,,,,0.159,0.006,0.008,,,168.811174,0.001271,0.001271,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1545 b,Kepler-1545 b,,,,,,,0.241,0.016,0.02,,,163.692349,0.001383,0.001383,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1546 b,Kepler-1546 b,,,,,,,0.279,0.03,0.052,,,19.5974971,0.0001407,0.0001407,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1547 b,Kepler-1547 b,,,,,,,0.08,0.011,0.025,,,0.69297968,1.49e-06,1.49e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1548 b,Kepler-1548 b,,,,,,,0.236,0.019,0.048,,,124.828679,0.001524,0.001524,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1549 b,Kepler-1549 b,,,,,,,0.229,0.018,0.02,,,214.886545,0.003111,0.003111,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-155 b,Kepler-155 b,,,,,,,0.186,0.019,0.019,,,5.931194,8e-06,8e-06,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-155 c,Kepler-155 c,,,,,,,0.2,0.013,0.013,,,52.661793,0.000236,0.000236,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1550 b,Kepler-1550 b,,,,,,,0.269,0.034,0.063,,,225.582809,0.003846,0.003846,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1551 b,Kepler-1551 b,,,,,,,0.237,0.037,0.081,,,24.4973698,0.0002094,0.0002094,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1552 b,Kepler-1552 b,,,,,,,0.22,0.009,0.01,,,184.771853,0.001546,0.001546,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1553 b,Kepler-1553 b,,,,,,,0.103,0.008,0.009,,,4.24261881,2.781e-05,2.781e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1554 b,Kepler-1554 b,,,,,,,0.259,0.024,0.021,,,198.088774,0.002456,0.002456,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1555 b,Kepler-1555 b,,,,,,,0.144,0.015,0.041,,,8.10501635,8.122e-05,8.122e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1556 b,Kepler-1556 b,,,,,,,0.175,0.013,0.036,,,8.82713457,4.025e-05,4.025e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1557 b,Kepler-1557 b,,,,,,,0.136,0.019,0.045,,,3.74032496,2.165e-05,2.165e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1558 b,Kepler-1558 b,,,,,,,0.061,0.004,0.005,,,3.50470358,1.612e-05,1.612e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1559 b,Kepler-1559 b,,,,,,,0.064,0.004,0.006,,,0.97191543,3.79e-06,3.79e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-156 b,Kepler-156 b,,,,,,,0.205,0.015,0.015,,,4.973456,8e-06,8e-06,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-156 c,Kepler-156 c,,,,,,,0.227,0.017,0.017,,,15.906801,4.5e-05,4.5e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1560 b,Kepler-1560 b,,,,,,,0.079,0.008,0.016,,,3.03195744,1.306e-05,1.306e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1561 b,Kepler-1561 b,,,,,,,0.097,0.016,0.023,,,1.00520701,5.1e-06,5.1e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1562 b,Kepler-1562 b,,,,,,,0.317,0.037,0.089,,,64.2737752,0.0007141,0.0007141,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1563 b,Kepler-1563 b,,,,,,,0.067,0.007,0.011,,,3.43276598,2.976e-05,2.976e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1564 b,Kepler-1564 b,,,,,,,0.131,0.012,0.017,,,18.0540381,0.0001919,0.0001919,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1565 b,Kepler-1565 b,,,,,,,0.106,0.011,0.007,,,1.53818844,6.86e-06,6.86e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1566 b,Kepler-1566 b,,,,,,,0.07,0.004,0.007,,,0.53991524,1.35e-06,1.35e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1567 b,Kepler-1567 b,,,,,,,0.244,0.021,0.036,,,153.979578,0.001785,0.001785,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1568 b,Kepler-1568 b,,,,,,,0.116,0.013,0.019,,,20.925392,0.0002521,0.0002521,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1569 b,Kepler-1569 b,,,,,,,0.15,0.028,0.065,,,5.79180156,3.622e-05,3.622e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-157 b,Kepler-157 b,,,,,,,0.118,0.023,0.023,,,1.732342,6e-06,6e-06,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-157 c,Kepler-157 c,,,,,,,0.2,0.038,0.038,,,13.5405,4.9e-05,4.9e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-157 d,Kepler-157 d,,,,,,,0.13,0.009,0.014,,,7.02573474,2.388e-05,2.388e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1570 b,Kepler-1570 b,,,,,,,0.095,0.009,0.017,,,26.548955,0.0003047,0.0003047,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1571 b,Kepler-1571 b,,,,,,,0.136,0.03,0.061,,,3.38555488,1.595e-05,1.595e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1572 b,Kepler-1572 b,,,,,,,0.084,0.007,0.017,,,5.49548621,2.92e-05,2.92e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1573 b,Kepler-1573 b,,,,,,,0.107,0.01,0.021,,,2.6157554,1.498e-05,1.498e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1574 b,Kepler-1574 b,,,,,,,0.115,0.013,0.025,,,6.9424334,6.006e-05,6.006e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1575 b,Kepler-1575 b,,,,,,,0.117,0.012,0.018,,,2.55314213,1.304e-05,1.304e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1576 b,Kepler-1576 b,,,,,,,0.093,0.012,0.026,,,6.98471973,5.94e-05,5.94e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1577 b,Kepler-1577 b,,,,,,,0.101,0.01,0.004,,,6.30560247,3.666e-05,3.666e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1578 b,Kepler-1578 b,,,,,,,0.093,0.01,0.01,,,1.45088691,6.95e-06,6.95e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1579 b,Kepler-1579 b,,,,,,,0.075,0.004,0.005,,,0.84990789,2.93e-06,2.93e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-158 b,Kepler-158 b,,,,,,,0.189,0.032,0.032,,,16.709184,6.4e-05,6.4e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-158 c,Kepler-158 c,,,,,,,0.17,0.027,0.027,,,28.551383,0.00014,0.00014,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1580 b,Kepler-1580 b,,,,,,,0.188,0.028,0.027,,,56.6449279,0.0008525,0.0008525,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1581 b,Kepler-1581 b,,,,,,,0.071,0.008,0.012,,,6.28385491,4.246e-05,4.246e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1582 b,Kepler-1582 b,,,,,,,0.133,0.012,0.015,,,4.83817712,8.84e-05,8.84e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1583 b,Kepler-1583 b,,,,,,,0.054,0.004,0.008,,,9.32807355,8.851e-05,8.851e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1584 b,Kepler-1584 b,,,,,,,0.144,0.019,0.036,,,13.3997099,0.000157,0.000157,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1585 b,Kepler-1585 b,,,,,,,0.16,0.014,0.022,,,3.5827463,1.739e-05,1.739e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1586 b,Kepler-1586 b,,,,,,,0.136,0.03,0.058,,,15.6049212,0.0001365,0.0001365,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1587 b,Kepler-1587 b,,,,,,,0.119,0.021,0.042,,,9.4060467,0.0001376,0.0001376,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1588 b,Kepler-1588 b,,,,,,,0.068,0.006,0.01,,,7.84931739,9.456e-05,9.456e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1589 b,Kepler-1589 b,,,,,,,0.097,0.015,0.039,,,0.99166527,7.84e-06,7.84e-06,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-159 b,Kepler-159 b,,,,,,,0.212,0.016,0.016,,,10.139623,2.2e-05,2.2e-05,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-159 c,Kepler-159 c,,,,,,,0.304,0.025,0.025,,,43.595792,0.000125,0.000125,,,,,,,,,,,,,Primary Transit,2014,2014-03-06,
Kepler-1590 b,Kepler-1590 b,,,,,,,0.102,0.013,0.03,,,7.61760804,4.334e-05,4.334e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1591 b,Kepler-1591 b,,,,,,,0.113,0.017,0.037,,,8.18504949,7.831e-05,7.831e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1592 b,Kepler-1592 b,,,,,,,0.137,0.025,0.062,,,3.05710069,2.334e-05,2.334e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1593 b,Kepler-1593 b,,,,,,,0.283,0.025,0.027,,,174.509835,0.001852,0.001852,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1594 b,Kepler-1594 b,,,,,,,0.095,0.011,0.023,,,2.71603809,1.355e-05,1.355e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1595 b,Kepler-1595 b,,,,,,,0.11,0.009,0.008,,,4.56380468,3.24e-05,3.24e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1596 b,Kepler-1596 b,,,,,,,0.17,0.015,0.022,,,66.373379,0.001476,0.001476,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1597 b,Kepler-1597 b,,,,,,,0.095,0.015,0.042,,,2.94654179,3.471e-05,3.471e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
Kepler-1598 b,Kepler-1598 b,,,,,,,0.085,0.009,0.025,,,4.34195123,2.827e-05,2.827e-05,,,,,,,,,,,,,Primary Transit,2016,2016-05-12,
