# name,All planet names,Lists,mass,mass_error_min,mass_error_max,mass_error_min,mass_error_max,radius,radius_error_min,radius_error_max,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,orbital_period,orbital_period_error_min,orbital_period_error_max,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,eccentricity,eccentricity_error_min,eccentricity_error_max,Eccentricity lowerlimit,Eccentricity upperlimit,temp_calculated,Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,detection_type,discovered,updated,source (xml)
Aldebaran b,Aldebaran b,,6.47,0.53,0.53,0.53,0.53,,,,,,628.96,0.9,0.9,,,0.1,0.05,0.05,,,,,,,,Radial Velocity,1998,2015-05-15,
BD+14 4559 b,BD+14 4559 b,,1.47,,,,,,,,,,268.94,0.99,0.99,,,0.29,0.03,0.03,,,,,,,,Radial Velocity,2009,2016-02-23,
BD+15 2375 b,BD+15 2375 b,,1.06,0.27,0.27,0.27,0.27,,,,,,153.22,0.44,0.44,,,0.001,0.001,0.25,,,,,,,,Radial Velocity,2016,2016-03-21,
BD+15 2940 b,BD+15 2940 b,,1.11,,,,,,,,,,137.48,0.34,0.34,,,0.26,0.1,0.1,,,,,,,,Radial Velocity,2013,2013-04-30,
BD+20 2457 b,BD+20 2457 b,,21.42,,,,,,,,,,379.63,2.01,2.01,,,0.15,0.03,0.03,,,,,,,,Radial Velocity,2009,2016-02-23,
BD+20 2457 c,BD+20 2457 c,,12.47,,,,,,,,,,621.99,10.2,10.2,,,0.18,0.06,0.06,,,,,,,,Radial Velocity,2009,2016-02-23,
BD+20 274 c,BD+20 274 c,,4.2,,,,,,,,,,578.2,3.4,3.4,,,,,,,,,,,,,Radial Velocity,2012,2013-01-17,
BD+20 594 b,BD+20 594 b,,0.0513,0.019,0.019,0.019,0.019,0.199,0.0098,0.012,,,41.6855,0.0031,0.0031,,,0.0,,,,,386.0,,,,,Primary Transit,2016,2016-02-23,
BD+24 4697 b,BD+24 4697 b,,53.0,3.0,3.0,3.0,3.0,,,,,,145.081,0.016,0.016,,,0.50048,0.00043,0.00043,,,,,,,,Radial Velocity,2016,2016-02-10,
BD+26 1888 b,BD+26 1888 b,,26.0,2.0,2.0,2.0,2.0,,,,,,536.78,0.25,0.25,,,0.2675,0.0016,0.0016,,,,,,,,Radial Velocity,2016,2016-02-10,
BD+48 738 b,BD+48 738 b,,0.91,,,,,,,,,,392.6,5.5,5.5,,,0.2,0.1,0.1,,,,,,,,Radial Velocity,2011,2016-02-23,
BD+49 828 b,BD+49 828 b,,1.6,0.2,0.4,0.2,0.4,,,,,,2590.0,180.0,300.0,,,0.35,0.1,0.24,,,,,,,,Radial Velocity,2015,2015-07-26,
BD-06 1339 b,BD-06 1339 b,,0.027,0.004,0.004,0.004,0.004,,,,,,3.8728,0.0004,0.0004,,,0.0,,,,,,,,,,Radial Velocity,2013,2016-02-23,
BD-06 1339 c,BD-06 1339 c,,0.17,0.03,0.03,0.03,0.03,,,,,,125.94,0.44,0.44,,,0.0,,,,,,,,,,Radial Velocity,2013,2016-02-23,
BD-08 2823 b,BD-08 2823 b,,0.045,0.007,0.007,0.007,0.007,,,,,,5.6,0.02,0.02,,,0.15,0.15,0.15,,,,,,,,Radial Velocity,2009,2016-02-23,
BD-08 2823 c,BD-08 2823 c,,0.33,0.03,0.03,0.03,0.03,,,,,,237.6,1.5,1.5,,,0.19,0.09,0.09,,,,,,,,Radial Velocity,2009,2016-02-23,
BD-10 3166 b,BD-10 3166 b,,0.46,,,,,1.03,,,,,3.4878,0.0001,0.0001,,,0.0104,0.0192,0.0104,,,,,,,,Radial Velocity,2000,2015-02-24,
BD-11 4672 b,BD-11 4672 b,,0.53,0.05,0.05,0.05,0.05,,,,,,1667.0,33.0,33.0,,,0.05,0.05,0.05,,,,,,,,Radial Velocity,2010,2016-02-23,
BD-17 63 b,BD-17 63 b,,5.1,0.12,0.12,0.12,0.12,,,,,,655.6,0.6,0.6,,,0.54,0.005,0.005,,,,,,,,Radial Velocity,2008,2014-08-27,
CD-35 2722 b,CD-35 2722 b,,31.0,8.0,8.0,8.0,8.0,,,,,,,,,,,,,,,,,,,,,Imaging,2011,2011-02-23,
CFBDS 1458 b,CFBDS 1458 b,,6.5,4.5,4.5,4.5,4.5,,,,,,14600.0,8800.0,8800.0,,,,,,,,,,,,,Imaging,2011,2011-09-28,
CHXR 73 b,CHXR 73 b,,12.0,5.0,8.0,5.0,8.0,,,,,,,,,,,,,,,,,,,,,Imaging,2006,2014-05-25,
CL Tau b,CL Tau b,,12.31,2.39,2.39,2.39,2.39,,,,,,8.9965,0.0327,0.0327,,,,,,,,,,,,,Radial Velocity,2016,2016-05-26,
CT Cha b,CT Cha b,,17.0,6.0,6.0,6.0,6.0,2.2,0.6,0.6,,,,,,,,,,,,,,,,,,Imaging,2008,2008-09-24,
CVSO 30 b ,CVSO 30 b ,,6.2,1.7,1.9,1.7,1.9,1.91,0.21,0.21,,,0.448413,4e-05,4e-05,,,,,,,,,,,,,Primary Transit,2012,2016-06-12,
CVSO 30 c,CVSO 30 c,,4.7,2.0,3.6,2.0,3.6,1.63,0.34,0.87,,,,,,,,,,,,,,,,,,Imaging,2016,2016-06-12,
CoRoT-1 b,CoRoT-1 b,,1.03,0.12,0.12,0.12,0.12,1.49,0.08,0.08,,,1.5089557,6.4e-06,6.4e-06,,,0.0,,,,,,,,,,Primary Transit,2007,2014-01-24,
CoRoT-10 b,CoRoT-10 b,,2.75,0.14,0.14,0.14,0.14,0.97,0.05,0.05,,,13.2406,0.0002,0.0002,,,0.53,0.04,0.04,,,,,,,,Primary Transit,2010,2014-08-29,
CoRoT-11 b,CoRoT-11 b,,2.33,0.27,0.27,0.27,0.27,1.43,0.033,0.033,,,2.994325,2.1e-05,2.1e-05,,,0.0,,,,,,,,,,Primary Transit,2010,2014-08-17,
CoRoT-12 b,CoRoT-12 b,,0.917,0.065,0.07,0.065,0.07,1.44,0.13,0.13,,,2.828042,1.3e-05,1.3e-05,,,0.07,0.042,0.042,,,,,,,,Primary Transit,2010,2014-08-16,
CoRoT-13 b,CoRoT-13 b,,1.308,0.066,0.066,0.066,0.066,0.885,0.014,0.014,,,4.03519,3e-05,3e-05,,,0.0,,,,,,,,,,Primary Transit,2010,2014-08-16,
CoRoT-14 b,CoRoT-14 b,,7.6,0.6,0.6,0.6,0.6,1.09,0.07,0.07,,,1.51214,0.00013,0.00013,,,0.0,,,,,,,,,,Primary Transit,2010,2014-01-24,
CoRoT-15 b,CoRoT-15 b,,63.4,4.1,4.33,4.1,4.33,1.12,0.15,0.3,,,3.06036,3e-05,3e-05,,,0.0,,,,,1740.0,,,,,Primary Transit,2010,2015-09-23,
CoRoT-16 b,CoRoT-16 b,,0.535,0.085,0.085,0.085,0.085,1.17,0.14,0.14,,,5.35227,0.0002,0.0002,,,0.33,0.1,0.1,,,,,,,,Primary Transit,2010,2014-01-24,
CoRoT-17 b,CoRoT-17 b,,2.43,0.16,0.16,0.16,0.16,1.02,0.07,0.07,,,3.768125,0.000257,0.000257,,,0.0,,,,,,,,,,Primary Transit,2010,2014-01-24,
CoRoT-18 b,CoRoT-18 b,,3.47,0.38,0.38,0.38,0.38,1.31,0.18,0.18,,,1.9000693,2.8e-06,2.8e-06,,,0.08,inf,nan,,,,,,,,Primary Transit,2011,2014-01-24,
CoRoT-19 b,CoRoT-19 b,,1.11,0.06,0.06,0.06,0.06,1.29,0.05,0.05,,,3.89713,2e-05,2e-05,,,0.047,0.045,0.045,,,,,,,,Primary Transit,2011,2014-01-24,
CoRoT-2 b,CoRoT-2 b,,3.31,0.16,0.16,0.16,0.16,1.465,0.029,0.029,,,1.7429964,1.7e-06,1.7e-06,,,0.0,,,,,,,,,,Primary Transit,2007,2014-01-25,
CoRoT-20 b,CoRoT-20 b,,4.24,0.23,0.23,0.23,0.23,0.84,0.04,0.04,,,9.24285,0.0,0.0,,,0.562,0.013,0.013,,,,,,,,Primary Transit,2011,2014-07-10,
CoRoT-21 b,CoRoT-21 b,,2.26,0.31,0.31,0.31,0.31,1.3,0.14,0.14,,,2.72474,0.00014,0.00014,,,0.0,,,,,,,,,,Primary Transit,2011,2014-01-24,
CoRoT-22 b,CoRoT-22 b,,0.0383853003178,0.0276877576062675,0.0440487052826983,0.0276877576062675,0.0440487052826983,0.435365216104,0.0347935316148303,0.0151664112167209,,,9.75598,0.00011,0.00011,,,0.077,0.042,0.3,,,885.0,,,,,Primary Transit,2011,2014-08-28,
CoRoT-23 b,CoRoT-23 b,,2.8,0.25,0.25,0.25,0.25,1.08,0.13,0.13,,,3.6314,0.0001,0.0001,,,0.16,0.017,0.017,,,,,,,,Primary Transit,2011,2014-01-26,
CoRoT-24 b,CoRoT-24 b,,0.018,inf,nan,inf,nan,0.33,0.04,0.04,,,5.1134,0.0006,0.0006,,,0.0,,,,,1070.0,,,,,Primary Transit,2011,2014-07-08,
CoRoT-24 c,CoRoT-24 c,,0.088,0.035,0.035,0.035,0.035,0.44,0.04,0.04,,,11.759,0.0063,0.0063,,,0.0,,,,,850.0,,,,,Primary Transit,2011,2014-07-08,
CoRoT-25 b,CoRoT-25 b,,0.27,0.04,0.04,0.04,0.04,1.08,0.1,0.3,,,4.86069,6e-05,6e-05,,,,,,,,,,,,,Primary Transit,2012,2014-05-21,
CoRoT-26 b,CoRoT-26 b,,0.52,0.05,0.05,0.05,0.05,1.26,0.07,0.13,,,4.20474,5e-05,5e-05,,,0.0,,,,,,,,,,Primary Transit,2012,2014-05-27,
CoRoT-27 b,CoRoT-27 b,,10.39,0.55,0.55,0.55,0.55,1.007,0.044,0.044,,,3.57532,6e-05,6e-05,,,0.065,0.065,0.0,,,1500.0,,,,,Primary Transit,2012,2014-07-10,
