Primary star name(from standardize_OEC_star.csv),star_name(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),star_mass(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),star_mass_error_min(from standardize_EU_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),star_mass_error_max(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),star_radius(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),star_radius_error_min(from standardize_EU_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),star_radius_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),star_age(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),star_age_error_min(from standardize_EU_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),star_age_error_max(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),star_metallicity(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),star_metallicity_error_min(from standardize_EU_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),star_metallicity_error_max(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),star_teff(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),star_teff_error_min(from standardize_EU_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),star_teff_error_max(from standardize_EU_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),mag_v(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),Visual magnitude errorminus(from standardize_EU_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),Visual magnitude errorplus(from standardize_EU_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_EU_Catalogue_Star_Data.csv)
Kepler-1576,Kepler-1576,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.15,0.147,,,147.6,147.58,105.0,104.99,,,,,,,,,Kepler-1576.xml,
Kepler-1577,Kepler-1577,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,0.15,0.149,,,75.1,75.08,84.3,84.27,,,,,,,,,Kepler-1577.xml,
Kepler-1578,Kepler-1578,,,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,,,74.3,74.33,,,,,,,,,,,Kepler-1578.xml,
Kepler-1579,Kepler-1579,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.201,0.13,0.134,,,,,61.6,61.63,,,,,,,,,Kepler-1579.xml,
Kepler-158,Kepler-158,0.6550,,0.0150,,0.0150,,0.624,0.62,.079,0.08,0.079,0.08,,,,,,,,,,,,-0.232,,,,,,,,,,,,,,,,,,,Kepler-158.xml,
Kepler-1580,Kepler-1580,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.081,0.10,0.099,,,81.5,81.47,75.2,75.22,,,,,,,,,Kepler-1580.xml,
Kepler-1581,Kepler-1581,,,,,,,,,,,,,,,,,,,,,,,,,0.08,0.083,0.08,0.084,,,66.8,66.79,81.9,81.89,,,,,,,,,Kepler-1581.xml,
Kepler-1582,Kepler-1582,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.026,0.01,0.011,,,23.9,23.86,24.6,24.62,,,,,,,,,Kepler-1582.xml,
Kepler-1583,Kepler-1583,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.174,0.15,0.149,,,81.5,81.55,83.9,83.87,,,,,,,,,Kepler-1583.xml,
Kepler-1584,Kepler-1584,,,,,,,,,,,,,,,,,,,,,,,,,0.20,0.196,,,,,93.5,93.46,86.3,86.35,,,,,,,,,Kepler-1584.xml,
Kepler-1585,Kepler-1585,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.144,,,154.2,154.22,,,,,,,,,,,Kepler-1585.xml,
Kepler-1586,Kepler-1586,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.152,0.13,0.133,,,,,,,,,,,,,,,Kepler-1586.xml,
Kepler-1587,Kepler-1587,,,,,,,,,,,,,,,,,,,,,,,,,0.09,0.087,,,,,78.0,77.98,79.1,79.13,,,,,,,,,Kepler-1587.xml,
Kepler-1588,Kepler-1588,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.126,,,56.9,56.87,69.5,69.45,,,,,,,,,Kepler-1588.xml,
Kepler-1589,Kepler-1589,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.15,0.149,,,232.4,232.41,169.8,169.76,,,,,,,,,Kepler-1589.xml,
Kepler-159,Kepler-159,0.6280,,0.0150,,0.0150,,0.663,0.66,.034,0.03,0.034,0.03,,,,,,,,,,,,-0.911,,,,,,,,,,,,,,,,,,,Kepler-159.xml,
Kepler-1590,Kepler-1590,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,0.13,0.134,,,,,122.9,122.92,,,,,,,,,Kepler-1590.xml,
Kepler-1591,Kepler-1591,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.175,0.14,0.136,,,232.1,232.08,168.1,168.06,,,,,,,,,Kepler-1591.xml,
Kepler-1592,Kepler-1592,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.13,0.129,,,246.3,246.35,223.9,223.89,,,,,,,,,Kepler-1592.xml,
Kepler-1593,Kepler-1593,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,,,,,219.4,219.42,243.2,243.24,,,,,,,,,Kepler-1593.xml,
Kepler-1594,Kepler-1594,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,,,,,125.4,125.41,,,,,,,,,,,Kepler-1594.xml,
Kepler-1595,Kepler-1595,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,0.15,0.152,,,66.1,66.07,61.2,61.17,,,,,,,,,Kepler-1595.xml,
Kepler-1596,Kepler-1596,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.213,0.16,0.162,,,66.3,66.32,76.5,76.54,,,,,,,,,Kepler-1596.xml,
Kepler-1597,Kepler-1597,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.184,0.12,0.125,,,114.2,114.19,131.9,131.93,,,,,,,,,Kepler-1597.xml,
Kepler-1598,Kepler-1598,,,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,,,88.8,88.75,,,,,,,,,,,Kepler-1598.xml,
Kepler-1599,Kepler-1599,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.13,0.133,,,125.2,125.25,97.6,97.64,,,,,,,,,Kepler-1599.xml,
Kepler-160,Kepler-160,0.9930,,0.0860,,0.0860,,0.884,0.88,,,,,,,,,,,,,,,,-0.361,,,,,,,,,,,,,,,,,,,Kepler-160.xml,
Kepler-1600,Kepler-1600,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.146,0.14,0.144,,,91.4,91.43,66.7,66.69,,,,,,,,,Kepler-1600.xml,
Kepler-1601,Kepler-1601,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.154,0.14,0.145,,,118.6,118.62,90.8,90.84,,,,,,,,,Kepler-1601.xml,
Kepler-1602,Kepler-1602,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.168,0.12,0.119,,,,,217.7,217.69,,,,,,,,,Kepler-1602.xml,
Kepler-1603,Kepler-1603,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.141,,,,,168.5,168.54,116.7,116.66,,,,,,,,,Kepler-1603.xml,
Kepler-1604,Kepler-1604,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.164,0.15,0.151,,,51.4,51.36,49.6,49.62,,,,,,,,,Kepler-1604.xml,
Kepler-1605,Kepler-1605,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.157,,,,,59.1,59.11,56.1,56.11,,,,,,,,,Kepler-1605.xml,
Kepler-1606,Kepler-1606,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.14,0.144,,,,,59.9,59.86,,,,,,,,,Kepler-1606.xml,
Kepler-1607,Kepler-1607,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.146,0.14,0.135,,,199.2,199.25,118.5,118.51,,,,,,,,,Kepler-1607.xml,
Kepler-1608,Kepler-1608,,,,,,,,,,,,,,,,,,,,,,,,,0.24,0.239,0.20,0.201,,,73.0,72.99,119.0,119.01,,,,,,,,,Kepler-1608.xml,
Kepler-1609,Kepler-1609,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.126,0.14,0.145,,,146.7,146.65,89.0,88.96,,,,,,,,,Kepler-1609.xml,
Kepler-161,Kepler-161,0.7830,0.77,0.0550,,0.0550,,0.806,0.81,.052,0.05,0.052,0.05,,,,,,,,,,,,-0.093,,,,,,,,,,,,,,,,,,,Kepler-161.xml,
Kepler-1610,Kepler-1610,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.15,0.154,,,82.7,82.73,61.7,61.72,,,,,,,,,Kepler-1610.xml,
Kepler-1611,Kepler-1611,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.172,0.14,0.135,,,122.5,122.47,89.7,89.65,,,,,,,,,Kepler-1611.xml,
Kepler-1612,Kepler-1612,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.166,,,,,130.3,130.31,105.0,104.98,,,,,,,,,Kepler-1612.xml,
Kepler-1613,Kepler-1613,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.174,0.15,0.152,,,111.6,111.57,92.9,92.89,,,,,,,,,Kepler-1613.xml,
Kepler-1614,Kepler-1614,,,,,,,,,,,,,,,,,,,,,,,,,0.22,0.222,0.17,0.173,,,46.1,46.14,50.4,50.38,,,,,,,,,Kepler-1614.xml,
Kepler-1615,Kepler-1615,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.15,0.147,,,105.6,105.58,86.0,85.98,,,,,,,,,Kepler-1615.xml,
Kepler-1616,Kepler-1616,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.159,0.13,0.127,,,92.8,92.78,93.5,93.46,,,,,,,,,Kepler-1616.xml,
Kepler-1617,Kepler-1617,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.165,0.12,0.123,,,78.0,77.96,84.8,84.79,,,,,,,,,Kepler-1617.xml,
Kepler-1618,Kepler-1618,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.161,,,,,143.9,143.89,213.8,213.78,,,,,,,,,Kepler-1618.xml,
Kepler-1619,Kepler-1619,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,,,81.0,80.99,90.7,90.66,,,,,,,,,Kepler-1619.xml,
Kepler-162,Kepler-162,0.9530,,0.0910,,0.0910,,0.958,0.96,.509,0.51,0.509,0.51,,,,,,,,,,,,-0.301,,,,,,,,,,,,,,,,,,,Kepler-162.xml,
Kepler-1620,Kepler-1620,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.13,0.134,,,167.6,167.55,,,,,,,,,,,Kepler-1620.xml,
Kepler-1621,Kepler-1621,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.133,,,219.7,219.74,276.9,276.88,,,,,,,,,Kepler-1621.xml,
Kepler-1622,Kepler-1622,,,,,,,,,,,,,,,,,,,,,,,,,0.14,0.145,0.13,0.133,,,172.8,172.76,154.5,154.47,,,,,,,,,Kepler-1622.xml,
Kepler-1623,Kepler-1623,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.14,0.143,,,187.2,187.15,140.3,140.28,,,,,,,,,Kepler-1623.xml,
Kepler-1624,Kepler-1624,,,,,,,,,,,,,,,,,,,,,,,,,0.12,0.118,0.11,0.112,,,53.4,53.35,59.0,58.98,,,,,,,,,Kepler-1624.xml,
Kepler-1625,Kepler-1625,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.189,0.13,0.134,,,162.1,162.14,,,,,,,,,,,Kepler-1625.xml,
Kepler-1626,Kepler-1626,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.147,0.13,0.127,,,,,,,,,,,,,,,Kepler-1626.xml,
Kepler-1627,Kepler-1627,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.16,0.161,,,121.2,121.15,93.9,93.89,,,,,,,,,Kepler-1627.xml,
Kepler-1628,Kepler-1628,,,,,,,,,,,,,,,,,,,,,,,,,0.11,0.107,0.10,0.104,,,48.6,48.58,65.6,65.64,,,,,,,,,Kepler-1628.xml,
Kepler-1629,Kepler-1629,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.156,0.15,0.147,,,74.7,74.65,68.4,68.39,,,,,,,,,Kepler-1629.xml,
Kepler-163,Kepler-163,,,0.0760,,0.0760,,0.917,0.92,,,,,,,,,,,,,,,,-0.016,,,,,,,,,,,,,,,,,,,Kepler-163.xml,
Kepler-1630,Kepler-1630,,,,,,,,,,,,,,,,,,,,,,,,,0.10,0.105,0.23,0.225,,,64.3,64.28,,,,,,,,,,,Kepler-1630.xml,
Kepler-1631,Kepler-1631,,,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.151,,,148.9,148.91,101.5,101.54,,,,,,,,,Kepler-1631.xml,
Kepler-1632,Kepler-1632,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.194,0.13,0.131,,,176.5,176.47,159.6,159.61,,,,,,,,,Kepler-1632.xml,
Kepler-1633,Kepler-1633,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.163,0.13,0.128,,,118.4,118.36,119.7,119.67,,,,,,,,,Kepler-1633.xml,
Kepler-1634,Kepler-1634,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.162,0.15,0.147,,,144.4,144.37,149.6,149.64,,,,,,,,,Kepler-1634.xml,
Kepler-1635,Kepler-1635,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.16,0.161,,,54.0,53.97,51.1,51.14,,,,,,,,,Kepler-1635.xml,
Kepler-1636,Kepler-1636,,,,,,,,,,,,,,,,,,,,,,,,,0.15,0.155,,,,,166.6,166.58,171.8,171.84,,,,,,,,,Kepler-1636.xml,
Kepler-1637,Kepler-1637,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.15,0.153,,,94.9,94.94,79.6,79.58,,,,,,,,,Kepler-1637.xml,
Kepler-1638,Kepler-1638,,,,,,,,,,,,,,,,,,,,,,,,,0.19,0.188,0.14,0.141,,,111.4,111.43,,,,,,,,,,,Kepler-1638.xml,
Kepler-1639,Kepler-1639,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.184,0.14,0.136,,,82.9,82.94,91.5,91.49,,,,,,,,,Kepler-1639.xml,
Kepler-164,Kepler-164,1.1500,1.11,0.1200,,0.1200,,1.148,1.15,.219,0.22,0.219,0.22,,,,,,,,,,,,-0.125,,,,,,,13,113.0,,,,,,,,,,,Kepler-164.xml,
Kepler-1640,Kepler-1640,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.132,0.15,0.152,,,142.3,142.31,102.0,102.05,,,,,,,,,Kepler-1640.xml,
Kepler-1641,Kepler-1641,,,,,,,,,,,,,,,,,,,,,,,,,0.21,0.207,0.14,0.135,,,233.6,233.57,174.0,173.97,,,,,,,,,Kepler-1641.xml,
Kepler-1642,Kepler-1642,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.167,0.14,0.143,,,191.9,191.86,178.9,178.89,,,,,,,,,Kepler-1642.xml,
Kepler-1643,Kepler-1643,,,,,,,,,,,,,,,,,,,,,,,,,0.17,0.171,0.14,0.137,,,,,58.7,58.66,,,,,,,,,Kepler-1643.xml,
Kepler-1644,Kepler-1644,,,,,,,,,,,,,,,,,,,,,,,,,0.18,0.177,0.17,0.167,,,,,66.4,66.43,,,,,,,,,Kepler-1644.xml,
Kepler-1645,Kepler-1645,,,,,,,,,,,,,,,,,,,,,,,,,0.16,0.158,0.14,0.138,,,151.4,151.42,119.7,119.73,,,,,,,,,Kepler-1645.xml,
Kepler-1646,Kepler-1646,,,,,,,,,,,,,,,,,,,,,,,,,0.13,0.131,0.13,0.127,,,41.1,41.07,36.2,36.22,,,,,,,,,Kepler-1646.xml,
Kepler-165,Kepler-165,0.7900,,0.0320,,0.0320,,,,.467,0.47,0.467,0.47,,,,,,,,,,,,-0.28,,,,,,,,,,,,,,,,,,,Kepler-165.xml,
Kepler-166,Kepler-166,0.8790,,0.0780,,0.0780,,0.742,0.74,.382,0.38,0.382,0.38,,,,,,,,,,,,-0.286,,,,,,,,,,,,,,,,,,,Kepler-166.xml,
Kepler-167,Kepler-167,0.7130,0.76,0.0200,,0.0200,,0.696,0.7,.037,0.04,0.037,0.04,,,,,,,,,,,,0.052,,,,,,,,,,,,,,,,,,,Kepler-167.xml,
Kepler-168,Kepler-168,1.1200,,0.1100,,0.1100,,1.107,1.11,.496,0.5,0.496,0.5,,,,,,,,,,,,-0.012,,,,,,,,,,,,,,,,,,,Kepler-168.xml,
Kepler-169,Kepler-169,0.9180,0.86,0.0520,,0.0520,,0.763,0.76,.046,0.05,0.046,0.05,,,,,,,,,,,,0.238,,,,,,,,,,,,,,,,,,,Kepler-169.xml,
Kepler-17,Kepler-17,,,,,,,,,,,,,,1.78,,inf,,nan,,inf,,nan,,,,,,,,,,,,,g2v,,,,,,,,Kepler-17.xml,
Kepler-170,Kepler-170,1.0890,,0.0230,,0.0230,,1.035,1.03,.058,0.06,0.058,0.06,,,,,,,,,,,,0.234,,,,,,,7,57.0,,,,,,,,,,,Kepler-170.xml,
Kepler-171,Kepler-171,0.9310,,0.0550,,0.0550,,0.839,0.84,.376,0.38,0.376,0.38,,,,,,,,,,,,-0.151,,,,,,,,,,,,,,,,,,,Kepler-171.xml,
Kepler-172,Kepler-172,0.8500,0.86,0.0760,,0.0760,,1.085,1.08,.191,0.19,0.191,0.19,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,Kepler-172.xml,
Kepler-173,Kepler-173,1.0600,0.78,0.1200,,0.1200,,0.949,0.95,.473,0.47,0.473,0.47,,,,,,,,,,,,-0.786,,,,,,,,,,,,,,,,,,,Kepler-173.xml,
Kepler-174,Kepler-174,0.6020,,0.0190,,0.0190,,0.622,0.62,.032,0.03,0.032,0.03,,,,,,,,,,,,-0.556,,,,,,,26,126.0,,,,,,,,,,,Kepler-174.xml,
Kepler-175,Kepler-175,1.0450,1.04,0.0880,,0.0880,,,,.504,0.5,0.504,0.5,,,,,,,,,,,,-0.023,,,,,,,,,,,,,,,,,,,Kepler-175.xml,
Kepler-176,Kepler-176,,,,,,,0.891,0.89,.456,0.46,0.456,0.46,,,,,,,,,,,,0.072,,,,,,,,,,,,,,,,,,,Kepler-176.xml,
KOI-523,Kepler-177,,,0.28,0.49,0.40,0.28,,,,,,,1.8000,,1.2000,,1.2000,,,,,,,0.091,,,,,6197.00,5942.0,105.00,,105.00,,,,,15.0,,,,,KOI-523.xml,
Kepler-178,Kepler-178,0.8900,,0.0950,,0.0950,,1.066,1.07,.454,0.45,0.454,0.45,,,,,,,,,,,,-0.188,,,,,,,,,,,,,,,,,,,Kepler-178.xml,
Kepler-179,Kepler-179,0.8420,,0.0250,,0.0250,,0.759,0.76,.307,0.31,0.307,0.31,,,,,,,,,,,,-0.01,,,,,,,,,,,,,,,,,,,Kepler-179.xml,
Kepler-18,Kepler-18,,,,0.042,,0.042,,,,0.051,,0.051,,10.0,,2.3,,2.3,,2.3,,2.3,,,,0.04,,0.04,,,,44.0,,44.0,,,,,,,,,Kepler-18.xml,
Kepler-180,Kepler-180,0.9100,0.84,0.1100,,0.1100,,1.063,1.06,.471,0.47,0.471,0.47,,,,,,,,,,,,-0.194,,,,,,,,,,,,,,,,,,,Kepler-180.xml,
Kepler-181,Kepler-181,0.8530,,0.0320,,0.0320,,0.749,0.75,.367,0.37,0.367,0.37,,,,,,,,,,,,-0.162,,,,,,,,,,,,,,,,,,,Kepler-181.xml,
Kepler-182,Kepler-182,1.1000,1.14,0.1500,,0.1500,,1.146,1.15,.512,0.51,0.512,0.51,,,,,,,,,,,,0.077,,,,,,,,,,,,,,,,,,,Kepler-182.xml,
Kepler-183,Kepler-183,0.9900,,0.0700,,0.0700,,0.958,0.96,.414,0.41,0.414,0.41,,,,,,,,,,,,0.026,,,,,,,,,,,,,,,,,,,Kepler-183.xml,
Kepler-184,Kepler-184,0.9700,,0.1200,,0.1200,,0.873,0.87,,,,,,,,,,,,,,,,-0.338,,,,,,,,,,,,,,,,,,,Kepler-184.xml,
Kepler-185,Kepler-185,0.7730,0.79,0.0780,,0.0780,,0.806,0.81,,,,,,,,,,,,,,,,-0.051,,,,,,,,,,,,,,,,,,,Kepler-185.xml,
Kepler-186,Kepler-186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepler-186.xml,
Kepler-187,Kepler-187,1.0000,0.85,0.1000,,0.1000,,1.287,1.29,.247,0.25,0.247,0.25,,,,,,,,,,,,-0.345,,,,,,,29,129.0,,,,,,,,,,,Kepler-187.xml,
Kepler-188,Kepler-188,1.0100,,0.1200,,0.1200,,1.141,1.14,.514,0.51,0.514,0.51,,,,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,Kepler-188.xml,
Kepler-189,Kepler-189,0.8240,0.79,0.0410,,0.0410,,,,.376,0.38,0.376,0.38,,,,,,,,,,,,-0.134,,,,,,,,,,,,,,,,,,,Kepler-189.xml,
Kepler-19,Kepler-19,,,,,,,,,,,,,,,,,,,,1.7,,1.7,,,,0.06,,0.06,,,,,,,g8v,,,,,,,,Kepler-19.xml,
Kepler-190,Kepler-190,0.8020,0.84,0.0480,,0.0480,,0.795,0.8,.049,0.05,0.049,0.05,,,,,,,,,,,,0.009,,,,,,,,,,,,,,,,,,,Kepler-190.xml,
Kepler-191,Kepler-191,0.8280,0.85,0.0730,,0.0730,,0.789,0.79,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,,,,,,Kepler-191.xml,
Kepler-192,Kepler-192,0.9050,,0.0350,,0.0350,,1.007,1.01,.164,0.16,0.164,0.16,,,,,,,,,,,,-0.153,,,,,,,,,,,,,,,,,,,Kepler-192.xml,
Kepler-193,Kepler-193,1.1390,,0.0860,,0.0860,,1.147,1.15,.515,0.52,0.515,0.52,,,,,,,,,,,,-0.011,,,,,,,,,,,,,,,,,,,Kepler-193.xml,
Kepler-194,Kepler-194,1.0530,,0.0920,,0.0920,,1.025,1.02,.537,0.54,0.537,0.54,,,,,,,,,,,,-0.298,,,,,,,,,,,,,,,,,,,Kepler-194.xml,
Kepler-195,Kepler-195,0.8430,,0.0460,,0.0460,,0.775,0.78,.284,0.28,0.284,0.28,,,,,,,,,,,,-0.052,,,,,,,,,,,,,,,,,,,Kepler-195.xml,
Kepler-196,Kepler-196,,,,,,,0.782,0.78,.056,0.06,0.056,0.06,,,,,,,,,,,,0.071,,,,,,,,,,,,,,,,,,,Kepler-196.xml,
Kepler-197,Kepler-197,0.8640,,0.0350,,0.0350,,,,0.033,0.03,0.033,0.03,,,,,,,,,,,,-0.533,,,,,,,,,,,,,11.78,,0.17,,0.17,,Kepler-197.xml,
Kepler-198,Kepler-198,0.9580,0.93,0.0450,,0.0450,,,,.139,0.14,0.139,0.14,,,,,,,,,,,,-0.14,,,,,,,,,,,,,,,,,,,Kepler-198.xml,
Kepler-199,Kepler-199,1.0030,,0.0810,,0.0810,,0.967,0.97,.173,0.17,0.173,0.17,,,,,,,,,,,,-0.157,,,,,,,17,117.0,,,,,,,,,,,Kepler-199.xml,
Kepler-20,Kepler-20,,,,0.035,,0.035,,,,0.095,,0.095,,8.8,,2.7,,2.7,,2.7,,2.7,,,,0.04,,0.04,,,,93.0,,93.0,g8,,,,,,,,Kepler-20.xml,
Kepler-200,Kepler-200,1.0420,,0.0990,,0.0990,,0.944,0.94,.158,0.16,0.158,0.16,,,,,,,,,,,,-0.118,,,,,,,,,,,,,,,,,,,Kepler-200.xml,
Kepler-201,Kepler-201,1.1770,1.17,0.0510,,0.0510,,1.229,1.23,,,,,,,,,,,,,,,,-0.279,,,,,,,17,117.0,,,,,,,,,,,Kepler-201.xml,
Kepler-202,Kepler-202,0.6830,,0.0180,,0.0180,,0.667,0.67,.034,0.03,0.034,0.03,,,,,,,,,,,,0.012,,,,,,,,,,,,,,,,,,,Kepler-202.xml,
Kepler-203,Kepler-203,1.0100,0.98,0.1500,,0.1500,,1.114,1.11,.213,0.21,0.213,0.21,,,,,,,,,,,,-0.107,,,,,,,,,,,,,,,,,,,Kepler-203.xml,
Kepler-204,Kepler-204,1.0500,0.96,0.1300,,0.1300,,1.238,1.24,.263,0.26,0.263,0.26,,,,,,,,,,,,-0.213,,,,,,,,,,,,,,,,,,,Kepler-204.xml,
Kepler-205,Kepler-205,0.5920,,0.0140,,0.0140,,0.546,0.55,.022,0.02,0.022,0.02,,,,,,,,,,,,-0.149,,,,,,,,,,,,,,,,,,,Kepler-205.xml,
Kepler-206,Kepler-206,1.0210,0.94,0.0980,,0.0980,,1.185,1.19,.228,0.23,0.228,0.23,,,,,,,,,,,,-0.149,,,,,,,,,,,,,,,,,,,Kepler-206.xml,
Kepler-207,Kepler-207,1.0400,,0.0940,,0.0940,,1.588,1.59,.302,0.3,0.302,0.3,,,,,,,,,,,,-0.023,,,,,,,16,116.0,,,,,,,,,,,Kepler-207.xml,
Kepler-208,Kepler-208,0.9630,1.03,,,,,1.314,1.31,.243,0.24,0.243,0.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepler-208.xml,
Kepler-209,Kepler-209,0.9310,,0.0320,,0.0320,,0.935,0.94,.138,0.14,0.138,0.14,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,Kepler-209.xml,
Kepler-21 A,Kepler-21,,,0.010,0.06,0.010,0.06,,,0.020,0.04,0.020,0.04,,2.84,,0.35,,0.35,,0.35,,0.35,,,,,,,,,,,,,f6iv,,8.25,8.27,0.01,,0.01,,Kepler-21.xml,
Kepler-210,Kepler-210,0.6120,0.63,0.0230,,0.0230,,0.650,0.69,0.033,,0.033,,0.350,,0.050,,0.050,,,,,,,,,,,,4559,4300.0,100,,100,,k,,,14.4,,,,,Kepler-210.xml,
Kepler-211,Kepler-211,0.9140,0.97,0.0570,,0.0570,,0.816,0.82,.054,0.05,0.054,0.05,,,,,,,,,,,,0.106,,,,,,,,,,,,,,,,,,,Kepler-211.xml,
Kepler-212,Kepler-212,1.1660,1.16,0.0370,,0.0370,,1.455,1.46,.272,0.27,0.272,0.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kepler-212.xml,
Kepler-213,Kepler-213,0.9760,0.94,0.0400,,0.0400,,1.195,1.2,.223,0.22,0.223,0.22,,,,,,,,,,,,-0.051,,,,,,,,,,,,,,,,,,,Kepler-213.xml,
Kepler-214,Kepler-214,1.1500,,0.1100,,0.1100,,1.352,1.35,.252,0.25,0.252,0.25,,,,,,,,,,,,-0.359,,,,,,,,,,,,,,,,,,,Kepler-214.xml,
