Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
61 Vir d,61 Vir d,confirmedplanets,,0.0721,0.072,0.0082,0.008,0.0082,0.008,,0.008,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/02,2009-12-15,61 Vir.xml,
7 CMa b,7 CMa b,confirmedplanets,,,,,,,,,0.14,,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/10/25,2015-10-19,7 CMa.xml,
70 Vir b,70 Vir b,confirmedplanets,,,,0,,0,,,,,,,,,,,,,,,,,,0.0014,0.01,0.0014,0.01,,,,,,,0,,0,,,,,,0,,,,,,,,,,rv,radialvelocity,,,15/04/15,2010-12-29,70 Vir.xml,
75 Cet b,75 Cet b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/02,2012-09-03,75 Cet.xml,
81 Cet b,81 Cet b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/09/20,2014-08-27,81 Cet.xml,
91 Aquarii A b,91 Aqr b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/03,2015-08-21,91 Aquarii.xml,
AB Pic b,AB Pic b,confirmedplanets,,0.5,13.5,,0.5,,0.5,10,0.5,14,0.5,1.55,,,,,,1.5,,1.6,,,,,,,,,,,,,,,,,,,,,,1750,,100,,100,,,,,,,,,,10/12/06,2010-12-06,AB Pic.xml,
alf Tau b,Aldebaran b,controversial|planetsinbinarysystems|s-type,,,,,,,,,0.53,,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,2015,1998,15/11/17,2015-05-15,alf Tau.xml,
BD+14 4559 b,BD+14 4559 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/26,2016-02-23,BD+14 4559.xml,
BD+15 2940 b,BD+15 2940 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/23,2013-04-30,BD+15 2940.xml,
BD+20 2457 b,BD+20 2457 b,controversial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/26,2016-02-23,BD+20 2457.xml,
BD+20 2457 c,BD+20 2457 c,controversial,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/26,2016-02-23,BD+20 2457.xml,
BD+48 738 b,BD+48 738 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2016-02-23,BD+48 738.xml,
BD+49 828 b,BD+49 828 b,confirmedplanets,,,,,,,,,0.2,,0.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/23,2015-07-26,BD+49 828.xml,
Gliese 221 b,BD-06 1339 b,confirmedplanets,,0.13,0.027,0.0118,0.004,0.0118,0.004,,0.004,,0.004,,,,,,,,,,,125.06,3.8728,1.1,0.0004,1.1,0.0004,,,,,,0.0,,,,,,,0.24,,,,,,,,,,,,rv,radialvelocity,,,13/05/13,2016-02-23,Gliese 221.xml,
Gliese 221 c,BD-06 1339 c,confirmedplanets,,0.0196,0.17,0.00541,0.03,0.00541,0.03,,0.03,,0.03,,,,,,,,,,,3.8731,125.94,0.00066,0.44,0.00066,0.44,,,,,,0.0,,,,,,,0.48,,,,,,,,,,,,rv,radialvelocity,,,13/05/13,2016-02-23,Gliese 221.xml,
BD-08 2823 b,BD-08 2823 b,confirmedplanets,,,,,,,,,0.007,,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2016-02-23,BD-08 2823.xml,
BD-08 2823 c,BD-08 2823 c,confirmedplanets,,,,,,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2016-02-23,BD-08 2823.xml,
BD-10 3166 b,BD-10 3166 b,confirmedplanets,,0.408,0.46,0.035,,0.035,,,,,,,1.03,,,,,,,,,3.48777,3.4878,0.00011,0.0001,0.00011,0.0001,,,,,0.0190,0.0104,0.0230,0.0192,0.0230,0.0104,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2015-02-24,BD-10 3166.xml,
BD-11 4672 b,BD-11 4672 b,confirmedplanets,,,,,,,,,0.05,,0.05,,,,,,,,,,,,,31,33.0,,,,,,,,,0.04,0.05,0.06,0.05,,,,,,,,,,,,,,,rv,radialvelocity,2014,2010,15/11/17,2016-02-23,BD-11 4672.xml,
BD-17 63 b,BD-17 63 b,confirmedplanets,,,,,,,,,0.12,,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,rv,radialvelocity,,,15/11/17,2014-08-27,BD-17 63.xml,
CFBDS 1458 b,CFBDS 1458 b,confirmedplanets,,,,,4.5,,4.5,,4.5,,4.5,,,,,,,,,,,9855,14600.0,,8800.0,,8800.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/08,2011-09-28,CFBDS 1458.xml,
CHXR 73 b,CHXR 73 b,confirmedplanets,,,,,5.0,,8.0,,5.0,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11/03/08,2014-05-25,CHXR 73.xml,
CT Cha B,CT Cha b,confirmedplanets,,,17.0,,6.0,,6.0,14,6.0,24,6.0,2.4,2.2,,0.6,,0.6,,,,,,,,,,,,,,,,,,,,,,,,,2500,,100,,100,,,,,,,,,,15/06/08,2008-09-24,CT Cha.xml,
PTFO 8-8695 b,CVSO 30 b ,controversial,,,6.2,,1.7,,1.9,,1.7,3,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,15/07/29,2016-06-12,PTFO 8-8695.xml,
