Primary planet name(from standardize_OEC_planet.csv),# name(from standardize_EU_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_EU_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),mass(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),mass_error_min(from standardize_EU_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),mass_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),radius(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),radius_error_min(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),radius_error_max(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),Radius [Rjup] lowerlimit(from standardize_EU_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),Radius [Rjup] upperlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),orbital_period(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),orbital_period_error_min(from standardize_EU_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),orbital_period_error_max(from standardize_EU_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),Orbital period [days] lowerlimit(from standardize_EU_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),Orbital period [days] upperlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),eccentricity(from standardize_EU_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),eccentricity_error_min(from standardize_EU_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),eccentricity_error_max(from standardize_EU_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),Eccentricity lowerlimit(from standardize_EU_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),Eccentricity upperlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),temp_calculated(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorminus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),Equilibrium temperature [K] errorplus(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] lowerlimit(from standardize_EU_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),Equilibrium temperature [K] upperlimit(from standardize_EU_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),detection_type(from standardize_EU_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),discovered(from standardize_EU_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),updated(from standardize_EU_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_EU_Catalogue_Data.csv)
Kepler-161 c,Kepler-161 c,confirmedplanets,,,,,,,,,,,,0.18682,0.183,0.01367,0.013,0.01367,0.013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-161.xml,
Kepler-1610 b,Kepler-1610 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1610.xml,
Kepler-1611 b,Kepler-1611 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1611.xml,
Kepler-1612 b,Kepler-1612 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1612.xml,
Kepler-1613 b,Kepler-1613 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1613.xml,
Kepler-1614 b,Kepler-1614 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1614.xml,
Kepler-1615 b,Kepler-1615 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1615.xml,
Kepler-1616 b,Kepler-1616 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1616.xml,
Kepler-1617 b,Kepler-1617 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1617.xml,
Kepler-1618 b,Kepler-1618 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1618.xml,
Kepler-1619 b,Kepler-1619 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1619.xml,
Kepler-162 b,Kepler-162 b,confirmedplanets,,,,,,,,,,,,0.11482,0.112,0.06106,0.06,0.06106,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-162.xml,
Kepler-162 c,Kepler-162 c,confirmedplanets,,,,,,,,,,,,0.27612,0.27,0.05741,0.145,0.14854,0.145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-162.xml,
Kepler-1620 b,Kepler-1620 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1620.xml,
Kepler-1621 b,Kepler-1621 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1621.xml,
Kepler-1622 b,Kepler-1622 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1622.xml,
Kepler-1623 b,Kepler-1623 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1623.xml,
Kepler-1624 b,Kepler-1624 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1624.xml,
Kepler-1625 b,Kepler-1625 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1625.xml,
Kepler-1626 b,Kepler-1626 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1626.xml,
Kepler-1627 b,Kepler-1627 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1627.xml,
Kepler-1628 b,Kepler-1628 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1628.xml,
Kepler-1629 b,Kepler-1629 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1629.xml,
Kepler-163 b,Kepler-163 b,confirmedplanets,,,,,,,,,,,,0.09569,0.094,0.04010,0.039,0.04010,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-163.xml,
Kepler-163 c,Kepler-163 c,confirmedplanets,,,,,,,,,,,,0.20595,0.202,0.08566,0.084,0.08566,0.084,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-163.xml,
Kepler-1630 b,Kepler-1630 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1630.xml,
Kepler-1631 b,Kepler-1631 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1631.xml,
Kepler-1632 b,Kepler-1632 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1632.xml,
Kepler-1633 b,Kepler-1633 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1633.xml,
Kepler-1634 b,Kepler-1634 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1634.xml,
Kepler-1635 b,Kepler-1635 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1635.xml,
Kepler-1636 b,Kepler-1636 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1636.xml,
Kepler-1637 b,Kepler-1637 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1637.xml,
Kepler-1638 b,Kepler-1638 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1638.xml,
Kepler-1639 b,Kepler-1639 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1639.xml,
Kepler-164 b,Kepler-164 b,confirmedplanets,,,,,,,,,,,,0.12849,0.126,0.02552,0.025,0.02552,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-164.xml,
Kepler-164 c,Kepler-164 c,confirmedplanets,,,,,,,,,,,,0.24879,0.244,0.04739,0.046,0.04739,0.046,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-164.xml,
Kepler-164 d,Kepler-164 d,confirmedplanets,,,,,,,,,,,,0.22327,0.219,0.04283,0.042,0.04283,0.042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-164.xml,
Kepler-1640 b,Kepler-1640 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1640.xml,
Kepler-1641 b,Kepler-1641 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1641.xml,
Kepler-1641 c,Kepler-1641 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1641.xml,
Kepler-1642 b,Kepler-1642 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1642.xml,
Kepler-1642 c,Kepler-1642 c,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1642.xml,
Kepler-1643 b,Kepler-1643 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1643.xml,
Kepler-1644 b,Kepler-1644 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1644.xml,
Kepler-1645 b,Kepler-1645 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1645.xml,
Kepler-1646 b,Kepler-1646 b,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-1646.xml,
Kepler-165 b,Kepler-165 b,confirmedplanets,,,,,,,,,,,,0.21142,0.207,0.03736,0.126,0.12849,0.126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-165.xml,
Kepler-165 c,Kepler-165 c,confirmedplanets,,,,,,,,,,,,0.20322,0.199,0.03190,0.12,0.12303,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-165.xml,
Kepler-166 b,Kepler-166 b,confirmedplanets,,,,,,,,,,,,0.20687,0.203,0.01549,0.104,0.10662,0.104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-166.xml,
Kepler-166 c,Kepler-166 c,confirmedplanets,,,,,,,,,,,,0.21689,0.212,0.02096,0.11,0.11209,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-166.xml,
Kepler-166 d,Kepler-166 d,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-166.xml,
Kepler-167 b,Kepler-167 b,confirmedplanets,,,,,,,,,,,,0.13214,0.129,0.00820,0.008,0.00820,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-167.xml,
Kepler-167 c,Kepler-167 c,confirmedplanets,,,,,,,,,,,,0.12485,0.122,0.00729,0.007,0.00729,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-167.xml,
Kepler-168 b,Kepler-168 b,confirmedplanets,,,,,,,,,,,,0.13305,0.13,0.06015,0.059,0.06015,0.059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-168.xml,
Kepler-168 c,Kepler-168 c,confirmedplanets,,,,,,,,,,,,0.24514,0.24,0.01914,0.108,0.11027,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-168.xml,
Kepler-169 b,Kepler-169 b,confirmedplanets,,,,,,,,,,,,0.10298,0.101,0.00729,0.007,0.00729,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-169.xml,
Kepler-169 c,Kepler-169 c,confirmedplanets,,,,,,,,,,,,0.11027,0.108,0.00729,0.007,0.00729,0.007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-169.xml,
Kepler-169 d,Kepler-169 d,confirmedplanets,,,,,,,,,,,,0.11391,0.112,0.00820,0.008,0.00820,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-169.xml,
Kepler-169 e,Kepler-169 e,confirmedplanets,,,,,,,,,,,,0.20049,0.196,0.02643,0.026,0.02643,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-169.xml,
Kepler-169 f,Kepler-169 f,confirmedplanets,,,,,,,,,,,,0.23512,0.23,0.02187,0.021,0.02187,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-169.xml,
Kepler-17 b,Kepler-17 b,confirmedplanets,,2.47,2.45,0.10,0.014,0.10,0.014,,0.014,,0.014,1.33,1.312,0.04,0.018,0.04,0.018,,,,,,,,2e-07,,2e-07,,,,,,,,inf,,nan,,,,,1622.7,1655.0,,,,,,,,,transit,primarytransit,,,15/12/03,2013-10-19,Kepler-17.xml,
Kepler-170 b,Kepler-170 b,confirmedplanets,,,,,,,,,,,,0.29162,0.285,0.02005,0.02,0.02005,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-170.xml,
Kepler-170 c,Kepler-170 c,confirmedplanets,,,,,,,,,,,,0.26063,0.255,0.01549,0.015,0.01549,0.015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-170.xml,
Kepler-171 b,Kepler-171 b,confirmedplanets,,,,,,,,,,,,0.21324,0.209,0.00456,0.094,0.09569,0.094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-171.xml,
Kepler-171 c,Kepler-171 c,confirmedplanets,,,,,,,,,,,,0.23329,0.228,0.01367,0.103,0.10480,0.103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-171.xml,
Kepler-171 d,Kepler-171 d,confirmedplanets,,,,,,,,,,,,0.17224,0.169,0.08202,0.08,0.08202,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-171.xml,
Kepler-172 b,Kepler-172 b,confirmedplanets,,,,,,,,,,,,0.21416,0.21,0.03827,0.037,0.03827,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-172.xml,
Kepler-172 c,Kepler-172 c,confirmedplanets,,,,,,,,,,,,0.26063,0.255,0.04830,0.047,0.04830,0.047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-172.xml,
Kepler-172 d,Kepler-172 d,confirmedplanets,,,,,,,,,,,,0.20504,0.201,0.03645,0.036,0.03645,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-172.xml,
Kepler-172 e,Kepler-172 e,confirmedplanets,,,,,,,,,,,,0.25152,0.246,0.05103,0.05,0.05103,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-172.xml,
Kepler-173 b,Kepler-173 b,confirmedplanets,,,,,,,,,,,,0.11756,0.115,0.05832,0.057,0.05832,0.057,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-173.xml,
Kepler-173 c,Kepler-173 c,confirmedplanets,,,,,,,,,,,,0.22145,0.217,0.01914,0.108,0.11027,0.108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-173.xml,
Kepler-174 b,Kepler-174 b,confirmedplanets,,,,,,,,,,,,0.17862,0.175,0.01002,0.01,0.01002,0.01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-174.xml,
Kepler-174 c,Kepler-174 c,confirmedplanets,,,,,,,,,,,,0.13578,0.133,0.00820,0.008,0.00820,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-174.xml,
Kepler-174 d,Kepler-174 d,confirmedplanets,,,,,,,,,,,,0.19958,0.195,0.01185,0.012,0.01185,0.012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-174.xml,
Kepler-175 b,Kepler-175 b,confirmedplanets,,,,,,,,,,,,0.23329,0.228,0.02552,0.114,0.11665,0.114,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-175.xml,
Kepler-175 c,Kepler-175 c,confirmedplanets,,,,,,,,,,,,0.28250,0.277,0.05103,0.139,0.14216,0.139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-175.xml,
Kepler-176 b,Kepler-176 b,confirmedplanets,,,,,,,,,,,,0.13032,0.128,0.06653,0.065,0.06653,0.065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-176.xml,
Kepler-176 c,Kepler-176 c,confirmedplanets,,,,,,,,,,,,0.23694,0.232,0.03007,0.119,0.12120,0.119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-176.xml,
Kepler-176 d,Kepler-176 d,confirmedplanets,,,,,,,,,,,,0.22874,0.224,0.02916,0.118,0.12029,0.118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-176.xml,
Kepler-176 e,Kepler-176 e,confirmedplanets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,16/05/10,2016-05-12,Kepler-176.xml,
KOI-523.02,Kepler-177 b,confirmedplanets,,,,0.00063,0.00787,0.00786,0.00378,,0.00787,,0.00378,0.26428,0.259,0.01367,0.013,0.01367,0.013,,,,,36.855,35.855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,13/09/13,2013-12-20,KOI-523.xml,
KOI-523.01,Kepler-177 c,confirmedplanets,,0.01982,0.0198,0.00094,0.033,0.03334,0.0107,,0.033,,0.0107,0.64703,0.635,0.03372,0.033,0.03372,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,13/09/13,2013-12-20,KOI-523.xml,
Kepler-178 b,Kepler-178 b,confirmedplanets,,,,,,,,,,,,0.26428,0.259,0.02278,0.112,0.11391,0.112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-178.xml,
Kepler-178 c,Kepler-178 c,confirmedplanets,,,,,,,,,,,,0.26246,0.257,0.02096,0.11,0.11209,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-178.xml,
Kepler-178 d,Kepler-178 d,confirmedplanets,,,,,,,,,,,,0.35996,0.352,0.06379,0.152,0.15492,0.152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-178.xml,
Kepler-179 b,Kepler-179 b,confirmedplanets,,,,,,,,,,,,0.14945,0.146,0.06197,0.061,0.06197,0.061,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-179.xml,
Kepler-179 c,Kepler-179 c,confirmedplanets,,,,,,,,,,,,0.18226,0.178,0.07382,0.072,0.07382,0.072,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-179.xml,
Kepler-18 b,Kepler-18 b,confirmedplanets,,0.0217,0.0216153289494384,,0.0109492495988421,,0.0109492495988421,,0.0109492495988421,,0.0109492495988421,0.179,0.17842836725554,,0.00802927652649929,,0.00802927652649929,,,,,,,,2.8e-05,,2.8e-05,,,,,,,,,,,,,,,1181.7,,,,,,,,,,transit,primarytransit,,,11/10/05,2013-11-05,Kepler-18.xml,
Kepler-18 c,Kepler-18 c,confirmedplanets,,0.054,0.0541169807758865,,0.00597803857408048,,0.00597803857408048,,0.00597803857408048,,0.00597803857408048,0.49,0.488893726280179,,0.0223035459069425,,0.0223035459069425,,,,,,,,3e-05,,3e-05,,,,,,,,,,,,,,,911.1,,,,,,,,,,transit,primarytransit,,,11/10/05,2013-11-05,Kepler-18.xml,
Kepler-18 d,Kepler-18 d,confirmedplanets,,0.052,0.0512852782934273,,0.00437340716735362,,0.00437340716735362,,0.00437340716735362,,0.00437340716735362,0.62,0.621822859885556,,0.0285485387608864,,0.0285485387608864,,,,,,,,4e-05,,4e-05,,,,,,,,,,,,,,,729.8,,,,,,,,,,transit,primarytransit,,,11/10/05,2013-11-05,Kepler-18.xml,
Kepler-180 b,Kepler-180 b,confirmedplanets,,,,,,,,,,,,0.13670,0.134,0.06106,0.06,0.06106,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-180.xml,
Kepler-180 c,Kepler-180 c,confirmedplanets,,,,,,,,,,,,0.27430,0.269,0.03098,0.12,0.12211,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-180.xml,
Kepler-181 b,Kepler-181 b,confirmedplanets,,,,,,,,,,,,0.11574,0.113,0.05650,0.055,0.05650,0.055,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,primarytransit,,,14/02/26,2014-03-06,Kepler-181.xml,
