Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
HIP 97233,HIP 97233,19 45 41.274,,-00 41 47.93,,106,106.5,,7.9,,7.9,HIP 97233.xml,
HN Peg,HN Peg,21 44 31,,+14 46 19,,,,,,,,HN Peg.xml,
HR 810,HR 810,02 42 31,,-50 48 12,,,,,0.07,,0.07,HR 810.xml,
HR 8799,HR 8799,23 07 28.71507,,+21 08 03.3053,,,,1.09,1.0,1.09,1.0,HR 8799.xml,
EPIC 201577035,K2-10,11 28 29.27,,+01 41 26.29,,271,,21,,48,,EPIC 201577035.xml,
EPIC 201596316,K2-11,11 16 10.08,,+01 59 12.62,,,,,,,,EPIC 201596316.xml,
EPIC 201613023,K2-12,11 32 46.089,,+02 14 41.58,,,,,,,,EPIC 201613023.xml,
EPIC 201629650,K2-13,11 20 37.327,,+02 30 09.71,,,,,,,,EPIC 201629650.xml,
EPIC 201635569,K2-14,11 52 13.686,,+02 35 39.28,,,,,,,,EPIC 201635569.xml,
EPIC 201736247,K2-15,11 52 26.591,,+04 15 17.09,,,,,,,,EPIC 201736247.xml,
EPIC 201754305,K2-16,11 40 23.342,,+04 33 26.42,,,,,,,,EPIC 201754305.xml,
EPIC 201855371,K2-17,11 53 19.146,,+06 24 44.14,,,,,,,,EPIC 201855371.xml,
EPIC 201912552,K2-18,11 30 14.511,,+07 35 18.21,,,,,,,,EPIC 201912552.xml,
EPIC 201505350,K2-19,11 39 50.477,,+00 36 12.87,,,,,,,,EPIC 201505350.xml,
K2-26,K2-26,06 16 49.579,,+24 35 47.08,,93,,7,,7,,K2-26.xml,
EPIC 201546283,K2-27,11 26 03.639,,+01 13 50.66,,251,,29,,2138,,EPIC 201546283.xml,
EPIC 206318379,K2-28,22 22 29.85,,-07 57 19.3,,,,,,,,EPIC 206318379.xml,
EPIC 201367065,K2-3,11 29 20.388,,-01 27 17.23,,45,42.0,4,2.0,3,2.0,EPIC 201367065.xml,
EPIC 201208431,K2-4,11 38 58.953,,-03 54 20.11,,,,,,,,EPIC 201208431.xml,
EPIC 201338508,K2-5,11 17 12.84,,-01 52 40.71,,,,,,,,EPIC 201338508.xml,
EPIC 201384232,K2-6,11 52 46.142,,-01 11 54.52,,,,,,,,EPIC 201384232.xml,
EPIC 201393098,K2-7,11 08 22.505,,-01 03 56.72,,,,,,,,EPIC 201393098.xml,
EPIC 201465501,K2-9,11 45 03.472,,+00 00 19.08,,110,66.0,12,7.0,12,11.0,EPIC 201465501.xml,
KELT-10,KELT-1,18 58 11.601,,-47 00 11.68,,183,263.0,,,,,KELT-10.xml,
KELT-10,KELT-10,18 58 11.601,,-47 00 11.68,,,,,,,,KELT-10.xml,
KELT-15,KELT-15,07 49 39.601,,-52 07 13.55,,291,201.0,30,19.0,30,19.0,KELT-15.xml,
KELT-17,KELT-17,08 22 28.21,,+13 44 07.2,,,,,,,,KELT-17.xml,
KELT-3,KELT-3,09 54 34.3880,,+40 23 16.981,,,,,16.0,,16.0,KELT-3.xml,
KELT-6,KELT-6,13 03 55.648,,+30 38 24.18,,222,,8,,8,,KELT-6.xml,
KELT-7,KELT-7,05 13 10.93,,+33 19 05.40,,,,,,,,KELT-7.xml,
KELT-8,KELT-8,18 53 13.322,,+24 07 38.6,,,,,,,,KELT-8.xml,
KIC 10001893,KIC 10001893,19 09 33.405,,+46 59 04.16,,,,,,,,KIC 10001893.xml,
KIC 10905746,KIC 10905746,18 54 31,,+48 23 28,,,,,,,,KIC 10905746.xml,
KIC 6185331,KIC 6185331,18 57 06,,+41 32 06,,,,,,,,KIC 6185331.xml,
KMT-2015-1,KMT-2015-1,17 58 39.01,,-28 01 54.1,,,,,,,,KMT-2015-1.xml,
Kepler-418,Kepler-418,19 37 44.04,,+38 21 19.62,,,,,,,,Kepler-418.xml,
KOI-1843,KOI-1843,19 00 03.14,,+40 13 14.7,,,,,,,,KOI-1843.xml,
KOI-188,KOI-188,19 21 26,,+40 34 04,,,,,,,,KOI-188.xml,
Kepler-337,KOI-192,19 20 14,,+47 09 50,,674.39,1100.0,,150.0,,150.0,Kepler-337.xml,
Kepler-341,KOI-195,19 19 26,,+43 28 21,,1039.88,880.0,,30.0,,30.0,Kepler-341.xml,
Kepler-355,KOI-205,19 03 11,,+42 48 42,,1432.65,585.0,,16.0,,16.0,Kepler-355.xml,
KOI-206,KOI-206,19 50 22.476,,+40 58 38.17,,1870,,210,,210,,KOI-206.xml,
KOI-368,KOI-368,19 23 25,,+42 05 12,,1200,1070.0,0.1,50.0,0.1,50.0,KOI-368.xml,
KOI-4427,KOI-4427,19 40 28.13,,+39 16 26.7,,,,39,32.0,32,39.0,KOI-4427.xml,
Kepler-51,Kepler-51,19 45 55.146,,+49 56 15.66,,,,,,,,Kepler-51.xml,
KOI-680,KOI-680,19 29 08.959,,+43 11 50.21,,2070,,200,,200,,KOI-680.xml,
KOI-830,KOI-830,19 22 20,,+40 34 39,,720,730.0,,,,,KOI-830.xml,
Kepler-10,Kepler-10,19 02 43,,+50 14 29,,,,,,,,Kepler-10.xml,
Kepler-100,Kepler-100,19 25 32,,+41 59 24,,296.6,310.34,,9.63,,0.49,Kepler-100.xml,
Kepler-1000,Kepler-1000,19 06 45,,+47 05 54,,,925.0,,,,,Kepler-1000.xml,
Kepler-1001,Kepler-1001,19 05 06,,+48 37 07,,,1009.0,,,,,Kepler-1001.xml,
Kepler-1002,Kepler-1002,19 32 19,,+43 04 25,,,425.0,,,,,Kepler-1002.xml,
Kepler-1003,Kepler-1003,19 28 05,,+44 52 34,,,873.0,,,,,Kepler-1003.xml,
Kepler-1004,Kepler-1004,19 49 26,,+49 47 51,,,1080.0,,,,,Kepler-1004.xml,
Kepler-1005,Kepler-1005,19 05 09,,+43 19 14,,,515.0,,,,,Kepler-1005.xml,
Kepler-1006,Kepler-1006,19 43 01,,+42 32 15,,,496.0,,,,,Kepler-1006.xml,
Kepler-1007,Kepler-1007,19 43 38,,+45 48 33,,,365.0,,,,,Kepler-1007.xml,
Kepler-1008,Kepler-1008,19 46 11,,+44 56 31,,,299.0,,,,,Kepler-1008.xml,
Kepler-1009,Kepler-1009,18 51 26,,+42 39 57,,,281.0,,,,,Kepler-1009.xml,
Kepler-101,Kepler-101,18 53 01.32,,+48 21 18.84,,990.44,,,,,,Kepler-101.xml,
Kepler-1010,Kepler-1010,19 16 46,,+44 08 58,,,610.0,,,,,Kepler-1010.xml,
Kepler-1011,Kepler-1011,19 49 36,,+46 49 26,,,860.0,,,,,Kepler-1011.xml,
Kepler-1012,Kepler-1012,19 17 11,,+46 27 29,,,420.0,,,,,Kepler-1012.xml,
Kepler-1013,Kepler-1013,19 20 59.5,,+44 26 07,,,433.0,,,,,Kepler-1013.xml,
Kepler-1014,Kepler-1014,19 00 29,,+44 06 38,,,672.0,,,,,Kepler-1014.xml,
Kepler-1015,Kepler-1015,19 31 02,,+43 25 37,,,932.0,,,,,Kepler-1015.xml,
Kepler-1016,Kepler-1016,19 38 27,,+45 59 05,,,1239.0,,,,,Kepler-1016.xml,
Kepler-1017,Kepler-1017,18 53 53,,+40 07 57,,,554.0,,,,,Kepler-1017.xml,
Kepler-1018,Kepler-1018,18 54 23,,+45 24 28,,,894.0,,,,,Kepler-1018.xml,
Kepler-1019,Kepler-1019,18 54 52,,+47 12 16,,,198.0,,,,,Kepler-1019.xml,
Kepler-102,Kepler-102,18 45 55,,+47 12 28,,119.3,,,,,,Kepler-102.xml,
Kepler-1020,Kepler-1020,19 30 41,,+46 22 39,,,446.0,,,,,Kepler-1020.xml,
Kepler-1021,Kepler-1021,19 40 49,,+42 33 35,,,837.0,,,,,Kepler-1021.xml,
Kepler-1022,Kepler-1022,19 17 24,,+46 58 25,,,455.0,,,,,Kepler-1022.xml,
Kepler-1023,Kepler-1023,19 16 07,,+49 46 11,,,686.0,,,,,Kepler-1023.xml,
Kepler-1024,Kepler-1024,19 27 48,,+38 15 06,,,1017.0,,,,,Kepler-1024.xml,
Kepler-1025,Kepler-1025,18 58 02,,+43 57 42,,,716.0,,,,,Kepler-1025.xml,
Kepler-1026,Kepler-1026,18 54 25,,+39 59 53,,,389.0,,,,,Kepler-1026.xml,
Kepler-1027,Kepler-1027,19 10 17,,+42 48 50,,,291.0,,,,,Kepler-1027.xml,
Kepler-1028,Kepler-1028,19 18 22,,+49 46 52,,,633.0,,,,,Kepler-1028.xml,
Kepler-1029,Kepler-1029,19 28 32,,+41 32 51,,,422.0,,,,,Kepler-1029.xml,
Kepler-103,Kepler-103,19 15 56.2,,+40 03 52,,476.8,473.56,,14.51,,14.51,Kepler-103.xml,
Kepler-1030,Kepler-1030,19 34 44,,+45 49 03,,,795.0,,,,,Kepler-1030.xml,
Kepler-1031,Kepler-1031,19 44 22,,+48 57 19,,,741.0,,,,,Kepler-1031.xml,
Kepler-1032,Kepler-1032,19 19 43,,+40 05 52,,,607.0,,,,,Kepler-1032.xml,
Kepler-1033,Kepler-1033,18 55 23,,+44 36 33,,,1425.0,,,,,Kepler-1033.xml,
Kepler-1034,Kepler-1034,19 04 28,,+37 58 01,,,706.0,,,,,Kepler-1034.xml,
Kepler-1035,Kepler-1035,19 16 10,,+42 52 57,,,408.0,,,,,Kepler-1035.xml,
Kepler-1036,Kepler-1036,19 40 44,,+49 56 45,,,507.0,,,,,Kepler-1036.xml,
Kepler-1037,Kepler-1037,19 45 22,,+47 10 15,,,451.0,,,,,Kepler-1037.xml,
Kepler-1038,Kepler-1038,19 55 53,,+44 07 57,,,622.0,,,,,Kepler-1038.xml,
Kepler-1039,Kepler-1039,19 53 18,,+45 18 56,,,324.0,,,,,Kepler-1039.xml,
Kepler-104,Kepler-104,19 10 25,,+42 10 00,,491.00,,,,,,Kepler-104.xml,
Kepler-1040,Kepler-1040,18 52 27,,+48 07 53,,,473.0,,,,,Kepler-1040.xml,
Kepler-1041,Kepler-1041,19 35 32,,+49 40 59,,,979.0,,,,,Kepler-1041.xml,
Kepler-1042,Kepler-1042,19 14 41,,+39 49 26,,,659.0,,,,,Kepler-1042.xml,
Kepler-1043,Kepler-1043,18 46 39,,+47 34 07,,,838.0,,,,,Kepler-1043.xml,
Kepler-1044,Kepler-1044,19 32 35,,+46 39 58,,,1507.0,,,,,Kepler-1044.xml,
Kepler-1045,Kepler-1045,18 56 44,,+45 04 27,,,971.0,,,,,Kepler-1045.xml,
Kepler-1046,Kepler-1046,19 47 01,,+46 59 54,,,518.0,,,,,Kepler-1046.xml,
Kepler-1047,Kepler-1047,19 14 35,,+50 47 20,,,566.0,,,,,Kepler-1047.xml,
Kepler-1048,Kepler-1048,18 47 36,,+42 09 57,,,415.0,,,,,Kepler-1048.xml,
Kepler-1049,Kepler-1049,19 09 23,,+47 46 23,,,129.0,,,,,Kepler-1049.xml,
Kepler-105,Kepler-105,19 11 32,,+46 16 34,,488.45,,,,,,Kepler-105.xml,
Kepler-1050,Kepler-1050,18 51 42,,+48 37 35,,,555.0,,,,,Kepler-1050.xml,
Kepler-1051,Kepler-1051,19 40 38,,+40 53 56,,,1021.0,,,,,Kepler-1051.xml,
Kepler-1052,Kepler-1052,19 41 22,,+46 36 08,,,1051.0,,,,,Kepler-1052.xml,
Kepler-1053,Kepler-1053,19 25 40,,+39 07 39,,,171.0,,,,,Kepler-1053.xml,
Kepler-1054,Kepler-1054,19 22 24,,+44 33 23,,,1050.0,,,,,Kepler-1054.xml,
Kepler-1055,Kepler-1055,19 21 57,,+44 55 57,,,422.0,,,,,Kepler-1055.xml,
Kepler-1056,Kepler-1056,19 58 06,,+46 53 57,,,971.0,,,,,Kepler-1056.xml,
Kepler-1057,Kepler-1057,19 49 49,,+41 33 29,,,1462.0,,,,,Kepler-1057.xml,
Kepler-1058,Kepler-1058,19 38 23,,+45 52 30,,,525.0,,,,,Kepler-1058.xml,
Kepler-1059,Kepler-1059,19 16 53,,+41 42 23,,,673.0,,,,,Kepler-1059.xml,
Kepler-106,Kepler-106,20 03 27,,+44 20 15,,453.9,,,,,,Kepler-106.xml,
Kepler-1060,Kepler-1060,19 04 06,,+39 37 51,,,861.0,,,,,Kepler-1060.xml,
Kepler-1061,Kepler-1061,19 44 55,,+50 16 31,,,585.0,,,,,Kepler-1061.xml,
Kepler-1062,Kepler-1062,18 55 36,,+41 13 18,,,388.0,,,,,Kepler-1062.xml,
Kepler-1063,Kepler-1063,19 22 06,,+38 08 35,,,365.0,,,,,Kepler-1063.xml,
Kepler-1064,Kepler-1064,19 26 58,,+37 41 20,,,374.0,,,,,Kepler-1064.xml,
Kepler-1065,Kepler-1065,19 38 03,,+38 47 26,,,1078.0,,,,,Kepler-1065.xml,
Kepler-1066,Kepler-1066,19 55 28,,+46 30 08,,,399.0,,,,,Kepler-1066.xml,
Kepler-1067,Kepler-1067,19 01 33,,+45 02 57,,,689.0,,,,,Kepler-1067.xml,
Kepler-1068,Kepler-1068,19 38 36,,+46 23 33,,,1532.0,,,,,Kepler-1068.xml,
Kepler-1069,Kepler-1069,19 23 55,,+47 59 20,,,435.0,,,,,Kepler-1069.xml,
Kepler-107,Kepler-107,19 48 06,,+48 12 30,,512.66,,,,,,Kepler-107.xml,
Kepler-1070,Kepler-1070,19 32 47,,+49 18 59,,,1040.0,,,,,Kepler-1070.xml,
Kepler-1071,Kepler-1071,19 32 14,,+45 14 56,,,964.0,,,,,Kepler-1071.xml,
Kepler-1072,Kepler-1072,19 28 11,,+46 19 44,,,976.0,,,,,Kepler-1072.xml,
Kepler-1073,Kepler-1073,19 36 37,,+38 13 59,,,837.0,,,,,Kepler-1073.xml,
Kepler-1074,Kepler-1074,18 57 54,,+46 15 09,,,245.0,,,,,Kepler-1074.xml,
Kepler-1075,Kepler-1075,19 10 00,,+47 28 09,,,265.0,,,,,Kepler-1075.xml,
Kepler-1076,Kepler-1076,19 10 22,,+51 03 38,,,199.0,,,,,Kepler-1076.xml,
Kepler-1077,Kepler-1077,19 24 08,,+42 16 04,,,1098.0,,,,,Kepler-1077.xml,
Kepler-1078,Kepler-1078,19 32 48,,+43 03 00,,,1215.0,,,,,Kepler-1078.xml,
Kepler-1079,Kepler-1079,19 58 12,,+45 46 11,,,481.0,,,,,Kepler-1079.xml,
Kepler-108,Kepler-108,19 38 14,,+46 03 44,,860.98,,,,,,Kepler-108.xml,
Kepler-1080,Kepler-1080,19 45 51,,+49 10 58,,,688.0,,,,,Kepler-1080.xml,
Kepler-1081,Kepler-1081,19 17 47,,+41 19 04,,,425.0,,,,,Kepler-1081.xml,
Kepler-1082,Kepler-1082,19 17 26,,+50 35 55,,,628.0,,,,,Kepler-1082.xml,
Kepler-1083,Kepler-1083,18 52 39,,+45 11 54,,,912.0,,,,,Kepler-1083.xml,
Kepler-1084,Kepler-1084,19 20 24,,+48 15 04,,,427.0,,,,,Kepler-1084.xml,
Kepler-1085,Kepler-1085,19 09 55,,+46 08 28,,,1518.0,,,,,Kepler-1085.xml,
Kepler-1086,Kepler-1086,19 41 00,,+45 50 35,,,464.0,,,,,Kepler-1086.xml,
Kepler-1087,Kepler-1087,19 39 55,,+46 00 20,,,354.0,,,,,Kepler-1087.xml,
Kepler-1088,Kepler-1088,18 46 15,,+42 27 02,,,300.0,,,,,Kepler-1088.xml,
Kepler-1089,Kepler-1089,19 24 22,,+49 11 24,,,227.0,,,,,Kepler-1089.xml,
Kepler-109,Kepler-109,19 21 34.263,,+40 17 05.66,,468.1,464.73,,15.28,,14.88,Kepler-109.xml,
Kepler-1090,Kepler-1090,19 42 39,,+44 31 33,,,702.0,,,,,Kepler-1090.xml,
Kepler-1091,Kepler-1091,19 59 09,,+43 40 15,,,915.0,,,,,Kepler-1091.xml,
Kepler-1092,Kepler-1092,19 50 54,,+47 06 46,,,914.0,,,,,Kepler-1092.xml,
Kepler-1093,Kepler-1093,18 59 55,,+41 25 13,,,848.0,,,,,Kepler-1093.xml,
Kepler-1094,Kepler-1094,19 29 12,,+38 16 01,,,1371.0,,,,,Kepler-1094.xml,
Kepler-1095,Kepler-1095,19 33 03,,+41 21 54,,,758.0,,,,,Kepler-1095.xml,
Kepler-1096,Kepler-1096,19 38 50,,+45 58 10,,,344.0,,,,,Kepler-1096.xml,
Kepler-1097,Kepler-1097,18 46 23,,+42 35 47,,,738.0,,,,,Kepler-1097.xml,
Kepler-1098,Kepler-1098,19 42 01,,+43 13 58,,,876.0,,,,,Kepler-1098.xml,
Kepler-1099,Kepler-1099,19 14 59.9,,+48 16 38,,,1209.0,,,,,Kepler-1099.xml,
Kepler-11,Kepler-11,19 48 27,,+41 54 33,,613.20279,,,,,,Kepler-11.xml,
Kepler-110,Kepler-110,19 31 42,,+48 36 10,,532.42,,,,,,Kepler-110.xml,
Kepler-1100,Kepler-1100,19 27 29,,+44 05 15,,,940.0,,,,,Kepler-1100.xml,
Kepler-1101,Kepler-1101,19 38 17,,+45 40 17,,,897.0,,,,,Kepler-1101.xml,
Kepler-1102,Kepler-1102,18 45 17,,+48 03 59,,,986.0,,,,,Kepler-1102.xml,
Kepler-1103,Kepler-1103,19 09 32,,+49 27 09,,,921.0,,,,,Kepler-1103.xml,
Kepler-1104,Kepler-1104,19 37 52,,+49 19 52,,,516.0,,,,,Kepler-1104.xml,
Kepler-1105,Kepler-1105,18 44 27,,+42 27 18,,,369.0,,,,,Kepler-1105.xml,
Kepler-1106,Kepler-1106,19 24 35,,+44 03 45,,,1168.0,,,,,Kepler-1106.xml,
Kepler-1107,Kepler-1107,19 24 12,,+39 08 30,,,457.0,,,,,Kepler-1107.xml,
Kepler-1108,Kepler-1108,19 44 10,,+45 59 07,,,764.0,,,,,Kepler-1108.xml,
Kepler-1109,Kepler-1109,19 26 35,,+39 23 48,,,797.0,,,,,Kepler-1109.xml,
Kepler-111,Kepler-111,19 26 36,,+44 41 17,,691.04,,,,,,Kepler-111.xml,
Kepler-1110,Kepler-1110,19 27 14,,+38 37 22,,,726.0,,,,,Kepler-1110.xml,
Kepler-1111,Kepler-1111,19 41 51,,+45 48 46,,,1142.0,,,,,Kepler-1111.xml,
Kepler-1112,Kepler-1112,19 47 53,,+47 45 05,,,1734.0,,,,,Kepler-1112.xml,
Kepler-1113,Kepler-1113,19 17 38,,+39 20 20,,,1127.0,,,,,Kepler-1113.xml,
Kepler-1114,Kepler-1114,19 56 57,,+45 50 05,,,427.0,,,,,Kepler-1114.xml,
Kepler-1115,Kepler-1115,19 39 58,,+40 08 40,,,935.0,,,,,Kepler-1115.xml,
Kepler-1116,Kepler-1116,19 27 44,,+44 06 56,,,1017.0,,,,,Kepler-1116.xml,
Kepler-1117,Kepler-1117,19 28 20,,+49 14 15,,,619.0,,,,,Kepler-1117.xml,
Kepler-1118,Kepler-1118,19 59 52,,+44 09 39,,,818.0,,,,,Kepler-1118.xml,
Kepler-1119,Kepler-1119,19 48 05,,+44 19 39,,,1288.0,,,,,Kepler-1119.xml,
Kepler-112,Kepler-112,19 47 55,,+43 12 35,,495.55,,,,,,Kepler-112.xml,
Kepler-1120,Kepler-1120,19 23 39,,+42 17 12,,,635.0,,,,,Kepler-1120.xml,
Kepler-1121,Kepler-1121,19 51 09,,+47 53 10,,,529.0,,,,,Kepler-1121.xml,
Kepler-1122,Kepler-1122,19 13 07,,+46 20 27,,,924.0,,,,,Kepler-1122.xml,
Kepler-1123,Kepler-1123,19 38 04,,+50 40 13,,,796.0,,,,,Kepler-1123.xml,
Kepler-1124,Kepler-1124,19 06 23,,+37 53 29,,,177.0,,,,,Kepler-1124.xml,
Kepler-1125,Kepler-1125,19 41 55,,+40 43 55,,,910.0,,,,,Kepler-1125.xml,
Kepler-1126,Kepler-1126,19 02 46,,+45 41 22,,,668.0,,,,,Kepler-1126.xml,
Kepler-1127,Kepler-1127,19 32 52,,+42 43 15,,,996.0,,,,,Kepler-1127.xml,
Kepler-1128,Kepler-1128,19 32 15,,+39 24 12,,,1163.0,,,,,Kepler-1128.xml,
Kepler-1129,Kepler-1129,19 26 25,,+41 18 34,,,1258.0,,,,,Kepler-1129.xml,
Kepler-113,Kepler-113,19 11 59,,+50 56 39,,255.9,,,,,,Kepler-113.xml,
Kepler-1130,Kepler-1130,19 00 50,,+45 23 04,,,234.0,,,,,Kepler-1130.xml,
Kepler-1131,Kepler-1131,19 42 36,,+49 15 41,,,1109.0,,,,,Kepler-1131.xml,
Kepler-1132,Kepler-1132,19 05 28,,+48 25 26,,,940.0,,,,,Kepler-1132.xml,
Kepler-1133,Kepler-1133,19 33 17,,+42 52 03,,,821.0,,,,,Kepler-1133.xml,
Kepler-1134,Kepler-1134,19 42 16,,+42 28 42,,,997.0,,,,,Kepler-1134.xml,
Kepler-1135,Kepler-1135,19 04 01,,+44 45 24,,,728.0,,,,,Kepler-1135.xml,
Kepler-1136,Kepler-1136,18 56 26,,+44 14 45,,,545.0,,,,,Kepler-1136.xml,
Kepler-1137,Kepler-1137,19 08 31,,+48 39 55,,,971.0,,,,,Kepler-1137.xml,
Kepler-1138,Kepler-1138,19 03 36,,+48 18 26,,,1101.0,,,,,Kepler-1138.xml,
Kepler-1139,Kepler-1139,19 11 47,,+39 13 50,,,555.0,,,,,Kepler-1139.xml,
Kepler-114,Kepler-114,19 36 29,,+48 20 58,,267.07,,,,,,Kepler-114.xml,
Kepler-1140,Kepler-1140,18 46 47,,+46 56 47,,,657.0,,,,,Kepler-1140.xml,
Kepler-1141,Kepler-1141,19 22 10,,+47 43 33,,,365.0,,,,,Kepler-1141.xml,
Kepler-1142,Kepler-1142,19 30 51,,+44 04 56,,,697.0,,,,,Kepler-1142.xml,
Kepler-1143,Kepler-1143,19 09 13,,+39 17 23,,,632.0,,,,,Kepler-1143.xml,
Kepler-1144,Kepler-1144,19 20 10,,+47 15 29,,,1012.0,,,,,Kepler-1144.xml,
Kepler-1145,Kepler-1145,19 41 14,,+43 02 40,,,714.0,,,,,Kepler-1145.xml,
Kepler-1146,Kepler-1146,19 06 52,,+47 25 32,,,694.0,,,,,Kepler-1146.xml,
Kepler-1147,Kepler-1147,19 30 11,,+41 38 35,,,1476.0,,,,,Kepler-1147.xml,
Kepler-1148,Kepler-1148,19 23 49,,+45 43 10,,,682.0,,,,,Kepler-1148.xml,
Kepler-1149,Kepler-1149,19 36 45,,+45 09 06,,,1023.0,,,,,Kepler-1149.xml,
Kepler-115,Kepler-115,19 50 50,,+45 15 42,,706.14,,,,,,Kepler-115.xml,
Kepler-1150,Kepler-1150,19 46 54,,+49 31 58,,,373.0,,,,,Kepler-1150.xml,
Kepler-1151,Kepler-1151,19 28 59,,+47 52 42,,,763.0,,,,,Kepler-1151.xml,
Kepler-1152,Kepler-1152,19 21 44,,+44 06 28,,,184.0,,,,,Kepler-1152.xml,
Kepler-1153,Kepler-1153,19 16 35,,+45 51 58,,,1185.0,,,,,Kepler-1153.xml,
Kepler-1154,Kepler-1154,19 49 55,,+39 52 38,,,1531.0,,,,,Kepler-1154.xml,
Kepler-1155,Kepler-1155,19 15 17,,+39 31 22,,,987.0,,,,,Kepler-1155.xml,
Kepler-1156,Kepler-1156,19 15 42,,+46 03 27,,,759.0,,,,,Kepler-1156.xml,
Kepler-1157,Kepler-1157,18 52 29,,+43 31 32,,,346.0,,,,,Kepler-1157.xml,
Kepler-1158,Kepler-1158,19 28 56,,+41 34 31,,,1258.0,,,,,Kepler-1158.xml,
Kepler-1159,Kepler-1159,19 37 04,,+45 12 16,,,1238.0,,,,,Kepler-1159.xml,
Kepler-116,Kepler-116,19 38 58,,+43 32 12,,1025.72,,,,,,Kepler-116.xml,
Kepler-1160,Kepler-1160,19 11 31,,+43 21 51,,,1293.0,,,,,Kepler-1160.xml,
Kepler-1161,Kepler-1161,19 56 19,,+45 26 26,,,428.0,,,,,Kepler-1161.xml,
Kepler-1162,Kepler-1162,18 53 10,,+45 26 03,,,989.0,,,,,Kepler-1162.xml,
Kepler-1163,Kepler-1163,19 20 57,,+50 01 48,,,487.0,,,,,Kepler-1163.xml,
Kepler-1164,Kepler-1164,19 10 07,,+38 53 40,,,447.0,,,,,Kepler-1164.xml,
Kepler-1165,Kepler-1165,19 07 53,,+44 42 30,,,1081.0,,,,,Kepler-1165.xml,
Kepler-1166,Kepler-1166,19 21 24,,+50 54 10,,,648.0,,,,,Kepler-1166.xml,
Kepler-1167,Kepler-1167,19 53 13,,+47 41 38,,,811.0,,,,,Kepler-1167.xml,
Kepler-1168,Kepler-1168,19 09 11,,+47 27 20,,,911.0,,,,,Kepler-1168.xml,
Kepler-1169,Kepler-1169,19 39 39,,+46 29 29,,,538.0,,,,,Kepler-1169.xml,
Kepler-117,Kepler-117,19 15 10.326,,+48 02 24.81,,1430,,50,,50,,Kepler-117.xml,
Kepler-1170,Kepler-1170,19 28 40,,+43 46 47,,,911.0,,,,,Kepler-1170.xml,
Kepler-1171,Kepler-1171,19 39 50,,+38 35 30,,,615.0,,,,,Kepler-1171.xml,
Kepler-1172,Kepler-1172,19 21 54,,+37 45 59.8,,,1292.0,,,,,Kepler-1172.xml,
Kepler-1173,Kepler-1173,19 32 31,,+45 39 49,,,402.0,,,,,Kepler-1173.xml,
Kepler-1174,Kepler-1174,18 47 20,,+42 17 56,,,829.0,,,,,Kepler-1174.xml,
Kepler-1175,Kepler-1175,19 16 34,,+46 48 46,,,1244.0,,,,,Kepler-1175.xml,
Kepler-1176,Kepler-1176,19 51 41,,+45 16 27,,,1023.0,,,,,Kepler-1176.xml,
Kepler-1177,Kepler-1177,19 06 41,,+49 24 23,,,829.0,,,,,Kepler-1177.xml,
Kepler-1178,Kepler-1178,19 13 49,,+45 48 08,,,336.0,,,,,Kepler-1178.xml,
Kepler-1179,Kepler-1179,18 56 23,,+47 48 38,,,454.0,,,,,Kepler-1179.xml,
Kepler-118,Kepler-118,19 56 51,,+41 25 29,,899.38,,,,,,Kepler-118.xml,
Kepler-1180,Kepler-1180,19 43 33,,+43 09 22,,,1284.0,,,,,Kepler-1180.xml,
Kepler-1181,Kepler-1181,19 18 59,,+39 31 24,,,867.0,,,,,Kepler-1181.xml,
Kepler-1182,Kepler-1182,19 45 14,,+43 49 17,,,1258.0,,,,,Kepler-1182.xml,
Kepler-1183,Kepler-1183,19 28 56,,+38 53 32,,,1378.0,,,,,Kepler-1183.xml,
Kepler-1184,Kepler-1184,19 25 08,,+46 57 58,,,1193.0,,,,,Kepler-1184.xml,
Kepler-1185,Kepler-1185,19 08 58,,+39 19 58,,,296.0,,,,,Kepler-1185.xml,
Kepler-1186,Kepler-1186,19 13 55,,+47 06 06,,,1112.0,,,,,Kepler-1186.xml,
Kepler-1187,Kepler-1187,19 07 34,,+38 19 07,,,1029.0,,,,,Kepler-1187.xml,
Kepler-1188,Kepler-1188,18 52 25,,+43 08 53,,,1202.0,,,,,Kepler-1188.xml,
Kepler-1189,Kepler-1189,19 53 42,,+47 56 48,,,883.0,,,,,Kepler-1189.xml,
Kepler-119,Kepler-119,19 43 47,,+42 39 32,,623.74,,,,,,Kepler-119.xml,
Kepler-1190,Kepler-1190,18 59 59.9,,+49 28 48,,,384.0,,,,,Kepler-1190.xml,
Kepler-1191,Kepler-1191,19 26 38,,+48 00 34,,,876.0,,,,,Kepler-1191.xml,
Kepler-1192,Kepler-1192,18 48 34,,+43 53 48,,,1108.0,,,,,Kepler-1192.xml,
