Primary system name(from OEC_system.csv),star_name(from standardize_EU_Catalogue_System_Data.csv),Right ascension(from OEC_system.csv),Right ascension(from standardize_EU_Catalogue_System_Data.csv),Declination(from OEC_system.csv),Declination(from standardize_EU_Catalogue_System_Data.csv),Distance [parsec](from OEC_system.csv),star_distance(from standardize_EU_Catalogue_System_Data.csv),Distance errorminus(from OEC_system.csv),star_distance_error_min(from standardize_EU_Catalogue_System_Data.csv),Distance errorplus(from OEC_system.csv),star_distance_error_max(from standardize_EU_Catalogue_System_Data.csv),source (xml)(from OEC_system.csv),source (xml)(from standardize_EU_Catalogue_System_Data.csv)
HAT-P-42,HAT-P-42,09 01 22,,+06 05 50,,,,,40.0,,40.0,HAT-P-42.xml,
HAT-P-43,HAT-P-43,08 35 42,,+10 12 24,,,,,18.0,,18.0,HAT-P-43.xml,
HAT-P-44,HAT-P-44,14 12 35,,+47 00 53,,,,,,,,HAT-P-44.xml,
HAT-P-45,HAT-P-45,18 17 29,,-03 22 52,,,,,,,,HAT-P-45.xml,
HAT-P-46,HAT-P-46,18 01 47,,-02 58 15,,,,,,,,HAT-P-46.xml,
HAT-P-49,HAT-P-49,20 21 46,,-26 41 34,,,,13,24.0,24,13.0,HAT-P-49.xml,
HAT-P-5,HAT-P-5,18 17 37,,+36 37 18,,,,,30.0,,30.0,HAT-P-5.xml,
HAT-P-50,HAT-P-50,07 52 15.20,,+12 08 21.9,,497,597.0,,,,,HAT-P-50.xml,
HAT-P-51,HAT-P-51,01 24 15.66,,+32 48 38.8,,,,,,15,16.0,HAT-P-51.xml,
HAT-P-52,HAT-P-52,02 50 53.20,,+29 01 20.6,,,,,,,,HAT-P-52.xml,
HAT-P-53,HAT-P-53,01 27 29.05,,+38 58 05.3,,,,,,,,HAT-P-53.xml,
HAT-P-54,HAT-P-54,06 39 36,,-25 28 57,,,,,,,,HAT-P-54.xml,
HAT-P-55,HAT-P-55,17 37 05.52,,+25 43 52.3,,,,,,,,HAT-P-55.xml,
HAT-P-56,HAT-P-56,06 43 23.52950,,+27 15 08.2182,,,,,,,,HAT-P-56.xml,
HAT-P-57,HAT-P-57,18 18 58.32,,+10 35 50.3,,,,,,,,HAT-P-57.xml,
HAT-P-6,HAT-P-6,23 39 06,,+42 27 58,,,,,20.0,,20.0,HAT-P-6.xml,
HAT-P-7,HAT-P-7,19 28 59,,+47 58 10,,,,,,50,40.0,HAT-P-7.xml,
HAT-P-8,HAT-P-8,22 52 10,,+35 26 50,,,,,,,,HAT-P-8.xml,
HAT-P-9,HAT-P-9,07 20 40,,+37 08 26,,,,,60.0,,60.0,HAT-P-9.xml,
HATS-1,HATS-1,11 42 06.080,,-23 21 17.44,,,,,23.0,,23.0,HATS-1.xml,
HATS-10,HATS-10,19 37 13.80,,-22 12 16.1,,,,,,,,HATS-10.xml,
HATS-13,HATS-13,21 07 50.88,,-26 05 48.0,,,,,,,,HATS-13.xml,
HATS-14,HATS-14,20 52 51.715,,-25 41 14.40,,,,,,,,HATS-14.xml,
HATS-15,HATS-15,20 44 22.20,,-19 26 15.0,,,,,,,,HATS-15.xml,
HATS-16,HATS-16,23 54 14.04,,-30 00 46.8,,,,,,,,HATS-16.xml,
HATS-17,HATS-17,12 48 45.72,,-47 36 49.3,,,,,,,,HATS-17.xml,
HATS-2,HATS-2,11 46 57.370,,-22 21 46.82,,,,,11.0,,11.0,HATS-2.xml,
HATS-3,HATS-3,20 49 59,,-24 25 44,,556,453.0,78,11.0,78,11.0,HATS-3.xml,
HATS-4,HATS-4,06 16 26.898,,-22 32 48.79,,,,,,,,HATS-4.xml,
HATS-5,HATS-5,04 28 53.489,,-21 28 54.90,,,,,,,,HATS-5.xml,
