Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
Kepler-238 f,Kepler-238 f|KOI-834 f|KOI-834.05|KIC 5436502 f|KIC 5436502.05,Confirmed planets,,,,,,0.25152,0.04739,0.04739,,,50.444110,.001105,0.001105,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-238.xml
Kepler-239 b,Kepler-239 b|KOI-835 b|KOI-835.01|KIC 5456651 b|KIC 5456651.01,Confirmed planets,,,,,,0.21233,0.01367,0.01367,,,11.763051,.000034,0.000034,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-239.xml
Kepler-239 c,Kepler-239 c|KOI-835 c|KOI-835.02|KIC 5456651 c|KIC 5456651.02,Confirmed planets,,,,,,0.22874,0.03827,0.03827,,,56.228098,.000580,0.000580,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-239.xml
Kepler-24 c,Kepler-24 c|KOI-1102 c|KOI-1102.01|KIC 3231341 c|KIC 3231341.01,Confirmed planets,,,,,,0.36179,0.02461,0.48026,,,12.333360,.000119,0.000119,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-24.xml
Kepler-24 b,Kepler-24 b|KOI-1102 b|KOI-1102.02|KIC 3231341 b|KIC 3231341.02,Confirmed planets,,,,,,0.31258,0.07746,0.07746,,,8.145207,.000059,0.000059,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-24.xml
Kepler-24 e,Kepler-24 e|KOI-1102 e|KOI-1102.03|KIC 3231341 e|KIC 3231341.03,Confirmed planets,,,,,,0.25334,0.05832,0.05832,,,18.998355,.000157,0.000157,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-24.xml
Kepler-24 d,Kepler-24 d|KOI-1102 d|KOI-1102.04|KIC 3231341 d|KIC 3231341.04,Confirmed planets,,,,,,0.15219,0.03554,0.03554,,,4.244384,.000053,0.000053,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-24.xml
Kepler-240 c,Kepler-240 c|KOI-837 c|KOI-837.01|KIC 5531576 c|KIC 5531576.01,Confirmed planets,,,,,,0.20049,0.08111,0.08111,,,7.953528,.000025,0.000025,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-240.xml
Kepler-240 b,Kepler-240 b|KOI-837 b|KOI-837.02|KIC 5531576 b|KIC 5531576.02,Confirmed planets,,,,,,0.12485,0.05103,0.05103,,,4.144495,.000026,0.000026,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-240.xml
Kepler-241 b,Kepler-241 b|KOI-842 b|KOI-842.01|KIC 5794379 b|KIC 5794379.01,Confirmed planets,,,,,,0.21233,0.00273,0.09386,,,12.718092,.000035,0.000035,,,,,,,,,,,,,transit,2014,14/02/26,Kepler-241.xml
