Primary planet name,All planet names,Lists,Mass [Mjup],Mass [Mjup] errorminus,Mass [Mjup] errorplus,Mass [Mjup] lowerlimit,Mass [Mjup] upperlimit,Radius [Rjup],Radius [Rjup] errorminus,Radius [Rjup] errorplus,Radius [Rjup] lowerlimit,Radius [Rjup] upperlimit,Orbital period [days],Orbital period [days] errorminus,Orbital period [days] errorplus,Orbital period [days] lowerlimit,Orbital period [days] upperlimit,Eccentricity,Eccentricity errorminus,Eccentricity errorplus,Eccentricity lowerlimit,Eccentricity upperlimit,Equilibrium temperature [K],Equilibrium temperature [K] errorminus,Equilibrium temperature [K] errorplus,Equilibrium temperature [K] lowerlimit,Equilibrium temperature [K] upperlimit,Discovery method,Discovery year,Last updated [yy/mm/dd],source (xml)
HD 5319 b,HD 5319 b|HIP 4297 b|BD+00 142 b|PPM 144054 b|2MASS J00550140+0047223 b|SAO 109532 b|TYC 12-104-1 b,Confirmed planets,1.76,0.07,0.07,,,,,,,,641,2,2,,,0.02,0.03,0.03,,,303.8,,,,,RV,2007,14/11/19,HD 5319.xml
HD 5319 c,HD 5319 c|HIP 4297 c|BD+00 142 c|PPM 144054 c|2MASS J00550140+0047223 c|SAO 109532 c|TYC 12-104-1 c,Confirmed planets,1.15,0.08,0.08,,,,,,,,886,8,8,,,0.15,0.06,0.06,,,,,,,,RV,2014,14/11/19,HD 5319.xml
HD 5608 b,HD 5608 b,Confirmed planets,1.4,,,,,,,,,,792.6,7.7,7.7,,,0.190,0.061,0.061,,,,,,,,RV,2012,15/11/02,HD 5608.xml
HD 564 b,HD 564 b,Confirmed planets,0.33,0.03,0.03,,,,,,,,492.3,2.3,2.3,,,0.096,0.067,0.067,,,,,,,,RV,2014,15/11/17,HD 564.xml
HD 5891 b,HD 5891 b,Confirmed planets,7.6,,,,,,,,,,177.11,,,,,0.066,,,,,731.8,,,,,RV,2011,11/08/23,HD 5891.xml
HD 59686 b,HD 59686 b,Confirmed planets,5.25,,,,,,,,,,303,,,,,,,,,,728.2,,,,,RV,2003,11/01/03,HD 59686.xml
HD 60532 b,HD 60532 b,Confirmed planets,3.15,,,,,,,,,,201.83,,,,,0.278,,,,,497.4,,,,,RV,2008,12/01/31,HD 60532.xml
HD 60532 c,HD 60532 c,Confirmed planets,7.46,,,,,,,,,,607.06,,,,,0.038,,,,,348.9,,,,,RV,2008,12/01/31,HD 60532.xml
HD 62509 b,HD 62509 b|Pollux b|Beta Geminorum b|Beta Gem b,Confirmed planets,2.9,,,,,,,,,,589.64,,,,,0.02,,,,,482.6,,,,,RV,2006,06/07/11,HD 62509.xml
HD 63454 b,HD 63454 b,Confirmed planets,0.38,,,,,,,,,,2.818049,,,,,0.00002,,,,,926.7,,,,,RV,2005,11/06/01,HD 63454.xml
HD 63765 b,HD 63765 b,Confirmed planets,0.64,,,,,,,,,,358,,,,,0.24,,,,,222.6,,,,,RV,2009,11/07/05,HD 63765.xml
HD 6434 b,HD 6434 b,Confirmed planets,0.44,0.01,0.01,,,,,,,,22.0170,0.0008,0.0008,,,0.146,0.025,0.025,,,,,,,,RV,2000,15/10/16,HD 6434.xml
HD 65216 b,HD 65216 b,Confirmed planets,1.21,,,,,,,,,,613.1,,,,,0.41,,,,,193.9,,,,,RV,2003,10/12/30,HD 65216.xml
HD 65216 c,HD 65216 c,Confirmed planets,2.24,,,,,,,,,,5542,,,,,0.15,,,,,,,,,,RV,2011,11/09/13,HD 65216.xml
HD 66141 b,HD 66141 b|HIP 39311 b|HR 3145 b,Confirmed planets,6.0,,,,,,,,,,480.5,,,,,0.07,,,,,801.4,,,,,RV,2012,12/11/12,HD 66141.xml
HD 66428 b,HD 66428 b,Confirmed planets,3.194,0.060,0.060,,,,,,,,2293,6.4,6.4,,,0.440,0.013,0.013,,,,,,,,RV,2006,15/08/15,HD 66428.xml
HD 67087 b,HD 67087 b|BD+31 1735 b|PPM 73426 b|TYC 2469-686-1 b|2MASS J08073975-3133049 b|HIP 39767 b,Confirmed planets,3.06,0.20,0.22,,,,,,,,352.2,1.6,1.7,,,0.17,0.07,0.07,,,,,,,,RV,2015,15/03/26,HD 67087.xml
HD 67087 c,HD 67087 c|BD+31 1735 c|PPM 73426 c|TYC 2469-686-1 c|2MASS J08073975-3133049 c|HIP 39767 c,Confirmed planets,4.85,3.61,10.0,,,,,,,,2374,156,193,,,0.76,0.24,0.17,,,,,,,,RV,2015,15/03/26,HD 67087.xml
HD 6718 b,HD 6718 b,Confirmed planets,1.56,,,,,,,,,,2496,,,,,0.1,,,,,135.5,,,,,RV,2009,10/09/08,HD 6718.xml
HD 68988 b,HD 68988 b,Confirmed planets,1.9,,,,,,,,,,6.276,,,,,0.14,,,,,1017.7,,,,,RV,2001,10/12/30,HD 68988.xml
HD 69830 b,HD 69830 b,Confirmed planets,0.033,,,,,,,,,,8.667,,,,,0.1,,,,,801.2,,,,,RV,2006,12/01/31,HD 69830.xml
HD 69830 c,HD 69830 c,Confirmed planets,0.038,,,,,,,,,,31.56,,,,,0.13,,,,,520.3,,,,,RV,2006,10/10/19,HD 69830.xml
HD 69830 d,HD 69830 d,Confirmed planets,0.058,,,,,,,,,,197,,,,,0.07,,,,,282.9,,,,,RV,2006,10/10/19,HD 69830.xml
HD 70573 b,HD 70573 b,Controversial,6.1,,,,,,,,,,851.8,,,,,0.4,,,,,167.4,,,,,RV,2007,15/05/24,HD 70573.xml
HD 70642 b,HD 70642 b,Confirmed planets,2,,,,,,,,,,2231,,,,,0.1,,,,,126.1,,,,,RV,2003,11/01/01,HD 70642.xml
HD 7199 b,HD 7199 b,Confirmed planets,0.29,,,,,,,,,,615,,,,,0.19,,,,,199.1,,,,,RV,2011,11/08/02,HD 7199.xml
HD 72659 b,HD 72659 b,Confirmed planets,3.15,,,,,,,,,,3658,,,,,0.22,,,,,139.5,,,,,RV,2002,10/12/20,HD 72659.xml
HD 73256 b,HD 73256 b,Confirmed planets,1.87,,,,,,,,,,2.54858,,,,,0.029,,,,,1204.5,,,,,RV,2003,10/12/23,HD 73256.xml
HD 73267 b,HD 73267 b,Confirmed planets,3.06,0.07,0.07,,,,,,,,1260,7,7,,,0.256,0.009,0.009,,,,,,,,RV,2008,15/11/17,HD 73267.xml
HD 73526 b,HD 73526 b,Confirmed planets,2.35,0.12,0.12,,,,,,,,189.65,0.21,0.21,,,0.265,0.021,0.021,,,369.5,,,,,RV,2002,14/03/03,HD 73526.xml
HD 73526 c,HD 73526 c,Confirmed planets,2.19,0.12,0.12,,,,,,,,376.93,0.69,0.69,,,0.198,0.029,0.029,,,293.3,,,,,RV,2006,14/03/03,HD 73526.xml
HD 73534 b,HD 73534 b,Confirmed planets,1.15,,,,,,,,,,1800,,,,,0.046,,,,,200.2,,,,,RV,2009,09/08/13,HD 73534.xml
HD 74156 b,HD 74156 b,Confirmed planets,1.778,0.020,0.020,,,,,,,,51.6385,0.0015,0.0015,,,0.6380,0.0061,0.0061,,,,,,,,RV,2003,15/08/15,HD 74156.xml
HD 74156 c,HD 74156 c,Confirmed planets,7.997,0.095,0.095,,,,,,,,2448.9,5.5,5.5,,,0.3829,0.0080,0.0080,,,,,,,,RV,2003,15/08/15,HD 74156.xml
HD 7449 b,HD 7449 b|HD 7449 A b,Confirmed planets|Planets in binary systems| S-type,1.09,0.19,0.52,,,,,,,,1270.5,12.1,5.92,,,0.80,0.06,0.08,,,,,,,,RV,2011,16/02/04,HD 7449.xml
HD 7449 c,HD 7449 c|HD 7449 A c,Controversial|Planets in binary systems| S-type,2.00,0.54,0.36,,,,,,,,4046,366,186,,,0.53,0.08,0.08,,,,,,,,RV,2011,16/02/04,HD 7449.xml
HD 75289 A b,HD 75289 A b|HD 75289 b,Confirmed planets|Planets in binary systems| S-type,0.42,,,,,,,,,,3.5098,,,,,0.024,,,,,,,,,,RV,1999,12/12/08,HD 75289.xml
HD 75784 b,HD 75784 b|HD 75784 b|HIP 43569 b|TYC 817-1748-1 b|2MASS J08522396+1314005 b|UCAC3 207-106082 b|PPM 125847 b|SAO 98188 b|BD+13 2007 b,Confirmed planets,1.15,0.30,0.30,,,,,,,,341.7,6.1,6.1,,,0.13,0.1,0.1,,,,,,,,RV,2014,14/11/19,HD 75784.xml
HD 75898 b,HD 75898 b,Confirmed planets,2.51,,,,,,,,,,418.2,,,,,0.1,,,,,307.6,,,,,RV,2007,09/10/06,HD 75898.xml
HD 76700 b,HD 76700 b,Confirmed planets,0.197,,,,,,,,,,3.971,,,,,0.0,,,,,1315.4,,,,,RV,2002,10/12/29,HD 76700.xml
HD 77338 b,HD 77338 b,Confirmed planets,0.0487583,,,,,,,,,,5.7361,,,,,0.0,,,,,896.4,,,,,RV,2012,12/07/06,HD 77338.xml
HD 7924 b,HD 7924 b|BD+75 58 b|Gliese 9054 b|HIP 6379 b|2MASS J01215911+76542372 b|PPM 4675 b|TYC 4494-1346-1 b,Confirmed planets,0.029,0.0016,0.0016,,,,,,,,5.39792,0.00025,0.00025,,,0.17,,,,,825.9,6.5,6.6,,,RV,2009,15/04/24,HD 7924.xml
HD 7924 c,HD 7924 c|BD+75 58 c|Gliese 9054 c|HIP 6379 c|2MASS J01215911+76542372 c|PPM 4675 c|TYC 4494-1346-1 c,Confirmed planets,0.0247,0.0022,0.0023,,,,,,,,15.299,0.0033,0.0032,,,0.10,,,,,583.6,4.6,4.7,,,RV,2015,15/04/24,HD 7924.xml
HD 7924 d,HD 7924 d|BD+75 58 d|Gliese 9054 d|HIP 6379 d|2MASS J01215911+76542372 d|PPM 4675 d|TYC 4494-1346-1 d,Confirmed planets,0.0203,0.0025,0.0025,,,,,,,,24.451,0.017,0.015,,,0.20,,,,,499,4,4,,,RV,2015,15/04/24,HD 7924.xml
HD 79498 b,HD 79498 b,Confirmed planets,1.34,,,,,,,,,,1966,,,,,0.59,,,,,149.6,,,,,RV,2012,12/02/04,HD 79498.xml
HD 80606 b,HD 80606 b|Struve 1341 B b,Confirmed planets|Planets in binary systems| S-type,3.94,,,,,0.921,0.0036,0.0036,,,111.4273,0.0031,0.0031,,,0.93369,0.00068,0.00068,,,339.6,,,,,RV,2001,15/07/21,HD 80606.xml
HD 81040 b,HD 81040 b,Confirmed planets,6.86,,,,,,,,,,1001.7,,,,,0.526,,,,,164.2,,,,,RV,2005,10/12/23,HD 81040.xml
HD 81688 b,HD 81688 b,Confirmed planets,2.7,,,,,,,,,,184.02,0.18,0.18,,,0,,,,,,,,,,RV,2008,15/09/23,HD 81688.xml
HD 82886 b,HD 82886 b,Confirmed planets,1.3,,,,,,,,,,705,,,,,0,,,,,382.7,,,,,RV,2011,12/07/24,HD 82886.xml
HD 82943 b,HD 82943 b,Confirmed planets,1.75,,,,,,,,,,442.4,7.9,2.3,,,0.203,0.065,0.070,,,250.5,,,,,RV,2003,13/06/05,HD 82943.xml
HD 82943 c,HD 82943 c,Confirmed planets,2.01,,,,,,,,,,219.3,1.0,2.2,,,0.425,0.020,0.030,,,314.7,,,,,RV,2003,13/06/05,HD 82943.xml
HD 83443 b,HD 83443 b,Confirmed planets,0.4,,,,,,,,,,2.985625,,,,,0.008,,,,,1218.5,,,,,RV,2002,06/11/25,HD 83443.xml
HD 8535 b,HD 8535 b,Confirmed planets,0.68,,,,,,,,,,1313,,,,,0.15,,,,,188.3,,,,,RV,2009,10/09/08,HD 8535.xml
HD 85390 b,HD 85390 b,Confirmed planets,0.132,,,,,,,,,,788,,,,,0.41,,,,,166.3,,,,,RV,2009,10/10/06,HD 85390.xml
HD 85512 b,HD 85512 b,Confirmed planets,0.011,,,,,,,,,,58.43,,,,,0.11,,,,,297.4,,,,,RV,2011,11/08/18,HD 85512.xml
HD 8574 b,HD 8574 b,Confirmed planets,2.11,,,,,,,,,,227.55,,,,,0.288,,,,,355.7,,,,,RV,2003,09/10/08,HD 8574.xml
HD 86081 b,HD 86081 b,Confirmed planets,1.5,,,,,,,,,,2.1375,,,,,0.008,,,,,1486.6,,,,,RV,2006,10/12/22,HD 86081.xml
HD 86226 b,HD 86226 b,Confirmed planets,0.92,,,,,,,,,,1695,,,,,0.15,,,,,154.0,,,,,RV,2010,12/11/29,HD 86226.xml
HD 86264 b,HD 86264 b,Confirmed planets,7,,,,,,,,,,1475,,,,,0.7,,,,,214.2,,,,,RV,2009,09/08/13,HD 86264.xml
HD 8673 b,HD 8673 b|HD 8673 A b,Confirmed planets|Planets in binary systems| S-type,14.2,,,,,,,,,,1634,,,,,0.723,,,,,194.3,,,,,RV,2010,10/06/24,HD 8673.xml
HD 87883 b,HD 87883 b,Confirmed planets,1.78,,,,,,,,,,2754,,,,,0.53,,,,,,,,,,RV,2009,15/10/07,HD 87883.xml
HD 88133 b,HD 88133 b,Confirmed planets,0.22,,,,,,,,,,3.416,,,,,0.133,,,,,1550.6,,,,,RV,2004,09/10/06,HD 88133.xml
HD 89307 b,HD 89307 b,Confirmed planets,2,,,,,,,,,,2199,,,,,0.25,,,,,146.5,,,,,RV,2004,12/05/25,HD 89307.xml
HD 89744 A b,HD 89744 A b|HR 4067 A b|GJ 9326 A b|HD 89744 b,Confirmed planets|Planets in binary systems| S-type,7.2,,,,,,,,,,256,,,,,0.7,,,,,,,,,,RV,2000,12/12/08,HD 89744.xml
HD 90156 b,HD 90156 b,Confirmed planets,0.057,,,,,,,,,,49.77,,,,,0.31,,,,,621.4,,,,,RV,2009,10/10/06,HD 90156.xml
HD 92788 b,HD 92788 b,Confirmed planets,3.86,,,,,,,,,,325.81,,,,,0.334,,,,,245.9,,,,,RV,2000,10/10/19,HD 92788.xml
HD 93083 b,HD 93083 b,Confirmed planets,0.37,,,,,,,,,,143.58,,,,,0.14,,,,,292.3,,,,,RV,2005,10/12/31,HD 93083.xml
HD 93385 b,HD 93385 b,Confirmed planets,0.0263,,,,,,,,,,13.186,,,,,0.15,,,,,851.8,,,,,RV,2011,11/09/12,HD 93385.xml
HD 93385 c,HD 93385 c,Confirmed planets,0.0318,,,,,,,,,,46.025,,,,,0.24,,,,,560.1,,,,,RV,2011,11/09/12,HD 93385.xml
HD 9446 b,HD 9446 b,Confirmed planets,0.7,,,,,,,,,,30.052,,,,,0.2,,,,,586.1,,,,,RV,2010,10/01/05,HD 9446.xml
HD 9446 c,HD 9446 c,Confirmed planets,1.82,,,,,,,,,,192.9,,,,,0.06,,,,,315.8,,,,,RV,2010,10/01/05,HD 9446.xml
HD 95086 b,HD 95086 b|HIP 53524 b|2MASS J10570301-6840023 b|TYC 9212-4675-1 b,Confirmed planets,5,2,2,,,,,,,,,,,,,,,,,,1000,200,200,,,imaging,2013,13/10/28,HD 95086.xml
HD 95089 b,HD 95089 b,Confirmed planets,1.2,,,,,,,,,,507,,,,,0.157,,,,,396.7,,,,,RV,2010,10/03/19,HD 95089.xml
HD 95127 b,HD 95127 b,Confirmed planets,5.01,0.44,0.61,,,,,,,,482,5,5,,,0.11,0.06,0.15,,,,,,,,RV,2015,15/11/23,HD 95127.xml
HD 9578 b,HD 9578 b,Confirmed planets,0.62,,,,,,,,,,494,,,,,,,,,,,,,,,RV,2009,10/12/06,HD 9578.xml
HD 95872 b,HD 95872 b,Confirmed planets,4.6,0.3,0.3,,,,,,,,4375,169,169,,,0.06,0.04,0.04,,,,,,,,RV,2015,15/12/28,HD 95872.xml
HD 96063 b,HD 96063 b,Confirmed planets,0.9,,,,,,,,,,361.1,,,,,0.,,,,,481.5,,,,,RV,2011,12/07/24,HD 96063.xml
HD 96127 b,HD 96127 b,Confirmed planets,4.0,,,,,,,,,,647.3,16.8,16.8,,,0.3,0.1,0.1,,,,,,,,RV,2011,15/11/17,HD 96127.xml
HD 96167 b,HD 96167 b,Confirmed planets,0.68,,,,,,,,,,498.9,,,,,0.71,,,,,293.2,,,,,RV,2009,09/04/21,HD 96167.xml
HD 96700 b,HD 96700 b,Confirmed planets,0.0284,,,,,,,,,,8.1256,,,,,0.1,,,,,1001.4,,,,,RV,2011,11/09/12,HD 96700.xml
HD 96700 c,HD 96700 c,Confirmed planets,0.04,,,,,,,,,,103.49,,,,,0.37,,,,,425.4,,,,,RV,2011,11/09/12,HD 96700.xml
HD 97658 b,HD 97658 b|GJ 3651 b|BD +26 2184 b|HIP 54906 b,Confirmed planets,0.023754977,0.00248562011,0.00261147429,,,0.213245,0.013670,0.016403,,,9.4903,0.0015,0.0016,,,0.078,0.044,0.061,,,757,13,12,,,transit,2010,14/03/03,HD 97658.xml
HD 98219 b,HD 98219 b,Confirmed planets,1.8,,,,,,,,,,436.9,,,,,0,,,,,419.8,,,,,RV,2011,12/07/24,HD 98219.xml
HD 98649 b,HD 98649 b,Confirmed planets,6.8,,,,,,,,,,4951,,,,,0.85,,,,,,,,,,RV,2011,12/11/29,HD 98649.xml
HD 99109 b,HD 99109 b,Confirmed planets,0.502,,,,,,,,,,439.3,,,,,0.09,,,,,231.3,,,,,RV,2006,06/07/15,HD 99109.xml
HD 99706 b,HD 99706 b,Confirmed planets,1.4,,,,,,,,,,868,,,,,0.365,,,,,342.5,,,,,RV,2011,12/07/24,HD 99706.xml
HIP 107773 b,HIP 107773 b|HR 8331 b|HD 207229 b|2MASS J21500013-6442451 b|PPM 365403 b|TYC 9119-2234-1 b,Confirmed planets,1.98,0.21,0.21,,,,,,,,144.3,0.5,0.5,,,0.09,0.06,0.06,,,,,,,,RV,2015,15/05/25,HIP 107773.xml
HIP 116454 b,HIP 116454 b|K2-2 b|BD-00 4534 b|2MASS J23354927+0026436 b|PPM 174245 b|TYC 585-774-1 b|UCAC2 31966721 b|USNO-B1.0 0904-00582461 b,Confirmed planets,0.037182,0.004184,0.004184,,,0.230560,0.016403,0.016403,,,9.1205,0.0005,0.0005,,,0.205,0.072,0.072,,,690,14,14,,,transit,2014,14/12/18,HIP 116454.xml
HIP 11915 b,HIP 11915 b,Controversial,0.99,0.06,0.06,,,,,,,,3830,150,150,,,0.10,0.07,0.07,,,,,,,,RV,2015,15/08/15,HIP 11915.xml
HIP 11952 b,HIP 11952 b,Controversial,2.93,,,,,,,,,,290,,,,,0.27,,,,,372.6,,,,,RV,2012,13/02/14,HIP 11952.xml
HIP 11952 c,HIP 11952 c,Controversial,0.78,,,,,,,,,,6.95,,,,,0.35,,,,,1263.2,,,,,RV,2012,13/02/14,HIP 11952.xml
HIP 12961 b,HIP 12961 b,Confirmed planets,0.35,,,,,,,,,,57.435,,,,,0.16,,,,,393.0,,,,,RV,2009,11/11/23,HIP 12961.xml
HIP 13044 b,HIP 13044 b,Controversial,1.25,,,,,,,,,,16.2,,,,,0.25,,,,,2011.0,,,,,RV,2010,14/01/05,HIP 13044.xml
HIP 14810 b,HIP 14810 b,Confirmed planets,3.88,,,,,,,,,,6.673855,,,,,0.1427,,,,,918.2,,,,,RV,2006,09/06/03,HIP 14810.xml
HIP 14810 c,HIP 14810 c,Confirmed planets,1.28,,,,,,,,,,147.73,,,,,0.164,,,,,327.0,,,,,RV,2006,09/06/03,HIP 14810.xml
HIP 14810 d,HIP 14810 d,Confirmed planets,0.57,,,,,,,,,,962,,,,,0.173,,,,,175.6,,,,,RV,2009,09/06/03,HIP 14810.xml
HIP 5158 b,HIP 5158 b,Confirmed planets,1.44,,,,,,,,,,345.63,,,,,0.54,,,,,168.8,,,,,RV,2009,11/05/06,HIP 5158.xml
HIP 5158 c,HIP 5158 c,Confirmed planets,15.04,,,,,,,,,,9018,,,,,0.14,,,,,,,,,,RV,2010,11/05/06,HIP 5158.xml
HIP 57050 b,HIP 57050 b,Confirmed planets,0.298,,,,,,,,,,41.397,,,,,0.314,,,,,218.6,,,,,RV,2010,10/04/27,HIP 57050.xml
HIP 57274 b,HIP 57274 b,Confirmed planets,0.036,,,,,,,,,,8.1352,,,,,0.187,,,,,636.3,,,,,RV,2011,11/09/15,HIP 57274.xml
HIP 57274 c,HIP 57274 c,Confirmed planets,0.41,,,,,,,,,,32.03,,,,,0.05,,,,,399.8,,,,,RV,2011,11/09/15,HIP 57274.xml
HIP 57274 d,HIP 57274 d,Confirmed planets,0.527,,,,,,,,,,431.7,,,,,0.27,,,,,167.1,,,,,RV,2011,11/09/15,HIP 57274.xml
HIP 63242 b,HIP 63242 b,Confirmed planets,9.18,,,,,,,,,,124.6,,,,,0.23,,,,,,,,,,RV,2013,13/06/18,HIP 63242.xml
HIP 65891 b,HIP 65891 b|HD 117253 b|2MASS J13302527-5839517 b|PPM 341969 b|TYC 8674-592-1 b,Confirmed planets,6.00,0.49,0.49,,,,,,,,1084.5,23.5,23.5,,,0.13,0.05,0.05,,,,,,,,RV,2015,15/05/25,HIP 65891.xml
HIP 67851 b,HIP 67851 b|HD 121056 b,Confirmed planets,1.38,0.15,0.15,,,,,,,,88.9,0.1,0.1,,,0.05,0.04,0.04,,,,,,,,RV,2014,15/05/25,HIP 67851.xml
HIP 67851 c,HIP 67851 c|HD 121056 c,Confirmed planets,5.98,0.76,0.76,,,,,,,,2131.8,88.3,88.3,,,0.17,0.06,0.06,,,,,,,,RV,2014,15/05/25,HIP 67851.xml
HIP 70849 b,HIP 70849 b,Confirmed planets|Planets in binary systems| S-type,9,,,,,,,,,,10000,,,,,0.6,,,,,,,,,,RV,2009,11/07/05,HIP 70849.xml
iota Draconis b,iota Draconis b|HIP 75458 b|HD 137759 b,Confirmed planets,8.82,,,,,,,,,,510.702,,,,,0.713,,,,,598.2,,,,,RV,2002,13/01/26,HIP 75458.xml
HIP 78530 b,HIP 78530 b,Confirmed planets,24,2,2,,,,,,,,,,,,,,,,,,2700,100,100,,,imaging,2011,15/06/10,HIP 78530.xml
HIP 79431 b,HIP 79431 b,Confirmed planets,2.1,,,,,,,,,,111.7,,,,,0.29,,,,,146.8,,,,,RV,2010,10/01/11,HIP 79431.xml
HIP 91258 b,HIP 91258 b,Confirmed planets,1.068,0.038,0.038,,,,,,,,5.0505,0.0015,0.0015,,,0.024,0.014,0.014,,,,,,,,RV,2013,13/11/22,HIP 91258.xml
HIP 97233 b,HIP 97233 b,Confirmed planets,20.0,0.4,0.4,,,,,,,,1058.8,6.7,6.7,,,0.61,0.03,0.03,,,,,,,,RV,2014,15/01/06,HIP 97233.xml
HN Peg b,HN Peg b,Confirmed planets,22,9,9,,,1.05,0.06,0.14,,,,,,,,,,,,,1130,70,70,,,imaging,2007,11/04/23,HN Peg.xml
HR 810 b,HR 810 b,Confirmed planets,2.26,,,,,,,,,,320.1,,,,,0.161,,,,,373.3,,,,,RV,1999,10/12/29,HR 810.xml
HR 8799 b,HR 8799 b|HD 218396 b,Confirmed planets,5,,,,,0.7,,,,,166510,9022,9022,,,0,,,,,1100,,,,,imaging,2008,15/11/26,HR 8799.xml
HR 8799 c,HR 8799 c|HD 218396 c,Confirmed planets,7,,,,,1.0,,,,,83255,4511,4511,,,0,,,,,1200,,,,,imaging,2008,15/11/26,HR 8799.xml
HR 8799 d,HR 8799 d|HD 218396 d,Confirmed planets,7,,,,,1.1,,,,,41628,2257,2257,,,0,,,,,1200,,,,,imaging,2008,15/11/26,HR 8799.xml
HR 8799 e,HR 8799 e|HD 218396 e,Confirmed planets,7,,,,,1.0,,,,,20816,1129,1129,,,0,,,,,1200,,,,,imaging,2010,15/11/26,HR 8799.xml
HU Aqr (AB) b,HU Aqr (AB) b,Controversial|Planets in binary systems| P-type,4.758,,,,,,,,,,,,,,,0.0218,,,,,,,,,,timing,2011,15/05/24,HU Aqr.xml
HU Aqr (AB) c,HU Aqr (AB) c,Controversial|Planets in binary systems| P-type,20.20,,,,,,,,,,,,,,,0.1365,,,,,,,,,,timing,2011,15/05/24,HU Aqr.xml
HU Aqr (AB) d,HU Aqr (AB) d,Controversial|Planets in binary systems| P-type,80.00,,,,,,,,,,,,,,,0.0158,,,,,,,,,,timing,2014,15/05/24,HU Aqr.xml
HW Vir (AB) b,HW Vir (AB) b|HW Virginis (AB) b,Controversial|Planets in binary systems| P-type,14.3,,,,,,,,,,4640,,,,,0.4,,,,,,,,,,timing,2008,12/11/24,HW Vir.xml
K2-26 b,K2-26 b|EPIC 202083828 b,Confirmed planets,,,,,,0.2382,0.0375,0.0410,,,14.5665,0.0020,0.0016,,,,,,0.14,,,,,,,transit,2016,16/01/21,K2-26.xml
Kappa And b,Kappa And b|Kappa Andromedae b,Controversial,50,13,16,,,,,,,,,,,,,,,,,,2040,60,60,,,imaging,2012,12/11/19,Kappa Andromedae.xml
kappa CrB b,kappa CrB b|kap CrB b|Kappa Coronae Borealis b|k CrB b|k Coronae Borealis b|HD 142091 b,Confirmed planets,1.6,,,,,,,,,,1251,15,15,,,0.073,0.049,0.049,,,,,,,,RV,2007,15/11/02,kappa CrB.xml
Kapteyn b,Kapteyn b|Kapteyn's Star b|Kapteyn's b|HD 33793 b|Gliese 191 b,Controversial,0.015099,0.003146,0.002831,,,,,,,,48.616,0.032,0.036,,,0.21,0.10,0.11,,,,,,,,RV,2014,15/05/24,Kapteyn.xml
Kapteyn c,Kapteyn c|Kapteyn's Star c|Kapteyn's c|HD 33793 c|Gliese 191 c,Confirmed planets,0.022020,0.003146,0.003775,,,,,,,,121.54,0.25,0.25,,,0.23,0.12,0.10,,,,,,,,RV,2014,14/06/06,Kapteyn.xml
KELT-10 b,KELT-10 b|TYC 8378-64-1 b|2MASS J18581160-4700116 b,Confirmed planets,0.679,0.038,0.039,,,1.399,0.049,0.069,,,4.166286,0.00057,0.00057,,,0,,,,,1377,23,28,,,transit,2015,15/09/08,KELT-10.xml
KELT-15 b,KELT-15 b|TYC 8146-86-1 b|2MASS J07493960-5207136 b,Confirmed planets,0.91,0.22,0.21,,,1.443,0.057,0.11,,,3.329441,0.000016,0.000016,,,,,,,,1642,25,45,,,transit,2015,15/09/29,KELT-15.xml
KELT-17 b,KELT-17 b,Confirmed planets,1.31,0.29,0.28,,,1.525,0.060,0.065,,,3.0801716,0.0000052,0.0000053,,,,,,,,2087,33,32,,,transit,2016,16/07/19,KELT-17.xml
KELT-2A b,KELT-2A b|HIP 29301 A b|WDS J06107+3057 A b|TYC 2420-00899-1 A b|HD 42176 A b|BD+30 1138 A b|SAO 58830 A b|2MASS J06103935+3057258 b,Confirmed planets|Planets in binary systems| S-type,1.524,0.088,0.088,,,1.290,0.050,0.064,,,4.1137913,0.00001,0.00001,,,0,,,,,1712,20,28,,,transit,2012,15/09/20,KELT-2.xml
KELT-3 b,KELT-3 b|BD+41 2024 b|TYC 2996-683-1 b|2MASS J09543439+4023170 b|GSC 02996-00683 b|SAO 43097 b|PPM 51568 b,Confirmed planets,1.462,,,,,1.358,,,,,2.703390,,,,,0,,,,,1667.7,,,,,transit,2012,12/11/07,KELT-3.xml
KELT-4A b,KELT-4A b|BD+26 2091 b|HIP 51260 b|2MASS J10281500+2534236 b|TYC 1973-954-1 b|WDS 10283+2534 b|CCDM J10283+2534A b,Confirmed planets|Planets in binary systems| S-type,0.902,0.059,0.060,,,1.699,0.045,0.046,,,2.9895936,0.0000048,0.0000048,,,,,,,,,,,,,transit,2015,15/09/30,KELT-4.xml
KELT-6 b,KELT-6 b|TYC 2532-556-1 b|BD+31 2447 b,Confirmed planets,0.442,0.019,0.019,,,1.18,0.11,0.11,,,7.845582,0.000007,0.000007,,,0.029,0.013,0.016,,,,,,,,transit,2013,15/08/27,KELT-6.xml
KELT-6 c,KELT-6 c|TYC 2532-556-1 c|BD+31 2447 c,Confirmed planets,3.71,0.21,0.21,,,,,,,,1276,67,81,,,0.21,0.036,0.039,,,,,,,,RV,2015,15/08/27,KELT-6.xml
KELT-7 b,KELT-7 b|HD 33643 b|BD+33 977 b|HIP 24323 b|PPM 70046 b|TYC 2393-852-1 b|2MASS J05131092+331954,Confirmed planets,1.28,0.18,0.18,,,1.533,0.047,0.046,,,2.7347749,0.0000039,0.0000039,,,,,,,,2048,27,27,,,transit,2015,15/01/22,KELT-7.xml
