Primary star name(from standardize_OEC_star.csv),pl_hostname(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun](from standardize_OEC_star.csv),st_mass(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorminus(from standardize_OEC_star.csv),st_masserr2(from standardize_NASA_Catalogue_Star_Data.csv),Mass [MSun] errorplus(from standardize_OEC_star.csv),st_masserr1(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun](from standardize_OEC_star.csv),st_rad(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorminus(from standardize_OEC_star.csv),st_raderr2(from standardize_NASA_Catalogue_Star_Data.csv),Radius [RSun] errorplus(from standardize_OEC_star.csv),st_raderr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr](from standardize_OEC_star.csv),st_age(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorminus(from standardize_OEC_star.csv),st_ageerr2(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] errorplus(from standardize_OEC_star.csv),st_ageerr1(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] lowerlimit(from standardize_OEC_star.csv),Age [Gyr] lowerlimit(from standardize_NASA_Catalogue_Star_Data.csv),Age [Gyr] upperlimit(from standardize_OEC_star.csv),Age [Gyr] upperlimit(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H](from standardize_OEC_star.csv),st_metfe(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorminus(from standardize_OEC_star.csv),st_metfeerr2(from standardize_NASA_Catalogue_Star_Data.csv),Metallicity [Fe/H] errorplus(from standardize_OEC_star.csv),st_metfeerr1(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K](from standardize_OEC_star.csv),st_teff(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorminus(from standardize_OEC_star.csv),st_tefferr2(from standardize_NASA_Catalogue_Star_Data.csv),Temperature [K] errorplus(from standardize_OEC_star.csv),st_tefferr1(from standardize_NASA_Catalogue_Star_Data.csv),Spectral type(from standardize_OEC_star.csv),Spectral type(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude(from standardize_OEC_star.csv),st_optmag(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorminus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),Visual magnitude errorplus(from standardize_OEC_star.csv),st_optmagerr(from standardize_NASA_Catalogue_Star_Data.csv),source (xml)(from standardize_OEC_star.csv),source (xml)(from standardize_NASA_Catalogue_Star_Data.csv)
HD 23127,HD 23127,,,,0.10,,0.10,,,,,,,,7.100,,1.000,,1.000,,,,,,,,,,,5927.0,,,,,,g2v,,8.58,8.550,,0.014,,0.014,HD 23127.xml,
HD 23079,HD 23079,1.1,1.01,,,,,1.13,,,,,,,,,,,,,,,,-0.24,-0.150,,0.030,,0.030,5848.0,5927.00,,44.00,,44.00,f8/g0v,,7.1,7.120,,,,,HD 23079.xml,
HD 22781,HD 22781,,,,0.03,,0.03,,,,,,,,4.800,,4.200,,4.100,,,,,,,,0.120,,0.120,,,,50.00,,50.00,k0v,,8.77,8.766,,0.016,,0.016,HD 22781.xml,
HD 23596,HD 23596,1.27,1.16,,0.06,,0.06,2.09,,,,,,,,,,,,,,,,0.32,0.330,,0.030,,0.030,5888.0,5904.00,,44.00,,44.00,f8,,7.24,7.244,,0.011,,0.011,HD 23596.xml,
HD 24040,HD 24040,,,0.10,,0.10,,1.154,,0.039,,0.039,,,,,,,,,,,,,,,,,,,,,,,,g0,,7.52,7.493,,0.011,,0.011,HD 24040.xml,
HD 25171,HD 25171,,,,0.03,,0.03,,,,0.04,,0.04,,4.000,,1.600,,1.600,,,,,,,,0.044,,0.044,,,,65.00,,65.00,f8v,,,,,,,,HD 25171.xml,
HD 27442 A,HD 27442,1.2,1.23,,,,,6.6,,,,,,,,,,,,,,,,0.22,0.420,,0.030,,0.030,,4846.00,,44.00,,44.00,k2iva,,,,,,,,HD 27442.xml,
HD 27631,HD 27631,,,,0.04,,0.04,,,,,,,,,,3.600,,3.600,,,,,,,,0.050,,0.050,,,,36.00,,36.00,g3iv/v,,8.25,8.243,,0.012,,0.012,HD 27631.xml,
HD 27894,HD 27894,,,,,,,,,,,,,,3.900,,,,,,,,,,,,0.070,,0.070,,,,81.00,,81.00,k2v,,9.36,9.349,,0.021,,0.021,HD 27894.xml,
HD 28254,HD 28254,,,,,,,,,,0.06,,0.06,,,,,,,,,,,0.36,0.060,,0.020,,0.020,,,,35.00,,35.00,g1iv/v,,7.71,7.684,,0.011,,0.011,HD 28254.xml,
HD 28678,HD 28678,,,,0.12,,0.12,,,,0.10,,0.10,,1.800,,0.700,,0.700,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 28678.xml,
HD 30177,HD 30177,0.95,1.01,,,,,1.12,,,,,,,,,,,,,,,,0.19,0.390,,,,,5320.0,5588.00,,,,,g8v,,8.41,8.374,,0.013,,0.013,HD 30177.xml,
HD 30669,HD 30669,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g9v,,,,0.01,,0.01,,HD 30669.xml,
HD 30856,HD 30856,,,,0.09,,0.09,,,,0.10,,0.10,,3.800,,1.000,,1.000,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 30856.xml,
HD 32518,HD 32518,,,,,,,,,,,,,,5.830,,2.580,,2.580,,,,,,,,,,,,,,,,,k1iii,,6.44,6.421,,0.010,,0.010,HD 32518.xml,
HD 33142,HD 33142,,,,0.10,,0.10,,,,0.10,,0.10,,3.000,,0.400,,0.400,,,,,,,,0.030,,0.030,,,,44.00,,44.00,k0,,,,,,,,HD 33142.xml,
HD 33564,HD 33564,,,,0.04,,0.03,1.1,,,,,,,3.000,,0.300,,0.600,,,,,,,,,,,,,,,,,f6v,,,,,0.020,,0.020,HD 33564.xml,
HD 34445,HD 34445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g0v,,7.33,7.328,0.01,0.011,0.01,0.011,HD 34445.xml,
HD 37124,HD 37124,0.83,0.85,,,,,0.82,,,,,,,,,,,,,,,,-0.442,-0.440,,,,,5610.0,,,,,,g4v,,7.68,7.700,,,,,HD 37124.xml,
HD 37605,HD 37605,0.8,1.00,,0.05,,0.05,,0.90,,0.04,,0.04,,7.000,,,,,,,,,0.39,0.336,,0.030,,0.030,,,,44.00,,44.00,k0v,,8.69,8.661,,0.016,,0.016,HD 37605.xml,
HD 153950,HD 153950,,,,,,,,,,,,,,4.300,,1.000,,1.000,,,,,,,,,,,,,,,,,f8v,,,,,0.011,,0.011,HD 153950.xml,
HD 154672,HD 154672,1.06,1.08,,0.05,,0.05,1.27,1.44,,0.05,,0.05,,8.000,,3.000,,3.000,,,,,0.26,0.110,,0.100,,0.100,5714.0,5655.00,,100.00,,100.00,g3iv,,8.22,8.210,,,,,HD 154672.xml,
HD 154857,HD 154857,1.718,1.72,0.022,0.02,,,2.31,1.76,0.1,0.06,0.17,0.06,,,,,,,,,,,-0.31,-0.200,,,,,5508,5605.00,,,,,g5v,,7.25,7.238,,0.010,,0.010,HD 154857.xml,
HD 155358,HD 155358,0.92,,,,,,,,,,,,,,,,,,,,,,-0.51,,,,,,5900.0,,,,,,g0,,,,,0.010,,0.010,HD 155358.xml,
HD 156411,HD 156411,,,,,,,,,,0.09,,0.09,,,,,,,,,,,,,,0.010,,0.010,,,,15.00,,15.00,f8iv/v,,6.67,6.673,,0.010,,0.010,HD 156411.xml,
HD 156668,HD 156668,0.772,,,,,,0.72,,,,,,,,,,,,,,,,0.05,,,,,,4850.0,,,,,,k3v,,,,,0.020,,0.020,HD 156668.xml,
HD 156846 A,HD 156846,,,0.045,0.04,0.045,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g0,,,,,,,,HD 156846.xml,
HD 159243,HD 159243,1.125,1.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g0v,,8.65,8.646,0.01,0.014,0.01,0.014,HD 159243.xml,
HD 159868,HD 159868,,,,0.03,,0.03,,,,,,,,,,,,,,,,,,-0.080,,0.010,,0.010,5395.0,5558.00,,15.00,,15.00,g5v,,7.24,7.242,,,,,HD 159868.xml,
mu Arae,HD 160691,,,,0.05,,0.05,1.245,,,,,,,6.000,,,,,,,,,0.28,0.263,,0.030,,0.030,5700.0,5807.00,,30.00,,30.00,g3iv-v,,,,,,,,mu Arae.xml,
HD 162020,HD 162020,,,,,,,0.71,,,,,,,6.000,,18.000,,18.000,,,,,,,,0.110,,0.110,,,,80.00,,80.00,k2v,,9.18,9.100,,,,,HD 162020.xml,
HD 163607,HD 163607,,,,0.02,,0.02,,,,0.07,,0.07,,8.600,,0.600,,0.600,,,,,,,,0.030,,0.030,,,,44.00,,44.00,g5iv,,8.15,7.979,,0.012,,0.012,HD 163607.xml,
HD 164509,HD 164509,,,,0.02,,0.02,,,,0.03,,0.03,,1.100,,1.000,,1.000,,,,,,,,0.030,,0.030,,,,44.00,,44.00,g5v,,8.24,8.103,,0.014,,0.014,HD 164509.xml,
HD 164922,HD 164922,0.94,0.87,,0.01,,0.01,0.9,1.00,,0.02,,0.02,,,,,,,,,,,0.17,0.160,,0.050,,0.050,5385.0,5293.00,,32.00,,32.00,k0v,,7.01,6.990,,,,,HD 164922.xml,
HD 166724,HD 166724,,,,0.02,,0.02,,,,,,,,,,3.800,,3.800,,,,,,,,0.030,,0.030,5150.0,5127.00,,52.00,,52.00,k0iv,,9.31,9.344,,0.022,,0.022,HD 166724.xml,
HD 168443,HD 168443,0.995,0.99,,0.02,,0.02,,,,0.06,,0.06,,,,,,,,,,,,,,0.030,,0.030,5591.0,5491.00,,44.00,,44.00,g5,,6.92,6.917,,0.011,,0.011,HD 168443.xml,
HD 168746,HD 168746,0.88,0.93,,,,,1.12,,,,,,,,,,,,,,,,-0.06,0.078,,,,,5610.0,5564.00,,,,,g5,,7.95,7.946,,0.013,,0.013,HD 168746.xml,
HD 169830,HD 169830,,,,,,,1.84,,,,,,2.3,2.800,,,,,,,,,,,0.05,,0.05,,6300,6299.00,50,,50,,f8v,,5.9,5.902,,0.010,,0.010,HD 169830.xml,
HD 170469,HD 170469,,,,0.05,,0.01,,,,0.04,,0.04,,6.700,,0.900,,0.600,,,,,,,,0.030,,0.030,,,,44.00,,44.00,g5iv,,,,,,,,HD 170469.xml,
HD 171238,HD 171238,0.943,0.94,,0.03,,0.03,,,,,,,,4.920,,4.110,,4.110,,,,,,,,0.070,,0.070,,,,55.00,,55.00,kov,,,,,,,,HD 171238.xml,
CoRoT-8,CoRoT-8,,,,0.04,,0.04,,,,0.02,,0.02,,3.000,,,,,,,,,,,,0.100,,0.100,,,,80.00,,80.00,k1v,,14.797,14.800,,,,,CoRoT-8.xml,
CoRoT-9,CoRoT-9,,,,0.04,,0.04,,,,0.04,,0.04,,,,,,,,,,,,,,0.060,,0.060,,,,80.00,,80.00,g3v,,13.46,13.690,0.31,,0.31,,CoRoT-9.xml,
CoRoT-10,CoRoT-10,,,,0.05,,0.05,,,,0.05,,0.05,,3.000,,,,,,,,,,,,0.070,,0.070,,,,75.00,,75.00,k1v,,15.216,15.220,,0.050,,0.050,CoRoT-10.xml,
CoRoT-12,CoRoT-12,1.078,1.08,,0.07,,0.08,1.116,1.12,,0.09,,0.10,,6.300,,3.100,,3.100,,,,,,,,0.100,,0.100,,,,80.00,,80.00,g2v,,,,,,,,CoRoT-12.xml,
CoRoT-13,CoRoT-13,,,,0.02,,0.02,,,,0.03,,0.03,,1.635,,1.515,,1.515,,,,,,,,0.070,,0.070,,,,90.00,,90.00,g0v,,15.04,15.039,,0.041,,0.041,CoRoT-13.xml,
CoRoT-14,CoRoT-14,,,,0.09,,0.09,,,,0.08,,0.08,,4.200,,3.800,,3.800,,,,,,,,0.150,,0.150,,,,100.00,,100.00,f9v,,16.03,16.033,,,,,CoRoT-14.xml,
CoRoT-16,CoRoT-16,1.098,1.10,,0.08,,0.08,,,,0.13,,0.14,,6.730,,2.800,,2.800,,,,,,,,0.060,,0.060,,,,100.00,,100.00,g5v,,16.03,15.630,0.43,,0.43,,CoRoT-16.xml,
CoRoT-18,CoRoT-18,,,,0.15,,0.15,,,,0.13,,0.13,,,,,,,,,,,,,,0.100,,0.100,,,,100.00,,100.00,g9v,,,,,,,,CoRoT-18.xml,
CoRoT-19,CoRoT-19,,,,0.05,,0.05,,,,0.04,,0.04,,5.000,,1.000,,1.000,,,,,,,,0.100,,0.100,,,,70.00,,70.00,f9v,,,,,,,,CoRoT-19.xml,
CoRoT-22,CoRoT-22,1.099,1.10,0.049,0.05,0.049,0.05,1.136,1.14,,,0.038,0.04,,,,,,,,,,,,,,,,,,,,,,,g0iv,,,,,,,,CoRoT-22.xml,
CoRoT-23,CoRoT-23,,,,0.08,,0.08,,,,0.18,,0.18,,7.200,,1.000,,1.500,,,,,,,,0.100,,0.100,,,,100.00,,100.00,g0v,,,,,0.070,,0.070,CoRoT-23.xml,
CoRoT-24,CoRoT-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1v,,,,,,,,CoRoT-24.xml,
CoRoT-25,CoRoT-25,,,,,,,,,,,,,,4.500,,2.000,,1.800,,,,,,,,,,,,,,,,,f9v,,14.965,,0.031,,0.031,,CoRoT-25.xml,
CoRoT-27,CoRoT-27,,,,,,,,,,,,,,,,,,,,,,,0.1,-0.100,,,,,,,,,,,g2,,,15.540,,,,,CoRoT-27.xml,
CoRoT-28,CoRoT-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g8/9iv,,13.775,,0.022,,0.022,,CoRoT-28.xml,
CoRoT-29,CoRoT-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0v,,15.560,,0.069,,0.069,,CoRoT-29.xml,
Gliese 86 A,GJ 86,0.8,0.77,,,,,0.855,,,,,,2.5,,,,,,,,,,-0.24,-0.268,,,,,5188,5151.00,50,,50,,k1v,,6.17,6.120,,,,,Gliese 86.xml,
HAT-P-19,HAT-P-19,0.842,0.84,0.042,0.04,0.042,0.04,,,0.048,0.05,0.048,0.05,5.5,8.800,1.3,5.200,1.8,5.200,,,,,,,,,,,,,,,,,k,,,,,,,,HAT-P-19.xml,
HAT-P-21,HAT-P-21,0.947,0.95,,0.04,,0.04,1.105,1.10,,0.08,,0.08,,10.200,,2.500,,2.500,,,,,,,,0.080,,0.080,,,,80.00,,80.00,g3,,11.46,11.685,0.11,,0.11,,HAT-P-21.xml,
HAT-P-22,HAT-P-22,0.916,0.92,,0.04,,0.04,,,,0.04,,0.04,,12.400,,2.600,,2.600,,,,,,,,0.080,,0.080,,,,80.00,,80.00,g5,,9.76,9.732,0.02,,0.02,,HAT-P-22.xml,
HAT-P-23,HAT-P-23,1.13,1.10,,0.05,,0.05,1.203,1.09,,0.03,,0.03,,2.100,,4.900,,3.600,,,,,0.15,0.130,,0.080,,0.080,5905.0,5885.00,,72.00,,72.00,g5,,11.94,,0.020,,0.020,,HAT-P-23.xml,
HAT-P-24 A,HAT-P-24,1.191,1.19,0.042,0.04,0.042,0.04,1.317,1.32,,0.07,,0.07,,2.800,,0.600,,0.600,,,,,,,,0.080,,0.080,6329,6373.00,67,80.00,67,80.00,f8,,11.76,11.818,0.016,,0.016,,HAT-P-24.xml,
HAT-P-25,HAT-P-25,,,,0.03,,0.03,0.959,0.96,,0.04,,0.05,,3.200,,2.300,,2.300,,,,,,,,0.080,,0.080,,,,80.00,,80.00,g5,,13.15,13.190,0.25,,0.25,,HAT-P-25.xml,
HAT-P-26,HAT-P-26,0.816,0.82,,0.03,,0.03,0.788,0.79,,0.04,,0.10,,9.000,,4.900,,3.000,,,,,,,,0.080,,0.080,,,,88.00,,88.00,k1,,11.76,11.744,0.18,,0.18,,HAT-P-26.xml,
HAT-P-27,HAT-P-27,0.92,0.94,,0.04,,0.04,0.87,0.90,,0.04,,0.05,3.60,4.400,,2.600,,3.800,,,,,0.14,0.290,,0.100,,0.100,,,,90.00,,90.00,g8,,12.19,,0.13,,0.13,,HAT-P-27.xml,
HAT-P-28,HAT-P-28,1.025,1.02,,0.05,,0.05,1.103,1.10,,0.07,,0.09,,6.100,,1.900,,2.600,,,,,,,,0.080,,0.080,,,,90.00,,90.00,g3,,,,,,,,HAT-P-28.xml,
Kepler-180,Kepler-180,0.9100,0.84,0.1100,,0.1100,,1.063,1.06,.471,0.47,0.471,0.47,,,,,,,,,,,,-0.194,,,,,,,,,,,,,,14.350,,,,,Kepler-180.xml,
Kepler-181,Kepler-181,0.8530,,0.0320,,0.0320,,0.749,0.75,.367,0.37,0.367,0.37,,,,,,,,,,,,-0.162,,,,,,,,,,,,,,14.707,,,,,Kepler-181.xml,
Kepler-182,Kepler-182,1.1000,1.14,0.1500,,0.1500,,1.146,1.15,.512,0.51,0.512,0.51,,,,,,,,,,,,0.077,,,,,,,,,,,,,,14.896,,,,,Kepler-182.xml,
Kepler-183,Kepler-183,0.9900,,0.0700,,0.0700,,0.958,0.96,.414,0.41,0.414,0.41,,,,,,,,,,,,0.026,,,,,,,,,,,,,,14.943,,,,,Kepler-183.xml,
Kepler-184,Kepler-184,0.9700,,0.1200,,0.1200,,0.873,0.87,,,,,,,,,,,,,,,,-0.338,,,,,,,,,,,,,,14.338,,,,,Kepler-184.xml,
Kepler-185,Kepler-185,0.7730,0.79,0.0780,,0.0780,,0.806,0.81,,,,,,,,,,,,,,,,-0.051,,,,,,,,,,,,,,14.458,,,,,Kepler-185.xml,
Kepler-186,Kepler-186,0.478,0.54,0.055,0.02,0.055,0.02,0.472,0.52,0.052,0.02,0.052,0.02,,4.000,,0.600,,0.600,,,,,-0.28,-0.260,0.1,0.120,0.1,0.120,3788,3755.00,54,90.00,54,90.00,,,,14.625,,,,,Kepler-186.xml,
Kepler-187,Kepler-187,1.0000,0.85,0.1000,,0.1000,,1.287,1.29,.247,0.25,0.247,0.25,,,,,,,,,,,,-0.345,,,,,,,29,129.00,,,,,,14.173,,,,,Kepler-187.xml,
Kepler-188,Kepler-188,1.0100,,0.1200,,0.1200,,1.141,1.14,.514,0.51,0.514,0.51,,,,,,,,,,,,0.100,,,,,,,,,,,,,,14.674,,,,,Kepler-188.xml,
Kepler-189,Kepler-189,0.8240,0.79,0.0410,,0.0410,,,,.376,0.38,0.376,0.38,,,,,,,,,,,,-0.134,,,,,,,,,,,,,,14.859,,,,,Kepler-189.xml,
Kepler-190,Kepler-190,0.8020,0.84,0.0480,,0.0480,,0.795,0.80,.049,0.05,0.049,0.05,,,,,,,,,,,,0.009,,,,,,,,,,,,,,14.137,,,,,Kepler-190.xml,
Kepler-191,Kepler-191,0.8280,0.85,0.0730,,0.0730,,0.789,0.79,,,,,,,,,,,,,,,,0.006,,,,,,,,,,,,,,14.808,,,,,Kepler-191.xml,
HD 38283,HD 38283,1.085,1.08,,0.02,,0.02,,,,,,,,6.200,,0.500,,0.500,,,,,-0.24,-0.120,,,,,5945.0,5998.00,,,,,f9.5v,,6.7,6.696,,0.010,,0.010,HD 38283.xml,
HD 38529 A,HD 38529,,,,0.05,,0.05,2.44,,,,,,,,,,,,,,,,0.27,0.510,,0.030,,0.030,,5697.00,,44.00,,44.00,g4iv,,5.94,5.950,,,,,HD 38529.xml,
HD 39091,HD 39091,,,,,,,2.1,,,,,,,,,,,,,,,,0.09,0.048,,0.030,,0.030,5888.0,5950.00,,44.00,,44.00,g1iv,,5.67,5.650,,,,,HD 39091.xml,
HD 40307,HD 40307,,,,0.05,,0.05,,,,,,,,4.500,,,,,,,,,,,,0.030,,0.030,4977.0,4956.00,,50.00,,50.00,k2.5v,,,,,,,,HD 40307.xml,
HD 40979 A,HD 40979,1.1,1.15,,0.03,,0.03,1.21,,,,,,1,,,,,,,,,,0.194,0.150,,0.030,,0.030,,6089.00,,44.00,,44.00,f8v,,6.74,6.735,,0.010,,0.010,HD 40979.xml,
HD 41004 B,HD 41004 B,0.7,0.40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k1v,,,,,,,,HD 41004.xml,
HD 43197,HD 43197,,,,,,,,,,0.01,,0.01,,,,,,,,,,,,,,0.040,,0.040,,,,46.00,,46.00,g8v,,8.95,8.980,,,,,HD 43197.xml,
HD 44219,HD 44219,,,,,,,,,,0.07,,0.07,,,,,,,,,,,,,,0.010,,0.010,,,,16.00,,16.00,g2v,,,,,,,,HD 44219.xml,
HD 45364,HD 45364,0.82,,,,,,,,,,,,,,,,,,,,,,-0.17,,,,,,5434.0,,,,,,k0v,,8.08,8.062,,0.012,,0.012,HD 45364.xml,
HD 45350,HD 45350,,,,,,,1.27,,,,,,,8.000,,2.000,,2.000,,,,,,,,,,,5754.0,5616.00,,,,,g5iv,,7.88,7.885,,0.012,,0.012,HD 45350.xml,
HD 45652,HD 45652,,,,0.05,,0.05,,,,,,,,12.000,,,,,,,,,,,,0.070,,0.070,,,,68.00,,68.00,g8-k0,,8.1,8.127,,0.017,,0.017,HD 45652.xml,
HD 46375 A,HD 46375,0.91,0.92,,,,,1,,,,,,,,,,,,,,,,,,,,,,5199.0,5285.00,,,,,k1iv,,7.94,7.912,,0.015,,0.015,HD 46375.xml,
HD 47186,HD 47186,,,,,,,,,,,,,,,,,,,,,,,,,,0.020,,0.020,,,,21.00,,21.00,g5v,,7.8,7.626,,0.010,,0.010,HD 47186.xml,
HD 47536,HD 47536,0.99,0.91,,0.03,,0.03,23.47,22.39,,1.05,,1.05,,10.150,,1.310,,1.310,,,,,-0.65,0.690,,0.020,,0.020,4380.0,4424.00,,16.00,,16.00,k1iii,,,,,,,,HD 47536.xml,
HD 48265,HD 48265,0.93,1.28,,0.05,,0.05,,2.05,,0.05,,0.05,,5.000,,3.000,,3.000,,,,,0.17,0.400,,0.100,,0.100,5940.0,5650.00,,100.00,,100.00,g5v,,8.07,8.050,,,,,HD 48265.xml,
HD 50499,HD 50499,1.27,1.24,,0.10,,0.10,1.38,,,,,,,6.000,,,,,,,,,0.23,,,,,,5902.0,,,,,,giv,,7.22,7.195,,0.010,,0.010,HD 50499.xml,
HD 50554,HD 50554,,,,0.01,,0.01,1.11,1.02,,0.02,,0.02,,2.160,,0.290,,0.290,,,,,-0.07,-0.040,,0.030,,0.030,5902.0,5987.00,,70.00,,70.00,f8,,6.86,6.840,,0.020,,0.020,HD 50554.xml,
HD 60532,HD 60532,1.44,1.50,,0.09,,0.09,,2.57,,0.12,,0.12,,2.800,,0.600,,0.100,,,,,,,,,,,6095.0,6245.00,,80.00,,80.00,f6iv-v,,4.45,4.440,,,,,HD 60532.xml,
HD 62509,HD 62509,1.47,2.10,,0.08,,0.08,9.3,8.31,,0.09,,0.09,,0.980,,0.130,,0.130,,,,,0.19,0.070,,0.050,,0.050,4666.0,4946.00,,18.00,,18.00,k0iiib,,1.15,1.140,,,,,HD 62509.xml,
HD 63765,HD 63765,0.865,,,,,,,,,,,,,,,,,,,,,,-0.16,,,,,,5432.0,,,,,,g9v,,8.1,8.104,,0.012,,0.012,HD 63765.xml,
HD 173416,HD 173416,,,,0.30,,0.30,,,,0.90,,0.90,,,,,,,,,,,,-0.220,,0.090,,0.090,,,,100.00,,100.00,g8,,6.06,6.057,,,,,HD 173416.xml,
HD 175167,HD 175167,1.102,,,,,,,,,,,,,,,,,,,,,,0.19,,,,,,5940.0,,,,,,g5iv/v,,9.18,8.000,,0.010,,0.010,HD 175167.xml,
HD 177830 A,HD 177830,,,,,,,2.99,2.62,,,,,,4.400,,2.200,,2.200,,,,,0.55,0.545,,0.030,,0.030,,4949.00,,,,,k0iv,,,,,,,,HD 177830.xml,
HD 179079,HD 179079,1.087,1.15,,0.03,,0.03,1.48,1.60,,0.09,,0.09,,,,,,,,,,,0.29,0.250,,0.030,,0.030,5724.0,5684.00,,44.00,,44.00,g5iv,,,,,,,,HD 179079.xml,
HD 179949,HD 179949,1.28,1.21,,,,,1.19,,,,,,,,,,,,,,,,0.22,0.137,,,,,6260.0,6168.00,,,,,f8v,,,,,,,,HD 179949.xml,
HD 180314,HD 180314,,,,0.30,,0.30,,,,0.40,,0.40,,,,,,,,,,,,,,0.090,,0.090,,,,100.00,,100.00,k0,,6.61,6.608,,0.010,,0.010,HD 180314.xml,
HD 181342,HD 181342,1.84,1.89,,0.11,,0.11,4.6,5.12,,0.49,,0.49,,,,,,,,,,,0.26,0.200,,0.080,,0.080,5014.0,5040.00,,100.00,,100.00,k0iii,,,,,,,,HD 181342.xml,
HD 181433,HD 181433,,,,,,,,,,,,,,,,,,,,,,,,,,0.130,,0.130,,,,134.00,,134.00,k3iv,,8.38,8.400,,,,,HD 181433.xml,
HD 181720,HD 181720,,,,,,,,1.39,,,,,,,,,,,,,,,,,,0.020,,0.020,,,,18.00,,18.00,g1v,,7.86,7.849,,0.013,,0.013,HD 181720.xml,
HD 183263,HD 183263,1.121,1.17,0.052,0.10,0.052,0.10,1.117,,0.038,,0.038,,,8.130,,,,,,,,,0.302,0.300,0.030,,0.030,,,,44,,44,,g2iv,,7.86,7.861,0.01,0.012,0.01,0.012,HD 183263.xml,
HD 212301,HD 212301,1.05,1.27,,0.02,,0.02,,,,,,,,1.000,,,,,,,,,,,,0.040,,0.040,5998.0,6256.00,,28.00,,28.00,f8v,,7.77,7.764,,0.011,,0.011,HD 212301.xml,
HD 213240 A,HD 213240,1.22,,,,,,1.5,,,,,,3.6,,,,,,,,,,0.16,,,,,,,,,,,,g0v,,6.8,6.814,,0.010,,0.010,HD 213240.xml,
HD 215497,HD 215497,,,,0.02,,0.02,,,,,,,,7.000,,,,,,,,,,,,0.070,,0.070,,,,93.00,,93.00,k3v,,8.97,8.960,,,,,HD 215497.xml,
HD 216435,HD 216435,,,,,,,2,,,,,,,3.000,,,,,,,,,,,,,,,5767.0,5999.00,,60.00,,60.00,g0v,,,,,,,,HD 216435.xml,
HD 216536,HD 216536,,,,,,,,,,,,,,,2.0,2.020,4.3,4.330,,,,,,,,,,,,,,,,,k0,,,,,,,,HD 216536.xml,
HD 216770,HD 216770,,,,,,,1,,,,,,,3.100,,,,,,,,,,,,,,,5248.0,,,,,,k1v,,8.1,8.094,,0.013,,0.013,HD 216770.xml,
HD 217107,HD 217107,1.108,1.02,0.043,,0.043,,1.500,,0.030,,0.030,,,,,,,,,,,,0.389,0.370,0.030,,0.030,,5704,5646.00,44,,44,,g8iv,,,,,,,,HD 217107.xml,
HD 217786 A,HD 217786,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,f8v,,7.779,7.800,0.012,,0.012,,HD 217786.xml,
HD 218566,HD 218566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k3v,,8.628,8.630,0.016,0.030,0.016,0.030,HD 218566.xml,
HD 219415,HD 219415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,k0iii,,8.91,8.940,0.01,,0.01,,HD 219415.xml,
HD 220074,HD 220074,,,,0.30,,0.30,,,,9.50,,9.50,,4.500,,2.800,,2.800,,,,,,,,0.250,,0.250,5080,3935.00,,110.00,,110.00,k1v,,,,,,,,HD 220074.xml,
HD 220689,HD 220689,1.01,1.04,,0.03,,0.03,,,,0.04,,0.04,,,,1.900,,1.900,,,,,,,,0.030,,0.030,5940.0,5921.00,,26.00,,26.00,g3v,,7.77,7.758,,0.012,,0.012,HD 220689.xml,
HD 221287,HD 221287,,,,0.10,,0.10,,,,,,,,1.300,,,,,,,,,0.03,-0.030,,0.050,,0.050,,,,45.00,,45.00,f7v,,7.82,7.807,,0.010,,0.010,HD 221287.xml,
