Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
7 CMa,7cma,06 36 41.038,-19 15 21.17,19.75,0.09,0.09,7 CMa.xml
70 Vir,70vir,13 28 25.80861,+13 46 43.6386,18.1,0.2,0.2,70 Vir.xml
75 Cet,75cet|75ceti,02 32 09.42200,-01 02 05.6236,81.4,3.0,3.0,75 Cet.xml
8 Ursae Minoris,8ursaeminoris,14 56 48.352,+74 54 03.34,159.1,11.0,11.0,8 Ursae Minoris.xml
81 Cet,81cet,02 37 42.80105,-03 23 46.2201,92.5,3.9,3.9,81 Cet.xml
83 Leonis,83leonis,11 26 45.32180,+03 00 47.1551,17.79,0.14,0.14,83 Leonis.xml
91 Aquarii,91aquarii,23 15 53.49482,-09 05 15.8546,45.93,0.61,0.61,91 Aquarii.xml
AB Pic,abpic,06 19 12,-58 03 15,45.5,1.7,1.8,AB Pic.xml
alf Ari,alfari|alphaarietis|hamal,02 07 10.40570,+23 27 44.7032,20.18,0.10,0.10,alf Ari.xml
alf Tau,alftau|alphatauri|aldebaran,04 35 55.20,+16 30 35.1,20.43,0.32,0.32,alf Tau.xml
Alpha Centauri,alphacentauri|rigilkentaurus|rigilkent|toliman|bungula,14 39 36.204,-60 50 08.23,1.295,0.0045,0.0045,Alpha Centauri.xml
BD+14 4559,bd+144559|bd144559,21 13 35.99143,+14 41 21.7994,48.36,2.90,2.90,BD+14 4559.xml
BD+15 2940,bd+152940|hip78407,16 00 22.93827,+15 32 48.9291,508,312,312,BD+15 2940.xml
BD+20 1790,bd+201790,07 23 43.592,+20 24 58.66,25.4,4,4,BD+20 1790.xml
BD+20 2457,bd+202457|bd202457,10 16 44.8635,+19 53 28.974,,,,BD+20 2457.xml
BD+20 274,bd+20274,01 43 40.877,+21 00 19.04,,,,BD+20 274.xml
BD+48 738,bd+48738,02 42 50.463,+49 35 13.08,,,,BD+48 738.xml
BD+49 828,bd+49828,03 02 33.7362,+49 43 47.974,,,,BD+49 828.xml
BD-08 2823,bd-082823,10 00 47.72035,-09 31 00.0340,42.5,2.8,2.8,BD-08 2823.xml
BD-10 3166,bd-103166|bd-10deg3166,10 58 28.7798,-10 46 13.386,65.19,13.64,13.64,BD-10 3166.xml
BD-11 4672,bd-114672,18 33 28.83271,-11 38 09.7315,27.3,1.3,1.3,BD-11 4672.xml
BD-17 63,bd-1763,00 28 34.30654,-16 13 34.8458,35.7,1.6,1.6,BD-17 63.xml
beta Cancri,betacancri|hd69267,08 16 30.92101,+09 11 07.9579,93.0,1.6,1.6,beta Cancri.xml
beta Pic,betapic,05 47 17,-51 03 59,19.3,0.2,0.2,beta Pic.xml
beta Ursae Minoris,betaursaeminoris|hd131873,14 50 42.32580,+74 09 19.8142,40.14,0.19,0.19,beta Ursae Minoris.xml
CFBDS 1458,cfbds1458|cfbdsirj145829+101343,14 58 29,+10 13 43,23.1,,,CFBDS 1458.xml
CFBDSIR2149,cfbdsir2149|cfbdsirj214947.2-040308.9|cfbdsj214947-040308,21 49 47,-04 03 08,40,,,CFBDSIR2149.xml
CHXR 73,chxr73,11 06 29,-77 37 33,,,,CHXR 73.xml
CoRoT-1,corot-1,06 48 19,-03 06 08,460,,,CoRoT-1.xml
CoRoT-10,corot-10,19 24 15,+00 44 46,345,,,CoRoT-10.xml
CoRoT-11,corot-11,18 42 45,+05 56 16,560,,,CoRoT-11.xml
CoRoT-12,corot-12,06 43 04,-01 17 47,1150,,,CoRoT-12.xml
CoRoT-13,corot-13,06 50 53,-05 05 11,1310,,,CoRoT-13.xml
CoRoT-14,corot-14,06 53 42,-05 32 10,1340,,,CoRoT-14.xml
CoRoT-16,corot-16,18 34 06,-06 00 09,840,,,CoRoT-16.xml
