Primary system name,All system names,Right ascension,Declination,Distance [parsec],Distance errorminus,Distance errorplus,source (xml)
HD 128311,hd128311,14 36 00,+09 44 47,16.6,,,HD 128311.xml
HD 129445,hd129445,14 46 03,-68 45 45,67.61,,,HD 129445.xml
HD 130322,hd130322,14 47 33,-00 16 53,30,,,HD 130322.xml
HD 131399,hd131399,14 54 25.30919,-34 08 34.0412,,,,HD 131399.xml
HD 131496,hd131496,14 53 23,+18 14 07,110,,,HD 131496.xml
HD 131664,hd131664,15 00 06.08,-73 32 07.2,55.43,2.3,2.3,HD 131664.xml
HD 13189,hd13189,02 09 40,+32 18 59,185,,,HD 13189.xml
HD 132406,hd132406,14 56 55,+53 22 56,71,,,HD 132406.xml
HD 132563,hd132563,14 58 21.519,+44 02 35.33,96,13,13,HD 132563.xml
HD 134060,hd134060,15 10 45,-61 25 20,24.2,,,HD 134060.xml
HD 134606,hd134606,15 15 15,-70 31 11,26.5,,,HD 134606.xml
HD 134987,hd134987,15 13 28,-25 18 33,22.2,,,HD 134987.xml
HD 136352,hd136352,15 21 48,-48 19 03,14.8,,,HD 136352.xml
HD 136418,hd136418,15 19 07,+41 44 00,98.2,,,HD 136418.xml
HD 137388,hd137388,15 35 40,-80 12 17,38,,,HD 137388.xml
HD 13808,hd13808,02 12 43,-53 44 38,28.6,,,HD 13808.xml
HD 13908,hd13908,02 18 14.56056,+65 35 39.6988,71.3,3.5,3.5,HD 13908.xml
HD 13931,hd13931,02 16 47.37946,+43 46 22.7907,44.2,1.3,1.3,HD 13931.xml
HD 139357,hd139357,15 35 16.19886,+53 55 29.7129,118.2,4.4,4.4,HD 139357.xml
HD 141399,hd141399,15 46 53,+46 59 11,36.17,,,HD 141399.xml
HD 141937,hd141937,15 52 17,-18 26 09,33.46,,,HD 141937.xml
HD 142,hd142,00 06 19,-49 04 30,20.6,,,HD 142.xml
HD 142022,hd142022,16 10 15,-84 13 53,35.87,,,HD 142022.xml
HD 142245,hd142245,15 52 56,+15 25 50,109,,,HD 142245.xml
HD 142415,hd142415,15 57 40,-60 12 00,34.2,,,HD 142415.xml
HD 143361,hd143361,16 01 50,-44 26 04,59.35,,,HD 143361.xml
HD 145377,hd145377,16 11 36.44543,-27 04 41.4286,55.0,2.8,2.8,HD 145377.xml
HD 145457,hd145457,16 10 04,+26 44 34,126,,,HD 145457.xml
HD 145934,hd145934,16 13 09.9,+13 14 22.1,,,,HD 145934.xml
HD 1461,hd1461,00 18 42,-08 03 11,23.4,,,HD 1461.xml
HD 147018,hd147018,16 23 00,-61 41 20,42.96,,,HD 147018.xml
HD 147513,hd147513,16 24 01,-39 11 34,12.9,,,HD 147513.xml
HD 148156,hd148156,16 28 17,-46 19 03,53.05,,,HD 148156.xml
HD 148427,hd148427,16 28 28,-13 23 59,59.3,,,HD 148427.xml
HD 149026,hd149026,16 30 29,+38 20 50,78.9,,,HD 149026.xml
HD 149143,hd149143,16 32 51,+02 05 05,63,,,HD 149143.xml
HD 1502,hd1502,00 19 17,+14 03 17,159,,,HD 1502.xml
HD 150433,hd150433,16 41 08,-02 51 26,29.6,,,HD 150433.xml
HD 150706,hd150706,16 31 17,+79 47 23,27.2,,,HD 150706.xml
HD 152079,hd152079,16 53 30,-46 19 51,85.17,,,HD 152079.xml
HD 152581,hd152581,16 53 43,+11 58 25,186,,,HD 152581.xml
HD 153950,hd153950,17 04 30.86989,-43 18 35.1765,49.5,1.7,1.7,HD 153950.xml
HD 154088,hd154088,17 04 28,-28 34 58,17.8,,,HD 154088.xml
HD 154345,hd154345,17 02 36,+47 04 55,18.06,,,HD 154345.xml
HD 154672,hd154672,17 10 05,-56 26 57,65.8,,,HD 154672.xml
HD 154857,hd154857,17 11 15,-56 40 50,64.2,3.1,3.1,HD 154857.xml
HD 155233,hd155233,17 11 04.36474,-20 39 16.4509,75.1,3.3,3.3,HD 155233.xml
HD 155358,hd155358,17 09 35,+33 21 21,43,,,HD 155358.xml
HD 156279,hd156279,17 12 23,+63 21 08,36.6,,,HD 156279.xml
HD 156411,hd156411,17 19 51,-48 32 58,55.1,,,HD 156411.xml
HD 156668,hd156668,17 17 40,+29 13 38,24.5,,,HD 156668.xml
HD 156846,hd156846,17 20 34.31129,-19 20 01.4991,49.0,2.2,2.2,HD 156846.xml
HD 157172,hd157172,17 22 35,-19 36 58,31.9,,,HD 157172.xml
HD 158038,hd158038,17 25 45,+27 18 12,103,,,HD 158038.xml
HD 159243,hd159243,17 33 21.54580,+05 42 02.6391,69.2,5.5,5.5,HD 159243.xml
HD 159868,hd159868,17 39 00,-43 08 44,52.7,,,HD 159868.xml
HD 1605,hd1605,00 20 31.51872,+30 58 29.2948,84.6,,,HD 1605.xml
HD 16141,hd16141|79ceti,02 35 19,-03 33 38,35.9,,,HD 16141.xml
HD 16175,hd16175,02 37 02,+42 03 45,59.8,,,HD 16175.xml
HD 162020,hd162020,17 50 38,-40 19 06,31.26,,,HD 162020.xml
HD 163607,hd163607,17 53 40,+56 23 31,69,,,HD 163607.xml
HD 16417,hd16417,02 36 59,-34 34 41,25.5,,,HD 16417.xml
HD 164509,hd164509,18 01 31,+00 06 16,52,,,HD 164509.xml
HD 164595,hd164595,18 00 38.89431,+29 34 18.9202,28.93,0.4,0.4,HD 164595.xml
HD 164604,hd164604,18 03 07,-28 33 38,38,,,HD 164604.xml
HD 164922,hd164922,18 02 30,+26 18 46,21.93,,,HD 164922.xml
HD 1666,hd1666,00 20 52.33959,-19 55 52.4083,110.6,,,HD 1666.xml
HD 166724,hd166724,18 14 00,-42 34 31,42.3,,,HD 166724.xml
HD 167042,hd167042,18 10 31.64008,+54 17 11.5922,50.23,0.66,0.66,HD 167042.xml
HD 168443,hd168443,18 20 04,-09 35 34,37.38,,,HD 168443.xml
HD 168746,hd168746,18 21 49,-11 55 21,43.12,,,HD 168746.xml
HD 1690,hd1690,00 21 13,-08 16 52,319,,,HD 1690.xml
HD 169830,hd169830,18 27 49,-29 49 00,36.32,1.16,1.24,HD 169830.xml
HD 170469,hd170469,18 29 11,+11 41 44,64.97,,,HD 170469.xml
HD 17092,hd17092,02 46 22,+49 39 11,109,,,HD 17092.xml
HD 171028,hd171028,18 32 15,+06 56 45,90,,,HD 171028.xml
HD 171238,hd171238,18 34 44,-28 04 20,50.28,,,HD 171238.xml
HD 17156,hd17156,02 49 44,+71 45 12,78.24,,,HD 17156.xml
HD 173416,hd173416,18 43 36,+36 33 24,135,,,HD 173416.xml
HD 175167,hd175167,19 00 01,-69 56 39,67.02,,,HD 175167.xml
HD 175541,hd175541,18 55 41,+04 15 55,128,,,HD 175541.xml
HD 175607,hd175607,19 01 05.49,-66 11 33.65,45.27,2.07,2.07,HD 175607.xml
HD 176051,hd176051,18 57 02,+32 54 05,14.99,,,HD 176051.xml
HD 177830,hd177830,19 05 20.77341,+25 55 14.3797,59.0,2.2,2.2,HD 177830.xml
HD 178911,hd178911,19 09 03,+34 35 59,46.73,,,HD 178911.xml
HD 179079,hd179079,19 11 10,-02 38 18,63.69,,,HD 179079.xml
HD 179949,hd179949,19 15 33,-24 10 45,27,,,HD 179949.xml
HD 180314,hd180314,19 14 50,+31 51 37,132,,,HD 180314.xml
HD 180902,hd180902,19 19 18,-23 33 29,110,,,HD 180902.xml
HD 181342,hd181342,19 21 04,-23 37 10,110.6,,,HD 181342.xml
HD 181433,hd181433,19 25 10,-66 28 08,26.15,,,HD 181433.xml
HD 181720,hd181720,19 22 53,-32 55 09,56,,,HD 181720.xml
HD 183263,hd183263,19 28 24.6,+08 21 28.9,55.1,2.8,2.8,HD 183263.xml
HD 185269,hd185269,19 37 11.74092,+28 29 59.5055,50.28,1.42,1.42,HD 185269.xml
HD 187085,hd187085,19 49 33,-37 46 50,44.98,,,HD 187085.xml
HD 187123,hd187123,19 46 58.1,+34 25 10.3,48.3,1.2,1.2,HD 187123.xml
HD 18742,hd18742,03 00 10.656,-20 48 09.38,135,,,HD 18742.xml
HD 188015,hd188015,19 52 04,+28 06 01,52.6,,,HD 188015.xml
HD 189567,hd189567,20 05 33,-67 19 15,17.7,,,HD 189567.xml
HD 189733,hd189733,20 00 43,+22 42 39,19.3,,,HD 189733.xml
HD 190647,hd190647,20 07 20,-35 32 19,54.2,,,HD 190647.xml
HD 190984,hd190984,20 11 31,-64 37 14,103,,,HD 190984.xml
HD 192263,hd192263,20 14 00,-00 52 01,19.9,,,HD 192263.xml
HD 192699,hd192699,20 16 06.00508,+04 34 50.8537,65.6,2.5,2.5,HD 192699.xml
HD 195019,hd195019,20 28 17,+18 46 12,37.36,,,HD 195019.xml
HD 196050,hd196050,20 37 51,-60 38 04,46.93,,,HD 196050.xml
HD 196067,hd196067,20 41 44,-75 21 03,44.3,,,HD 196067.xml
HD 196885,hd196885,20 39 51,+11 14 58,33,,,HD 196885.xml
HD 197037,hd197037,20 39 32.96014,+42 14 54.7845,32.3,0.4,0.4,HD 197037.xml
HD 19994,hd19994,03 12 46,-01 11 45,22.38,,,HD 19994.xml
HD 20003,hd20003,03 07 38,-72 19 19,43.8,,,HD 20003.xml
HD 200964,hd200964,21 06 39.84239,+03 48 11.2280,68.4,4.8,4.8,HD 200964.xml
HD 202206,hd202206,21 14 57,-20 47 21,46.34,,,HD 202206.xml
HD 20367,hd20367,03 17 40,+31 07 37,27,,,HD 20367.xml
HD 2039,hd2039,00 24 20,-56 39 00,89.8,,,HD 2039.xml
HD 204313,hd204313,21 28 12,-21 43 35,47.37,,,HD 204313.xml
HD 204941,hd204941,21 32 24,-20 57 27,27,,,HD 204941.xml
HD 205739,hd205739,21 38 08,-31 44 15,90.3,,,HD 205739.xml
HD 206610,hd206610,21 43 25,-07 24 30,194,,,HD 206610.xml
HD 20782,hd20782|hd20781,03 20 03.57791,-28 51 14.6651,35.49,0.36,0.36,HD 20782.xml
HD 207832,hd207832,21 52 35,-26 49 44,54.4,,,HD 207832.xml
HD 20794,hd20794,03 19 55,-43 30 10,6.06,,,HD 20794.xml
HD 208487,hd208487,21 57 19,-37 45 49,45,,,HD 208487.xml
HD 208527,hd208527,21 56 24,+21 14 23,320.2,,,HD 208527.xml
HD 20868,hd20868,03 20 42.69404,-33 43 48.3916,46.2,2.9,2.9,HD 20868.xml
HD 209458,hd209458,22 03 10,+18 53 04,47,,,HD 209458.xml
HD 210277,hd210277,22 09 29,-07 32 32,21.29,,,HD 210277.xml
HD 210702,hd210702,22 11 51.33086,+16 02 25.9903,54.9,1.2,1.2,HD 210702.xml
HD 212301,hd212301,22 27 30,-77 43 04,52.7,,,HD 212301.xml
HD 212771,hd212771,22 27 03,-17 15 49,131,,,HD 212771.xml
HD 213240,hd213240,22 31 00,-49 25 59,40.75,,,HD 213240.xml
HD 215152,hd215152,22 43 21,-06 24 03,21.5,,,HD 215152.xml
HD 215456,hd215456,22 46 08,-48 58 04,38,,,HD 215456.xml
HD 215497,hd215497,22 46 37,-56 35 58,44,,,HD 215497.xml
HD 216435,hd216435,22 53 37,-48 35 53,33.3,,,HD 216435.xml
HD 216437,hd216437,22 54 39,-70 04 25,26.5,,,HD 216437.xml
HD 216536,hd216536,22 53 03.9725,+44 28 39.862,,,,HD 216536.xml
HD 216770,hd216770,22 55 53,-26 39 31,38,,,HD 216770.xml
HD 21693,hd21693,03 27 12,-58 19 25,32.4,,,HD 21693.xml
HD 217107,hd217107,22 58 15.5,-02 23 43.4,19.86,0.15,0.15,HD 217107.xml
HD 217786,hd217786,23 03 08.205,-00 25 46.66,54.9,2.3,2.3,HD 217786.xml
HD 218566,hd218566,23 09 10.72771,-02 15 38.6775,28.55,0.93,0.93,HD 218566.xml
HD 219077,hd219077,23 14 07,-62 42 00,29,,,HD 219077.xml
HD 219134,hd219134,23 13 16.97632,+57 10 06.0823,6.546,0.012,0.012,HD 219134.xml
HD 219415,hd219415,23 14 53.8203,+56 43 49.154,,,,HD 219415.xml
HD 219828,hd219828,23 18 47,+18 38 45,81.1,,,HD 219828.xml
HD 220074,hd220074,23 20 14,+61 58 12,290.2,,,HD 220074.xml
HD 220689,hd220689,23 25 53,-20 36 58,44.6,,,HD 220689.xml
HD 220773,hd220773,23 26 27,+08 38 38,49,,,HD 220773.xml
HD 221287,hd221287,23 31 20,-58 12 35,52.9,,,HD 221287.xml
HD 222155,hd222155,23 38 00,+48 59 47,49.1,,,HD 222155.xml
HD 222582,hd222582,23 41 51,-05 59 08,42,,,HD 222582.xml
HD 224693,hd224693,23 59 54,-22 25 41,94,,,HD 224693.xml
HD 22781,hd22781,03 40 50,+31 49 35,31.79,,,HD 22781.xml
HD 23079,hd23079,03 39 43,-52 54 57,34.8,,,HD 23079.xml
HD 23127,hd23127,03 39 24,-60 04 40,89.1,,,HD 23127.xml
HD 231701,hd231701,19 32 04,+16 28 27,108.4,,,HD 231701.xml
HD 233604,hd233604,09 09 48.8205,+53 34 05.623,,,,HD 233604.xml
HD 23596,hd23596,03 48 00,+40 31 50,52,,,HD 23596.xml
HD 240210,hd240210,23 10 29.2303,+57 01 46.035,143,53,53,HD 240210.xml
HD 240237,hd240237,23 15 42.22361,+58 02 35.6654,,,,HD 240237.xml
HD 24040,hd24040,03 50 22.9,+17 28 34.9,46.6,1.6,1.6,HD 24040.xml
HD 24064,hd24064,03 56 36.297,+74 04 48.12,264.4,31.2,31.2,HD 24064.xml
HD 25171,hd25171,03 55 49,-65 11 12,55,,,HD 25171.xml
HD 2638,hd2638,00 29 16.10949,-05 54 37.7582,53.71,,,HD 2638.xml
HD 27442,hd27442,04 16 29,-59 18 07,18.1,,,HD 27442.xml
HD 27631,hd27631,04 19 45,-41 57 37,45.5,,,HD 27631.xml
HD 27894,hd27894,04 20 47,-59 24 39,42.37,,,HD 27894.xml
HD 28185,hd28185,04 26 26,-10 33 02,39.4,,,HD 28185.xml
HD 28254,hd28254,04 24 51,-50 37 20,56.2,,,HD 28254.xml
HD 285507,hd285507,04 07 01,+15 20 06,41.339,,,HD 285507.xml
HD 28678,hd28678,04 31 28,+04 34 48,227,,,HD 28678.xml
HD 290327,hd290327,05 23 22,-02 16 39,54.9,,,HD 290327.xml
HD 2952,hd2952|hr135,00 33 10,+54 53 41,115,,,HD 2952.xml
HD 30177,hd30177,04 41 54,-58 01 14,55,,,HD 30177.xml
HD 30562,hd30562,04 48 36,-05 40 27,26.5,,,HD 30562.xml
HD 30669,hd30669,04 48 28.48561,-28 25 09.4699,57.1,3.9,3.9,HD 30669.xml
HD 30856,hd30856,04 50 14,-24 21 36,118,,,HD 30856.xml
HD 31253,hd31253,04 54 43.65327,+12 21 07.9133,50.3,1.6,1.6,HD 31253.xml
HD 31527,hd31527,04 55 38,-23 14 31,38.6,,,HD 31527.xml
HD 32518,hd32518,05 09 36.71904,+69 38 21.8510,120.6,8.4,8.4,HD 32518.xml
HD 32963,hd32963,05 07 55.76384,+26 19 40.6623,36.39,0.95,0.95,HD 32963.xml
HD 330075,hd330075,15 49 37,-49 57 48,50.2,,,HD 330075.xml
HD 33142,hd33142,05 07 35.54,-13 59 11.3,126,,,HD 33142.xml
HD 33283,hd33283,05 08 01,-26 47 50,86,,,HD 33283.xml
HD 33564,hd33564,05 22 33,+79 13 52,20.98,,,HD 33564.xml
HD 33844,hd33844,05 12 36.10097,-14 57 04.0084,100.9,6.5,6.5,HD 33844.xml
HD 34445,hd34445,05 17 40.98051,+07 21 12.0508,46.5,1.4,1.4,HD 34445.xml
HD 3651,hd3651,00 39 21,+21 15 01,11,,,HD 3651.xml
HD 37124,hd37124,05 37 02,+20 43 50,33,,,HD 37124.xml
HD 37605,hd37605,05 40 01,+06 03 38,42.9,,,HD 37605.xml
HD 38283,hd38283,05 37 02,-73 41 58,37.7,,,HD 38283.xml
HD 38529,hd38529,05 46 34,+01 10 05,39.28,,,HD 38529.xml
HD 38801,hd38801,05 47 59,-08 19 40,99.4,,,HD 38801.xml
HD 38858,hd38858,05 48 35,-04 05 41,15.2,,,HD 38858.xml
HD 39091,hd39091,05 37 09,-80 28 08,18.32,,,HD 39091.xml
HD 39194,hd39194,05 44 32,-70 08 37,25.9,,,HD 39194.xml
HD 39392,hd39392,05 53 19,+22 04 20,,,,HD 39392.xml
HD 40307,hd40307,05 54 04,-60 01 24,12.8,,,HD 40307.xml
HD 40979,hd40979,06 04 29,+44 15 37,33.3,,,HD 40979.xml
HD 41004,hd41004,05 59 50,-48 14 23,43.03,,,HD 41004.xml
HD 4113,hd4113,00 43 13,-37 58 57,44,,,HD 4113.xml
HD 41248,hd41248,06 00 33,-56 09 43,52.38,1.95,1.95,HD 41248.xml
HD 4203,hd4203,00 44 41,+20 26 56,77.82,8.53,7,HD 4203.xml
HD 4208,hd4208,00 44 26,-26 30 56,33.9,,,HD 4208.xml
HD 4308,hd4308,00 44 39,-65 38 58,21.9,,,HD 4308.xml
HD 4313,hd4313,00 45 40,+07 50 42,137,,,HD 4313.xml
HD 43197,hd43197,06 13 36,-29 53 50,54.9,,,HD 43197.xml
HD 43691,hd43691,06 19 35,+41 05 32,93.2,,,HD 43691.xml
HD 44219,hd44219,06 20 14,-10 43 30,50.43,,,HD 44219.xml
HD 45184,hd45184,06 24 44,-28 46 48,21.9,,,HD 45184.xml
HD 45350,hd45350,06 28 45,+38 57 46,49,,,HD 45350.xml
HD 45364,hd45364,06 25 38,-31 28 51,32.6,,,HD 45364.xml
HD 45652,hd45652,06 29 13,+10 56 02,36,,,HD 45652.xml
HD 46375,hd46375,06 33 12,+05 27 46,33.4,,,HD 46375.xml
HD 47186,hd47186,06 36 09,-27 37 20,37.84,,,HD 47186.xml
HD 4732,hd4732,00 49 13,-24 08 12,56.5,,,HD 4732.xml
HD 47536,hd47536,06 37 47,-32 20 23,121.36,,,HD 47536.xml
HD 48265,hd48265,06 40 02,-48 32 31,87.4,,,HD 48265.xml
HD 49674,hd49674,06 51 30,+40 52 03,40.7,,,HD 49674.xml
HD 50499,hd50499,06 52 02,-33 54 56,47.26,,,HD 50499.xml
HD 50554,hd50554,06 54 42,+24 14 44,31.03,,,HD 50554.xml
HD 51608,hd51608,06 54 51,-55 15 34,34.8,,,HD 51608.xml
HD 52265,hd52265,07 00 18,-05 22 01,28.1,,,HD 52265.xml
HD 5319,hd5319,00 55 01.400,+00 47 22.40,114,11,11,HD 5319.xml
HD 5608,hd5608,00 58 14.21893,+33 57 03.1843,56.4,1.3,1.3,HD 5608.xml
HD 564,hd564,00 09 52.82123,-50 16 04.1606,53.6,2.5,2.5,HD 564.xml
HD 5891,hd5891,01 00 59,+20 17 56,251,,,HD 5891.xml
HD 59686,hd59686,07 31 48,+17 05 09,92,,,HD 59686.xml
HD 60532,hd60532,07 34 03,-22 17 46,25.7,,,HD 60532.xml
HD 62509,hd62509,07 45 18,+28 01 34,10.34,,,HD 62509.xml
HD 63454,hd63454,07 39 21,-78 16 44,35.8,,,HD 63454.xml
HD 63765,hd63765,07 47 50,-54 15 51,32.6,,,HD 63765.xml
HD 6434,hd6434,01 04 40.15077,-39 29 17.5822,41.4,1.03,1.03,HD 6434.xml
HD 65216,hd65216,07 53 41,-63 38 50,34.3,,,HD 65216.xml
HD 66141,hd66141|hip39311|hr3145,08 02 16,+02 20 04,80.9,,,HD 66141.xml
HD 66428,hd66428,08 03 28.7,-01 09 45.7,54.9,3.2,3.2,HD 66428.xml
HD 67087,hd67087,08 07 39.75457,+31 33 04.7381,88.8,,,HD 67087.xml
HD 6718,hd6718,01 07 49,-08 14 01,55.9,,,HD 6718.xml
HD 68988,hd68988,08 18 22,+61 27 38,58,,,HD 68988.xml
HD 69830,hd69830,08 18 23,-12 37 55,12.6,,,HD 69830.xml
HD 70573,hd70573,08 22 50,+01 51 34,45.7,,,HD 70573.xml
HD 70642,hd70642,08 21 28,-39 42 19,28.8,,,HD 70642.xml
HD 7199,hd7199,01 10 47,-66 11 17,36,,,HD 7199.xml
HD 72659,hd72659,08 34 03,-01 34 05,49.8,,,HD 72659.xml
HD 73256,hd73256,08 36 23,-30 02 15,36.5,,,HD 73256.xml
HD 73267,hd73267,08 36 17.77517,-34 27 35.9219,54.2,2.7,2.7,HD 73267.xml
HD 73526,hd73526,08 37 16,-41 19 08,99,,,HD 73526.xml
HD 73534,hd73534,08 39 16,+12 57 37,96.99,,,HD 73534.xml
HD 74156,hd74156,08 42 25.1,+04 34 41.1,64.4,2.2,2.2,HD 74156.xml
HD 7449,hd7449,01 14 29.32198,-05 02 50.5942,38.9,0.71,0.74,HD 7449.xml
HD 75289,hd75289,08 47 40,-41 44 12,28.94,,,HD 75289.xml
HD 75784,hd75784,08 52 23.941,+13 14 00.37,68.7,6.2,6.2,HD 75784.xml
HD 75898,hd75898,08 53 51,+33 03 25,80.58,,,HD 75898.xml
HD 76700,hd76700,08 53 55,-66 48 03,59.7,,,HD 76700.xml
HD 77338,hd77338,09 01 12,-25 31 37,40.75,,,HD 77338.xml
HD 7924,hd7924,01 21 59.11491,+76 42 37.0335,16.82,0.13,0.13,HD 7924.xml
HD 79498,hd79498,09 15 09,+23 22 32,49,,,HD 79498.xml
HD 80606,hd80606,09 22 37,+50 36 13,58.4,,,HD 80606.xml
HD 81040,hd81040,09 23 47,+20 21 52,32.56,,,HD 81040.xml
HD 81688,hd81688,09 28 39.98840,+45 36 05.3344,85.8,2.9,2.9,HD 81688.xml
HD 82886,hd82886,09 35 45.1827,+34 46 50.673,125,,,HD 82886.xml
HD 82943,hd82943,09 34 50,-12 07 46,27.46,,,HD 82943.xml
HD 83443,hd83443,09 37 11,-43 16 19,43.54,,,HD 83443.xml
HD 8535,hd8535,01 23 37,-41 16 11,52.5,,,HD 8535.xml
HD 85390,hd85390,09 50 02,-49 47 25,33.96,,,HD 85390.xml
HD 85512,hd85512,09 51 07,-43 30 10,11.15,,,HD 85512.xml
HD 8574,hd8574,01 25 12,+28 34 00,44.2,,,HD 8574.xml
HD 86081,hd86081,09 56 06,-03 48 30,91,,,HD 86081.xml
HD 86226,hd86226,09 56 30,-24 05 58,42.48,,,HD 86226.xml
HD 86264,hd86264,09 56 58,-15 53 42,72.6,,,HD 86264.xml
HD 8673,hd8673,01 26 08,+34 34 46,36.1,0.5,0.5,HD 8673.xml
HD 87883,hd87883,10 08 43,+34 14 32,18.1,,,HD 87883.xml
HD 88133,hd88133,10 10 07,+18 11 12,74.5,,,HD 88133.xml
HD 89307,hd89307,10 18 21,+12 37 15,30.9,,,HD 89307.xml
HD 89744,hd89744,10 22 10,+41 13 46,40,,,HD 89744.xml
HD 90156,hd90156,10 23 55,-29 38 44,39.6,,,HD 90156.xml
HD 92788,hd92788,10 42 48,-02 11 01,32.82,,,HD 92788.xml
HD 93083,hd93083,10 44 20,-33 34 37,28.9,,,HD 93083.xml
HD 93385,hd93385,10 46 15,-41 27 52,42.2,,,HD 93385.xml
HD 9446,hd9446,01 33 20,+29 15 55,53,,,HD 9446.xml
HD 95086,hd95086|hip53524|2massj10570301-6840023|tyc9212-4675-1,10 57 03,-68 40 02,90.27,,,HD 95086.xml
HD 95089,hd95089,10 58 48,+01 43 45,139,,,HD 95089.xml
HD 95127,hd95127,10 59 35.08667,+43 48 52.0823,327,106,106,HD 95127.xml
HD 9578,hd9578,01 33 17,-38 14 42,57.24,,,HD 9578.xml
HD 95872,hd95872,11 03 28.071,-22 05 38.41,,,,HD 95872.xml
HD 96063,hd96063,11 04 44.4546,-02 30 47.587,158,,,HD 96063.xml
HD 96127,hd96127,11 05 45.94825,+44 18 05.6092,483,135,135,HD 96127.xml
HD 96167,hd96167,11 05 15,-10 17 29,84,,,HD 96167.xml
HD 96700,hd96700,11 07 54,-30 10 28,25.6,,,HD 96700.xml
HD 97658,hd97658,11 14 33,+25 42 37,21.11,0.34,0.34,HD 97658.xml
HD 98219,hd98219,11 17 47,-23 58 31,134,,,HD 98219.xml
HD 98649,hd98649,11 20 52,-23 13 02,40.3,,,HD 98649.xml
HD 99109,hd99109,11 24 17,-01 31 44,60.5,,,HD 99109.xml
HD 99706,hd99706,11 28 30,+43 58 00,129,,,HD 99706.xml
HIP 107773,hip107773,21 50 00.12563,-64 42 45.1275,104,4,4,HIP 107773.xml
HIP 116454,hip116454|k2-2,23 35 49.281,+00 26 43.86,55.2,5.4,5.4,HIP 116454.xml
HIP 11915,hip11915,02 33 49.02495,-19 36 42.5032,57.3,3.5,3.5,HIP 11915.xml
HIP 11952,hip11952,02 34 11,-12 23 03,111,,,HIP 11952.xml
HIP 12961,hip12961,02 46 43,-23 05 12,23,,,HIP 12961.xml
HIP 13044,hip13044,02 47 37,-36 06 27,701,,,HIP 13044.xml
HIP 14810,hip14810,03 11 14,+21 05 50,52.9,,,HIP 14810.xml
HIP 5158,hip5158,01 06 02,-22 27 11,45,,,HIP 5158.xml
HIP 57050,hip57050,11 41 45,+42 45 07,11,,,HIP 57050.xml
HIP 57274,hip57274,11 44 41,+30 57 33,25.92,,,HIP 57274.xml
HIP 63242,hip63242,12 57 32,-65 38 47,135,,,HIP 63242.xml
HIP 65891,hip65891,13 30 25.27310,-58 39 51.6746,136,11,11,HIP 65891.xml
HIP 67851,hip67851,13 53 52.06197,-35 18 51.7033,66.0,1.7,1.7,HIP 67851.xml
HIP 70849,hip70849,14 29 19,-46 27 50,24,,,HIP 70849.xml
HIP 75458,hip75458,15 24 55,+58 57 57,31.5,,,HIP 75458.xml
HIP 78530,hip78530,16 01 55,-21 58 49,156.7,13.0,13.0,HIP 78530.xml
HIP 79431,hip79431,16 12 42,-18 52 32,14.4,,,HIP 79431.xml
HIP 91258,hip91258,18 36 53.15422,+61 42 09.0124,44.9,1.3,1.3,HIP 91258.xml
HIP 97233,hip97233,19 45 41.274,-00 41 47.93,106,,,HIP 97233.xml
HN Peg,hnpeg,21 44 31,+14 46 19,18.4,0.3,0.3,HN Peg.xml
HR 810,hr810,02 42 31,-50 48 12,17.17,,,HR 810.xml
HR 8799,hr8799,23 07 28.71507,+21 08 03.3053,39.40,1.09,1.09,HR 8799.xml
HU Aqr,huaqr,21 07 58,-05 17 41,,,,HU Aqr.xml
HW Vir,hwvir,12 44 20.23731,-08 40 16.8338,181,,,HW Vir.xml
K2-26,k2-26|epic202083828,06 16 49.579,+24 35 47.08,93,7,7,K2-26.xml
Kappa Andromedae,kappaandromedae|kappaand,23 40 25,+44 20 02,51.6,0.5,0.5,Kappa Andromedae.xml
kappa CrB,kappacrb,15 51 13.93127,+35 39 26.5671,30.50,0.20,0.20,kappa CrB.xml
Kapteyn,kapteyn,05 11 40.58112,-45 01 06.2899,3.91,,,Kapteyn.xml
KELT-10,kelt-10,18 58 11.601,-47 00 11.68,183,14,14,KELT-10.xml
KELT-15,kelt-15,07 49 39.601,-52 07 13.55,291,30,30,KELT-15.xml
KELT-17,kelt-17,08 22 28.21,+13 44 07.2,210,10,10,KELT-17.xml
KELT-2,kelt-2,06 10 39.35,+30 57 25.7,128.6,4.2,5.2,KELT-2.xml
KELT-3,kelt-3,09 54 34.3880,+40 23 16.981,178,,,KELT-3.xml
KELT-4,kelt-4,10 28 15.011,+25 34 23.5,210,10,10,KELT-4.xml
KELT-6,kelt-6,13 03 55.648,+30 38 24.18,222,8,8,KELT-6.xml
KELT-7,kelt-7,05 13 10.93,+33 19 05.40,129,8,8,KELT-7.xml
KELT-8,kelt-8,18 53 13.322,+24 07 38.6,236,9,9,KELT-8.xml
Kepler-10,kepler-10,19 02 43,+50 14 29,173,27,27,Kepler-10.xml
Kepler-100,kepler-100|koi-41|kic6521045,19 25 32,+41 59 24,296.6,,,Kepler-100.xml
Kepler-1000,kepler-1000,19 06 45,+47 05 54,,,,Kepler-1000.xml
Kepler-1001,kepler-1001,19 05 06,+48 37 07,,,,Kepler-1001.xml
Kepler-1002,kepler-1002,19 32 19,+43 04 25,,,,Kepler-1002.xml
