Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
HD 98219,hd98219,1.30,,,4.5,,,,,,,,-0.02,,,4992.0,,,k0,8.21,,,HD 98219.xml
HD 98649,hd98649,1.00,,,1.0,,,2.3,,,,,0.02,,,5759,,,g4v,8.03,,,HD 98649.xml
HD 99109,hd99109,0.93,,,,,,,,,,,0.315,,,5272.0,,,k0,9.1,,,HD 99109.xml
HD 99706,hd99706,1.72,,,5.4,,,,,,,,0.14,,,4932.0,,,k0,7.81,,,HD 99706.xml
HIP 107773,hip107773|hr8331|hd207229|2massj21500013-6442451|ppm365403|tyc9119-2234-1,2.42,0.27,0.27,11.6,1.4,1.4,,,,,,0.03,0.10,0.10,4945,100,100,k1iii,5.628,,,HIP 107773.xml
HIP 116454,hip116454|k2-2|bd-004534|2massj23354927+0026436|ppm174245|tyc585-774-1|ucac231966721|usno-b1.00904-00582461,0.775,0.027,0.027,0.716,0.024,0.024,,,,,,-0.16,0.08,0.08,5089,50,50,k0,10.19,,,HIP 116454.xml
HIP 11915,hip11915|hd16008|sao148468|tyc5862-2032-1|bd-20481|cpd-20285|2massj02334900-1936425,0.993,0.005,0.005,,,,4.0,0.6,0.6,,,-0.059,0.004,0.004,5760,4,4,,8.58,0.01,0.01,HIP 11915.xml
HIP 11952,hip11952,0.83,,,1.6,,,,,,,,-1.9,,,6040.0,,,f2v,9.78,,,HIP 11952.xml
HIP 12961,hip12961,0.67,,,,,,,,,,,-0.07,,,3840.0,,,m0v,10.31,,,HIP 12961.xml
HIP 13044,hip13044,0.8,,,6.7,,,,,,,,-2.09,,,6025.0,,,f2,9.94,,,HIP 13044.xml
HIP 14810,hip14810,0.99,,,1,,,,,,,,0.26,,,5485.0,,,g5,8.52,,,HIP 14810.xml
HIP 5158,hip5158,0.78,,,,,,,,,,,0.1,,,4962.0,,,k5v,10.21,,,HIP 5158.xml
HIP 57050,hip57050,0.34,,,0.4,,,,,,,,0.32,,,3190.0,,,m4v,11.9,,,HIP 57050.xml
HIP 57274,hip57274,0.73,,,0.68,,,,,,,,0.09,,,4640.0,,,k5v,8.96,,,HIP 57274.xml
HIP 63242,hip63242,1.54,0.05,0.05,,,,,,,,,-0.31,0.09,0.09,4839,100,100,g8iii,6.86,0.01,0.01,HIP 63242.xml
HIP 65891,hip65891|hd117253|2massj13302527-5839517|ppm341969|tyc8674-592-1,2.5,0.21,0.21,8.93,1.02,1.02,,,,,,0.16,0.10,0.10,5000,100,100,k0iii,6.77,,,HIP 65891.xml
HIP 67851,hip67851|hd121056|hr5224|gliese532.1|cd-349223|sao204963|tyc7287-1874-1,1.30,0.18,0.18,5.87,0.29,0.29,,,,,,-0.03,0.10,0.10,4805,100,100,k0iii,6.17,,,HIP 67851.xml
HIP 70849,hip70849,0.63,,,,,,,,,,,,,,4105.0,,,k7v,10.36,,,HIP 70849.xml
HIP 70849 B,hip70849b,0.05,,,,,,,,,,,,,,,,,t4-t5,,,,HIP 70849.xml
iota Draconis,iotadraconis|hip75458|hd137759,1.4,,,12.8,,,,,,,,0.15,,,4445.0,,,k2iii,3.31,,,HIP 75458.xml
HIP 78530,hip78530,2.5,,,,,,11,2,2,,,,,,10500,,,b9v,7.18,,,HIP 78530.xml
HIP 79431,hip79431,0.49,,,,,,,,,,,0.4,,,3191.0,,,m3v,11.34,,,HIP 79431.xml
HIP 91258,hip91258,0.95,0.03,0.03,1,0.04,0.04,2.4,2.4,2.4,,,0.23,0.05,0.05,5519,70,70,g5v,8.65,0.01,0.01,HIP 91258.xml
HIP 97233,hip97233|hd186641|bd-013821|sao143775|tyc5146-2250-1,1.93,0.11,0.11,5.34,0.55,0.55,,,,,,0.29,0.13,0.13,5020,100,100,k0,7.34,,,HIP 97233.xml
HN Peg,hnpeg,1,,,,,,,,,,,,,,5940.0,,,g0v,6,,,HN Peg.xml
HR 810,hr810,1.11,,,1.85,,,,,,,,0.25,,,5997.0,,,g0vpecul.,5.4,,,HR 810.xml
HR 8799,hr8799|v342peg|v342pegasi|hd218396|hip114189|tyc1718-2350-1|sao91022|bd+205278|2massj23072869+2108033,1.516,0.024,0.038,1.44,0.06,0.06,0.033,0.0132,0.007,,,-0.47,,,7193,87,87,ka5hf0ma5v,5.953,0.010,0.010,HR 8799.xml
HU Aqr A,huaqra,0.80,,,,,,,,,,,,,,,,,wd,,,,HU Aqr.xml
HU Aqr B,huaqrb,0.18,0.06,0.06,,,,,,,,,,,,,,,m4v,,,,HU Aqr.xml
HW Vir A,hwvira,0.485,,,0.183,,,,,,,,,,,28488,,,sdb+m,4.22,,,HW Vir.xml
HW Vir B,hwvirb,0.142,,,0.175,,,,,,,,,,,3084,,,sdb+m,15.59,,,HW Vir.xml
HW Vir (AB) C,hwvir(ab)c,0.01861844,,,,,,,,,,,,,,,,,,,,,HW Vir.xml
K2-26,k2-26|epic202083828|2massj06164957+2435470,0.56,0.10,0.10,0.52,0.08,0.08,,,,1,,-0.13,0.15,0.15,3785,185,185,m1.0v,14.53,0.03,0.03,K2-26.xml
Kappa Andromedae,kappaandromedae,2.8,0.2,0.1,2.29,0.06,0.06,0.220,0.100,0.100,,,-0.36,,,11361,66,66,b9iv,4.1,,,Kappa Andromedae.xml
kappa CrB,kappacrb|kapcrb|kappacoronaeborealis|kcrb|kcoronaeborealis|hd142091|hip77655|tyc2578-1609-1|sao64948|hr5901|bd+362652|2massj15511394+3539264,1.51,,,4.71,,,,,,,,0.10,0.04,0.04,4877,25,25,k0iii-iv,4.79,,,kappa CrB.xml
Kapteyn,kapteyn|kapteynsstar|hd33793|gliese191,0.281,0.014,0.014,0.291,0.025,0.025,11.0,10.6,4,,,-0.86,,,3550.0,50,50,m1.0,8.853,,,Kapteyn.xml
KELT-10,kelt-10|tyc8378-64-1|2massj18581160-4700116,1.112,0.061,0.055,1.209,0.035,0.047,,,,,,0.09,0.1,0.11,5948,74,74,,10.62,0.06,0.06,KELT-10.xml
KELT-15,kelt-15|tyc8146-86-1|2massj07493960-5207136,1.181,0.05,0.051,1.481,0.041,0.091,,,,,,0.047,0.032,0.032,6003,52,56,g0,11.745,0.05,0.05,KELT-15.xml
KELT-17,kelt-17|tyc807-903-1|2massj08222820+1344071,1.635,0.061,0.066,1.645,0.055,0.060,,,,,,-0.018,0.072,0.074,7454,49,49,,9.286,0.051,0.051,KELT-17.xml
KELT-2A,kelt-2a|wdsj06107+3057a|hip29301a|tyc2420-899-1a|hd47126a|bd+301138a|sao58830a|cou1102a,1.314,0.060,0.063,1.836,0.046,0.066,,,,,,-0.034,0.78,0.78,6148,48,48,f7v,8.77,0.02,0.02,KELT-2.xml
KELT-2B,kelt-2b|wdsj06107+3057b|hip29301b|tyc2420-899-1b|hd47126b|bd+301138b|sao58830b|cou1102b,0.78,,,0.70,,,,,,,,,,,485,150,150,k2v,12.0,,,KELT-2.xml
KELT-3,kelt-3|bd+412024|tyc2996-683-1|2massj09543439+4023170|gsc02996-00683|sao43097|ppm51568,1.282,,,1.482,,,,,,,,0.047,,,6304,,,f2,9.82,0.03,0.03,KELT-3.xml
KELT-4A,kelt-4a|bd+262091|hip51260|2massj10281500+2534236|tyc1973-954-1|wds10283+2534|ccdmj10283+2534a,1.201,0.061,0.067,1.610,0.068,0.078,,,,,,-0.116,0.069,0.065,6206,75,75,f,9.98,0.03,0.03,KELT-4.xml
KELT-4B,kelt-4b,,,,,,,,,,,,,,,,,,,,,,KELT-4.xml
KELT-4C,kelt-4c,,,,,,,,,,,,,,,,,,,,,,KELT-4.xml
KELT-6,kelt-6|tyc2532-556-1|bd+312447|2massj13035564+3038241,1.126,0.058,0.058,1.529,0.137,0.143,4.90,0.46,0.66,,,-0.27,0.06,0.06,6272,61,61,f8,10.337,0.054,0.054,KELT-6.xml
KELT-7,kelt-7|hd33643|bd+33977|hip24323|ppm70046|tyc2393-852-1|2massj05131092+331954,1.535,0.054,0.066,1.732,0.045,0.043,1.3,0.2,0.2,,,0.139,0.081,0.075,6789,49,50,f2,8.540,0.030,0.030,KELT-7.xml
KELT-8,kelt-8|hd343246|2massj18531332+2407385|tyc2109-49-1|wds18533+2407,1.211,0.066,0.078,1.67,0.12,0.14,,,,,,0.272,0.038,0.038,5754,55,54,g2v,10.833,0.054,0.054,KELT-8.xml
Kepler-10,kepler-10|koi-72|kic11904151,0.91,0.021,0.021,1.065,0.009,0.009,10.6,1.3,1.5,,,-0.15,0.04,0.04,5643,75,75,g,10.96,,,Kepler-10.xml
Kepler-100,kepler-100|koi-41|kic6521045,1.08,0.06,0.06,1.49,0.04,0.04,6.46,,,,,0.02,0.10,0.10,5825,75,75,,11.06,0.07,0.07,Kepler-100.xml
Kepler-1000,kepler-1000,1.40,0.04,0.04,1.51,0.07,0.08,,,,,,0.35,0.05,0.06,6453.0,73.4,74.2,,,,,Kepler-1000.xml
Kepler-1001,kepler-1001,0.90,0.04,0.04,0.88,0.06,0.09,,,,,,-0.03,0.17,0.14,5491.0,68.9,66.2,,,,,Kepler-1001.xml
Kepler-1002,kepler-1002,1.22,0.05,0.05,1.57,0.04,0.05,,,,,,0.04,0.06,0.07,6144.0,61.1,47.2,,,,,Kepler-1002.xml
Kepler-1003,kepler-1003,1.11,0.08,0.13,1.17,0.15,0.32,,,,,,0.01,0.17,0.14,6109.0,195.3,150.0,,,,,Kepler-1003.xml
Kepler-1004,kepler-1004,1.11,0.12,0.18,3.39,0.22,0.28,,,,,,-0.04,0.03,0.02,4972.0,39.5,52.3,,,,,Kepler-1004.xml
Kepler-1005,kepler-1005,1.00,0.04,0.04,1.06,0.10,0.15,,,,,,0.02,0.10,0.09,5782.0,67.9,68.0,,,,,Kepler-1005.xml
Kepler-1006,kepler-1006,0.78,0.06,0.07,0.74,0.06,0.09,,,,,,-0.40,0.19,0.24,5328.0,112.8,180.8,,,,,Kepler-1006.xml
