Primary star name,All star names,Mass [MSun],Mass [MSun] errorminus,Mass [MSun] errorplus,Radius [RSun],Radius [RSun] errorminus,Radius [RSun] errorplus,Age [Gyr],Age [Gyr] errorminus,Age [Gyr] errorplus,Age [Gyr] lowerlimit,Age [Gyr] upperlimit,Metallicity [Fe/H],Metallicity [Fe/H] errorminus,Metallicity [Fe/H] errorplus,Temperature [K],Temperature [K] errorminus,Temperature [K] errorplus,Spectral type,Visual magnitude,Visual magnitude errorminus,Visual magnitude errorplus,source (xml)
HD 164604,hd164604,0.8,,,,,,,,,,,-0.18,,,5150.0,,,k2v,9.7,,,HD 164604.xml
HD 164922,hd164922,0.94,,,0.9,,,,,,,,0.17,,,5385.0,,,k0v,7.01,,,HD 164922.xml
HD 1666,hd1666|bd-2048|ppm208672|tyc5842-736-1|2massj00205233-1955522|hip1666,1.50,0.07,0.07,1.93,0.49,0.49,1.76,0.20,0.20,,,0.37,0.04,0.04,6317,44,44,f7v,8.16,0.01,0.01,HD 1666.xml
HD 166724,hd166724,0.81,,,,,,4.0,,,,,-0.09,,,5150.0,,,k0iv,9.31,,,HD 166724.xml
HD 167042,hd167042|hip89047|tyc3903-2143-1|sao30784|hr6817|bd+541950|2massj18103166+5417114,1.72,0.12,0.12,4.30,0.07,0.07,,,,,,0.05,,,5020.0,,,k1iv,5.97,,,HD 167042.xml
HD 168443,hd168443,0.995,,,1.51,,,,,,,,0.04,,,5591.0,,,g5,6.92,,,HD 168443.xml
HD 168746,hd168746,0.88,,,1.12,,,,,,,,-0.06,,,5610.0,,,g5,7.95,,,HD 168746.xml
HD 1690,hd1690,1.09,,,16.7,,,,,,,,-0.32,,,4393.0,,,k1iii,9.17,,,HD 1690.xml
HD 169830,hd169830,1.4,,,1.84,,,2.3,,,,,0.21,0.05,0.05,6300,50,50,f8v,5.9,,,HD 169830.xml
HD 170469,hd170469,1.14,,,1.22,,,,,,,,0.3,,,5810.0,,,g5iv,8.21,,,HD 170469.xml
HD 17092,hd17092,2.3,,,,,,,,,,,0.18,,,4650.0,,,k0iii,7.73,,,HD 17092.xml
HD 171028,hd171028,0.99,,,1.95,,,,,,,,-0.49,,,5663.0,,,g0,8.31,,,HD 171028.xml
HD 171238,hd171238,0.943,,,,,,,,,,,0.17,,,5467.0,,,kov,8.66,,,HD 171238.xml
HD 17156,hd17156,1.275,,,1.508,,,,,,,,0.24,,,6079.0,,,g0v,8.16,0.01,0.01,HD 17156.xml
HD 173416,hd173416,2,,,13.5,,,,,,,,,,,4683.0,,,g8,6.06,,,HD 173416.xml
HD 175167,hd175167,1.102,,,,,,,,,,,0.19,,,5940.0,,,g5iv/v,9.18,,,HD 175167.xml
HD 175541,hd175541,1.65,,,3.85,,,,,,,,-0.07,,,5060.0,,,g8iv,8.03,,,HD 175541.xml
HD 175607,hd175607|hip93373|tyc9082-1542-1|cd-662264|cpd-663406|2massj19010548-6611336,0.71,0.01,0.01,0.70,0.01,0.01,10.32,1.58,1.58,,,-0.62,0.01,0.01,5392,17,17,g6v,8.61,,,HD 175607.xml
HD 176051,hd176051,,,,,,,,,,,,,,,5700.0,,,g0v,5.22,,,HD 176051.xml
HD 177830 A,hd177830a|hip93746a|tyc2126-1196-1|sao86791a|gliese743.2a|gj743.2a|bd+253719a|wdsj19053+2555a,1.47,,,2.99,0.06,0.06,,,,,,0.55,,,,,,k0iv,7.177,0.010,0.010,HD 177830.xml
HD 177830 B,hd177830b|hip93746b|sao86791b|gliese743.2b|gj743.2b|bd+253719b|wdsj19053+2555b,0.23,0.01,0.01,,,,,,,,,,,,,,,m3.5v,,,,HD 177830.xml
HD 178911 B,hd178911b|hr7272|ads12101|hip94075/6,1.07,,,1.14,,,,,,,,0.28,,,5650.0,,,g5,7.98,,,HD 178911.xml
HD 178911 Aa,hd178911aa,1.1,,,,,,,,,,,,,,,,,g1,,,,HD 178911.xml
HD 178911 Ab,hd178911ab,0.79,,,,,,,,,,,,,,,,,k1,,,,HD 178911.xml
HD 179079,hd179079,1.087,,,1.48,,,,,,,,0.29,,,5724.0,,,g5iv,7.95,,,HD 179079.xml
HD 179949,hd179949,1.28,,,1.19,,,,,,,,0.22,,,6260.0,,,f8v,6.25,,,HD 179949.xml
HD 180314,hd180314,2.6,,,9.2,,,,,,,,0.2,,,4917.0,,,k0,6.61,,,HD 180314.xml
HD 180902,hd180902,1.52,,,4.1,,,,,,,,0.04,,,5030.0,,,k0iii/iv,7.78,,,HD 180902.xml
HD 181342,hd181342,1.84,,,4.6,,,,,,,,0.26,,,5014.0,,,k0iii,7.55,,,HD 181342.xml
HD 181433,hd181433,0.78,,,,,,,,,,,0.33,,,4962.0,,,k3iv,8.38,,,HD 181433.xml
HD 181720,hd181720,0.92,,,,,,,,,,,-0.53,,,5781.0,,,g1v,7.86,,,HD 181720.xml
HD 183263,hd183263|hip95740|sao124664|tyc1055-3415-1|bd+084109|2massj19282457+0821290,1.121,0.052,0.052,1.117,0.038,0.038,,,,,,0.302,0.030,0.030,5936,44,44,g2iv,7.86,0.01,0.01,HD 183263.xml
HD 185269 A,hd185269a|hip96507|tyc2150-5013-1|sao87464|bd+283412a|2massj19371174+2829597,1.28,0.1,0.1,1.88,0.1,0.1,4.2,,,,,0.11,0.05,0.05,5980,50,50,g0iv,6.683,,,HD 185269.xml
HD 185269 Ba,hd185269ba|bd+283412ba,0.165,0.08,0.08,,,,,,,,,,,,,,,,,,,HD 185269.xml
HD 185269 Bb,hd185269bb|bd+283412bb,0.154,0.008,0.009,,,,,,,,,,,,,,,,,,,HD 185269.xml
HD 187085,hd187085,1.22,,,,,,,,,,,0.05,,,6075.0,,,g0v,7.22,,,HD 187085.xml
HD 187123,hd187123|hip97336|sao68845|tyc2664-550-1|bd+343708|2massj19465809+3425105,1.037,0.025,0.025,1.143,0.039,0.039,,,,,,0.121,0.030,0.030,5815,44,44,g5v,7.83,0.01,0.01,HD 187123.xml
HD 18742,hd18742,1.60,,,4.9,,,,,,,,-0.04,,,5048.0,,,k0,7.97,,,HD 18742.xml
HD 188015 A,hd188015a,1.09,,,1.1,,,,,,,,0.29,,,,,,g5iv,8.22,,,HD 188015.xml
HD 188015 B,hd188015b,0.21,,,,,,,,,,,,,,,,,,,,,HD 188015.xml
HD 189567,hd189567,,,,,,,,,,,,,,,5940.0,,,g2v,6.07,,,HD 189567.xml
HD 189733 A,hd189733a|v452vulpeculaea,0.8,,,0.788,,,,,,,,-0.03,,,4980.0,,,k2v,7.68,0.05,0.05,HD 189733.xml
HD 189733 B,hd189733b|v452vulpeculaeb,0.4,,,,,,,,,,,,,,,,,m4,,,,HD 189733.xml
HD 190647,hd190647,1.1,,,,,,,,,,,0.24,,,5628.0,,,g5,7.78,,,HD 190647.xml
HD 190984,hd190984,0.91,,,1.53,,,,,,,,-0.48,,,5988.0,,,f8v,8.76,,,HD 190984.xml
HD 192263,hd192263,0.81,,,0.75,,,,,,,,-0.2,,,4965.0,,,k2v,7.79,,,HD 192263.xml
HD 192699,hd192699|hip99894|tyc504-2358-1|sao125628|bd+044395|2massj20160600+0434509,1.69,0.12,0.12,3.90,0.06,0.06,,,,,,-0.15,,,5220.0,,,g8iv,6.44,,,HD 192699.xml
HD 195019 A,hd195019a,1.06,,,1.38,,,,,,,,0.08,,,,,,g3iv-v,6.91,,,HD 195019.xml
HD 195019 B,hd195019b,0.70,,,,,,,,,,,,,,,,,,,,,HD 195019.xml
HD 196050 A,hd196050a|hip101806,1.17,,,1.29,,,3.55,,,,,0.23,,,5874.0,,,g3v,7.5,,,HD 196050.xml
HD 196050 Ba,hd196050ba,0.29,,,,,,3.55,,,,,,,,,,,m3,,,,HD 196050.xml
HD 196050 Bb,hd196050bb,0.19,,,,,,3.55,,,,,,,,,,,m3.5,,,,HD 196050.xml
HD 196067,hd196067,1.29,,,1.73,,,3.3,,,,,0.18,,,5940.0,,,g0v,6.02,,,HD 196067.xml
HD 196885 A,hd196885a,1.33,,,1.79,,,0.5,,,,,0.29,,,6340.0,,,f8v,6.4,,,HD 196885.xml
HD 196885 B,hd196885b,0.55,,,,,,0.5,,,,,,,,,,,m1v,,,,HD 196885.xml
HD 197037 A,hd197037a|hip101948|tyc3161-126-1|sao49900|bd+413845a|2massj20393296+4214549,1.11,,,,,,1.90,,,,,-0.20,0.06,0.06,6150,100,100,f7v,6.813,0.010,0.010,HD 197037.xml
HD 197037 B,hd197037b|bd+413845b,0.3412,0.0477,0.0098,,,,,,,,,,,,,,,,,,,HD 197037.xml
HD 19994 A,hd19994a|94cetia|gliese128a|gj128a,1.34,,,1.93,,,,,,,,0.25,,,,,,f8v,5.07,,,HD 19994.xml
HD 19994 B,hd19994b|94cetib|gliese128b|gj128b,0.35,,,,,,,,,,,,,,,,,m3v,,,,HD 19994.xml
HD 20003,hd20003,,,,,,,,,,,,,,,5940.0,,,g8v,8.37,,,HD 20003.xml
HD 200964,hd200964|hip104202|tyc534-2537-1|sao126546|bd+034501|2massj21063983+0348110,1.44,0.09,0.09,4.3,0.09,0.09,3.0,0.6,0.6,,,-0.15,0.04,0.04,5164,44,44,k0,6.64,,,HD 200964.xml
HD 202206,hd202206,1.13,,,1.02,,,,,,,,0.37,,,5750.0,,,g6v,8.08,,,HD 202206.xml
HD 20367,hd20367,1.04,,,1.18,,,,,,,,0.1,,,6128.0,,,g0,6.41,,,HD 20367.xml
HD 2039,hd2039,0.98,,,1.21,,,,,,,,0.1,,,5947.0,,,g2/g3iv-v,9.01,,,HD 2039.xml
HD 204313,hd204313,1.045,,,,,,,,,,,0.18,,,5767.0,,,g5v,7.99,,,HD 204313.xml
HD 204941,hd204941,0.74,,,0.72,,,,,,,,-0.19,,,5056.0,,,k2v,8.45,,,HD 204941.xml
HD 205739,hd205739,1.22,,,1.33,,,,,,,,0.19,,,6176.0,,,f7v,8.56,,,HD 205739.xml
HD 206610,hd206610,1.56,,,6.1,,,,,,,,0.14,,,4874.0,,,k0,8.34,,,HD 206610.xml
HD 20782,hd20782|hip15527|tyc6445-136-1|sao168469|cd-291231|cpd-29382|2massj03200355-2851145|wdsj03201-2851a,1.02,0.02,0.02,1.09,0.04,0.04,5.53,1.43,1.43,,,0.01,0.03,0.03,5798,44,44,g1.5v,7.38,,,HD 20782.xml
HD 20781,hd20781|hip15526|tyc6445-983-1|sao168468|cd-291229|cpd-29381|2massj03200291-2847016|wdsj03201-2851b,0.760,,,,,,,,,,,-0.11,0.02,0.02,5256,29,29,g9.5v,8.44,0.01,0.01,HD 20782.xml
HD 207832,hd207832,0.94,,,0.901,,,,,,,,0.06,,,5710.0,,,g5v,5.11,,,HD 207832.xml
HD 20794,hd20794,0.70,,,,,,,,,,,-0.40,,,5490.0,,,g8v,4.26,,,HD 20794.xml
HD 208487,hd208487,1.3,,,1.15,,,,,,,,-0.06,,,5929.0,,,g2v,7.48,,,HD 208487.xml
HD 208527,hd208527,1.6,,,51.1,,,,,,,,-0.09,,,3950,,,k5v,6.4,,,HD 208527.xml
HD 20868,hd20868|hip15578|tyc7023-236-1|cd-341218|cpd-34338|2massj03204266-33433484,0.78,0.03,0.03,0.79,,,4.5,4,4,,,0.04,0.1,0.1,4795,124,124,k3/4iv,9.93,0.03,0.03,HD 20868.xml
HD 209458,hd209458,1.148,0.022,0.022,1.146,0.059,0.059,4,2,2,,,0.02,0.05,0.05,6075,33,33,g0v,7.63,0.01,0.01,HD 209458.xml
HD 210277,hd210277,1.09,,,1.1,,,,,,,,0.19,,,5532.0,,,g0,6.63,,,HD 210277.xml
HD 210702,hd210702|hip109577|tyc1681-1751-1|sao107729|hr8461|bd+154592|2massj22115133+1602260,1.68,,,5.1,,,,,,,,0.12,,,4967,25,25,k1iv,5.939,,,HD 210702.xml
HD 212301,hd212301,1.05,,,,,,,,,,,0.18,,,5998.0,,,f8v,7.77,,,HD 212301.xml
HD 212771,hd212771,1.15,,,5,,,,,,,,-0.21,,,5121.0,,,g8iv,7.6,,,HD 212771.xml
HD 213240 A,hd213240a,1.22,,,1.5,,,3.6,,,,,0.16,,,,,,g0v,6.8,,,HD 213240.xml
HD 213240 C,hd213240c,0.146,,,,,,,,,,,,,,,,,m,,,,HD 213240.xml
HD 215152,hd215152,,,,,,,,,,,,,,,5150.0,,,k0,8.13,,,HD 215152.xml
HD 215456,hd215456,,,,,,,,,,,,,,,5940.0,,,g0.5v,6.63,,,HD 215456.xml
HD 215497,hd215497,0.87,,,,,,,,,,,0.23,,,5113.0,,,k3v,8.97,,,HD 215497.xml
HD 216435,hd216435,1.3,,,2,,,,,,,,0.244,,,5767.0,,,g0v,6.03,,,HD 216435.xml
HD 216437,hd216437,1.06,,,1.1,,,,,,,,0.25,,,5636.0,,,g4iv-v,6.06,,,HD 216437.xml
HD 216536,hd216536|bd+434329|gsc03227-00413|tyc3227-413-1|2massj22530398+4428399,1.36,0.38,0.38,12.5,4.0,4.0,3.8,2.0,4.3,,,-0.17,0.09,0.09,4639,45,45,k0,9.23,0.02,0.02,HD 216536.xml
HD 216770,hd216770,0.9,,,1,,,,,,,,0.23,,,5248.0,,,k1v,8.1,,,HD 216770.xml
HD 21693,hd21693,,,,,,,,,,,,,,,5940.0,,,g9iv,7.94,,,HD 21693.xml
HD 217107,hd217107|hip113421|sao146412|tyc5235-1468-1|hr8734|bd-035539|2massj22581556-0223432,1.108,0.043,0.043,1.500,0.030,0.030,,,,,,0.389,0.030,0.030,5704,44,44,g8iv,6.16,,,HD 217107.xml
HD 217786 A,hd217786a|hip113834|tyc5242-591-1|sao146477|bd-014382a|2massj23030822-0025465,1.02,0.03,0.03,1.27,0.06,0.06,7.6,,,,,-0.135,0.043,0.043,5966,65,65,f8v,7.779,0.012,0.012,HD 217786.xml
HD 217786 B,hd217786b|bd-014382b,0.1622,0.0068,0.0071,,,,,,,,,,,,,,,,,,,HD 217786.xml
HD 218566,hd218566|hip114322|tyc5242-229-1|sao146533|gj4313|bd-035577|2massj23091067-0215385,0.85,0.03,0.03,0.86,0.08,0.08,8.5,,,,,0.38,,,4820.0,,,k3v,8.628,0.016,0.016,HD 218566.xml
HD 219077,hd219077,1.05,,,1.91,,,8.9,,,,,-0.13,,,5362.0,,,g8v+,6.12,,,HD 219077.xml
HD 219134,hd219134|bd+562966|gj892|hip114622|hr8832|2massj23131692+5710059|ppm41599|tyc4006-1866-1,0.794,0.022,0.037,0.778,0.005,0.005,12.9,,,,,0.11,0.04,0.04,4699,16,16,k3v,5.570,0.009,0.009,HD 219134.xml
HD 219415,hd219415|tyc4006-629-1|sao35261|bd+552926|2massj23145382+5643491|gsc04006-00629,1.0,0.1,0.1,2.9,0.4,0.4,,,,,,-0.04,0.09,0.09,4820,20,20,k0iii,8.91,0.01,0.01,HD 219415.xml
HD 219828,hd219828,1.24,,,1.7,,,,,,,,0.19,,,5891.0,,,g0iv,8.04,,,HD 219828.xml
HD 220074,hd220074,1.2,,,49.7,,,,,,,,-0.25,,,5080,,,k1v,6.4,,,HD 220074.xml
HD 220689,hd220689,1.01,,,1.07,,,3.5,,,,,0.00,,,5940.0,,,g3v,7.77,,,HD 220689.xml
HD 220773,hd220773,1.16,,,,,,,,,,,0.09,,,5940.0,,,f9,7.09,,,HD 220773.xml
HD 221287,hd221287,1.25,,,,,,,,,,,0.03,,,6304.0,,,f7v,7.82,,,HD 221287.xml
HD 222155,hd222155,1.13,,,1.67,,,,,,,,-0.11,,,5765.0,,,g2v,7.1,,,HD 222155.xml
HD 222582 A,hd222582a|hip116906a,0.99,,,1.15,,,,,,,,-0.0229,,,,,,g5,7.7,,,HD 222582.xml
HD 222582 B,hd222582b|hip116906b,0.2,,,,,,,,,,,,,,,,,m3.5v,,,,HD 222582.xml
HD 224693,hd224693,1.33,,,1.7,,,,,,,,0.343,,,6037.0,,,g2iv,8.23,,,HD 224693.xml
HD 22781,hd22781,0.75,,,,,,,,,,,-0.37,,,5027.0,,,k0v,8.77,,,HD 22781.xml
HD 23079,hd23079,1.1,,,1.13,,,,,,,,-0.24,,,5848.0,,,f8/g0v,7.1,,,HD 23079.xml
HD 23127,hd23127,1.13,,,,,,,,,,,0.34,,,5927.0,,,g2v,8.58,,,HD 23127.xml
HD 231701,hd231701,1.14,,,1.35,,,,,,,,0.07,,,6208.0,,,f8v,8.97,,,HD 231701.xml
HD 233604,hd233604|tyc3805-193-1|sao27142|bd+152940|2massj16002294+1532491,1.50,0.30,0.30,10.9,0.6,0.6,2.4,1.8,1.8,,,-0.36,0.04,0.04,4791,45,45,k5,10.29,0.05,0.05,HD 233604.xml
HD 23596,hd23596,1.27,,,2.09,,,,,,,,0.32,,,5888.0,,,f8,7.24,,,HD 23596.xml
HD 240210,hd240210|tyc4006-980-1|sao35195|bd+562959|2massj23102924+5701460,0.82,0.15,0.15,,,,,,,,,-0.18,0.12,0.12,4297,25,25,k3iii,8.27,0.01,0.01,HD 240210.xml
HD 240237,hd240237|hip114840|tyc4006-19-1|sao35269|bd+572714|2massj23154222+5802358,1.69,0.42,0.42,32,1,1,,,,,,-0.26,0.07,0.07,4361,10,10,k2iii,8.17,0.01,0.01,HD 240237.xml
HD 24040,hd24040|hip17960|sao93630|tyc1252-844-1|2massj03502296+1728349|bd+17638,1.18,0.10,0.10,1.154,0.039,0.039,,,,,,0.206,0.030,0.030,5853,44,44,g0,7.52,,,HD 24040.xml
HD 24064,hd24064|hip18451|tyc4339-2274-1|bd+73204|ppm5424|2massj03563629+7404482,1.0,0.1,0.1,38.0,2.9,2.9,,,,,,-0.49,0.06,0.06,4052.5,22.5,22.5,k0,6.72,0.01,0.01,HD 24064.xml
HD 25171,hd25171,1.09,,,1.18,,,,,,,,-0.11,,,6160.0,,,f8v,7.79,,,HD 25171.xml
HD 2567,hd2567|hd2567a|hip2292,,,,,,,,,,,,,,,,,,g0,7.76,0.01,0.01,HD 2638.xml
HD 2638,hd2638|hd2638b,0.87,,,,,,,,,,,0.16,,,5192,,,g5,9.44,,,HD 2638.xml
HD 2638 C,hd2638c,0.46,,,,,,,,,,,,,,,,,m1v,,,,HD 2638.xml
HD 27442 A,hd27442a|epsilonreticulia,1.2,,,6.6,,,,,,,,0.22,,,,,,k2iva,4.44,,,HD 27442.xml
HD 27442 B,hd27442b|epsilonreticulib,0.75,,,,,,,,,,,,,,,,,,,,,HD 27442.xml
HD 27631,hd27631,0.94,,,1.0,,,4.4,,,,,-0.12,,,5737,,,g3iv/v,8.25,,,HD 27631.xml
HD 27894,hd27894,0.8,,,,,,,,,,,0.3,,,4875.0,,,k2v,9.36,,,HD 27894.xml
HD 28185,hd28185,1.24,,,1.03,,,,,,,,0.24,,,5482.0,,,g5,7.81,,,HD 28185.xml
HD 28254,hd28254,1.06,,,1.48,,,,,,,,0.36,,,5664.0,,,g1iv/v,7.71,,,HD 28254.xml
HD 285507,hd285507|hip19207|2massj04070122+1520062|bd+14653,0.734,0.034,0.034,0.656,0.054,0.054,0.625,0.05,0.05,,,0.13,0.01,0.01,4503,61,85,k5d,10.5,,,HD 285507.xml
HD 28678,hd28678,1.74,,,6.2,,,,,,,,-0.11,,,5076.0,,,k0,8.54,,,HD 28678.xml
HD 290327,hd290327,0.9,,,1,,,,,,,,-0.11,,,5552.0,,,g8v,8.96,,,HD 290327.xml
HD 2952,hd2952|hr135,2.5,,,12.02,,,,,,,,0.00,,,4844,,,k0iii,5.930,,,HD 2952.xml
HD 30177,hd30177,0.95,,,1.12,,,,,,,,0.19,,,5320.0,,,g8v,8.41,,,HD 30177.xml
HD 30562,hd30562,1.23,,,1.53,,,3.6,,,,,0.29,,,5861.0,,,f8v,5.77,,,HD 30562.xml
HD 30669,hd30669|hip22320|tyc6471-465-1|sao169782|cd-281759|cpd-28661|2massj04482846-2825094,0.92,0.03,0.03,0.91,0.04,0.04,4.8,4,4,,,0.13,0.06,0.06,5400,74,74,g9v,9.11,0.01,0.01,HD 30669.xml
HD 30856,hd30856,1.35,,,4.2,,,,,,,,-0.06,,,4982.0,,,k0,8.07,,,HD 30856.xml
HD 31253,hd31253|hip22826|tyc692-497-1|sao94193|bd+12673|2massj04544364+1221079,1.23,0.05,0.05,1.71,0.17,0.17,3,,,,,0.16,,,5960,,,f8,7.13,0.01,0.01,HD 31253.xml
HD 31527,hd31527,,,,,,,,,,,,,,,5940.0,,,g0v,7.48,,,HD 31527.xml
HD 32518,hd32518|hip24003|tyc4346-320-1|sao13382|hr1636|bd+69302|2massj05093674+6938219,1.13,0.18,0.18,10.22,0.87,0.87,,,,,,-0.15,0.04,0.04,4580,70,70,k1iii,6.44,,,HD 32518.xml
HD 32963,hd32963|hip23884|tyc1853-1187-1|sao76970|bd+26789|2massj05075576+2619408,0.94,,,,,,4.99,3.55,6.71,,,0.11,0.05,0.05,5727,32,32,g3v,7.59,,,HD 32963.xml
HD 330075,hd330075,0.95,,,,,,,,,,,0.03,,,6295.0,,,g5,9.36,,,HD 330075.xml
HD 33142,hd33142,1.48,,,4.2,,,,,,,,0.05,,,5052.0,,,k0,8.13,,,HD 33142.xml
HD 33283,hd33283,1.24,,,1.2,,,,,,,,0.366,,,5995.0,,,g3v,8.05,,,HD 33283.xml
HD 33564,hd33564,1.25,,,1.1,,,,,,,,-0.12,,,6250.0,,,f6v,5.08,,,HD 33564.xml
HD 33844,hd33844|hip24275|tyc5342-401-1|sao150228|bd-15971|2massj05123609-1457039,1.78,0.18,0.18,5.29,0.41,0.41,1.88,0.48,0.76,,,0.27,0.09,0.09,4861,100,100,k0iii,7.29,0.01,0.01,HD 33844.xml
HD 34445,hd34445|hip24681|tyc112-182-1|sao112601|bd+07855,1.07,0.02,0.02,1.38,0.08,0.08,8.5,2.0,2.0,,,0.14,0.04,0.04,5836,44,44,g0v,7.33,0.01,0.01,HD 34445.xml
HD 3651,hd3651,0.79,,,0.947,,,,,,,,0.05,,,5173.0,,,k0v,5.8,,,HD 3651.xml
HD 37124,hd37124,0.83,,,0.82,,,,,,,,-0.442,,,5610.0,,,g4v,7.68,,,HD 37124.xml
HD 37605,hd37605,0.8,,,,,,,,,,,0.39,,,5448.0,,,k0v,8.69,,,HD 37605.xml
HD 38283,hd38283,1.085,,,,,,,,,,,-0.24,,,5945.0,,,f9.5v,6.7,,,HD 38283.xml
HD 38529 A,hd38529a|138g.orionisa,1.48,,,2.44,,,,,,,,0.27,,,,,,g4iv,5.94,,,HD 38529.xml
HD 38529 B,hd38529b,0.5,,,,,,,,,,,,,,,,,m3.0v,,,,HD 38529.xml
HD 38801,hd38801,1.36,,,2.53,,,,,,,,0.26,,,5222.0,,,k0iv,8.26,,,HD 38801.xml
HD 38858,hd38858,,,,,,,,,,,,,,,5940.0,,,g4v,5.97,,,HD 38858.xml
HD 39091,hd39091,1.1,,,2.1,,,,,,,,0.09,,,5888.0,,,g1iv,5.67,,,HD 39091.xml
HD 39194,hd39194,,,,,,,,,,,,,,,5150.0,,,k0v,8.08,,,HD 39194.xml
HD 39392,hd39392,1.08,0.08,0.08,,,,,,,,,-0.32,0.03,0.03,5951,42,42,f8,8.38,,,HD 39392.xml
HD 40307,hd40307,0.77,,,,,,,,,,,-0.31,,,4977.0,,,k2.5v,7.17,,,HD 40307.xml
HD 40979 A,hd40979a|hip28767a|2massj06042993+4415379a|bd+441353,1.1,,,1.21,,,1,,,,,0.194,,,,,,f8v,6.74,,,HD 40979.xml
HD 40979 B,hd40979b|bd+441351,0.833,,,,,,1,,,,,,,,,,,k5,,,,HD 40979.xml
HD 40979 C,hd40979c,0.380,,,,,,1,,,,,,,,,,,,,,,HD 40979.xml
HD 41004 A,hd41004a,0.4,,,,,,,,,,,-0.09,,,5035.0,,,m2,12.33,,,HD 41004.xml
HD 41004 B,hd41004b,0.7,,,,,,,,,,,,,,,,,k1v,,,,HD 41004.xml
HD 41004 B b,hd41004bb,0.0181410,,,,,,,,,,,,,,,,,,,,,HD 41004.xml
HD 4113,hd4113,0.99,,,,,,,,,,,0.2,,,5688.0,,,g5v,7.88,,,HD 4113.xml
HD 41248,hd41248,0.92,0.05,0.05,0.78,0.04,0.04,2,2,3,,,-0.43,0.1,0.1,5713,50,50,g2v,8.82,,,HD 41248.xml
HD 4203,hd4203,1.13,,,1.33,,,,,,,,0.453,,,5702.0,,,g5,8.68,,,HD 4203.xml
HD 4208,hd4208,0.87,,,0.85,,,,,,,,-0.284,,,5571.0,,,g5v,7.79,,,HD 4208.xml
HD 4308,hd4308,0.85,,,0.92,,,,,,,,-0.34,,,5597.0,,,g5v,6.54,,,HD 4308.xml
HD 4313,hd4313,1.72,,,4.9,,,,,,,,0.14,,,5035.0,,,g5d,7.83,,,HD 4313.xml
HD 43197,hd43197,0.96,,,1,,,,,,,,0.4,,,5508.0,,,g8v,8.95,,,HD 43197.xml
HD 43691,hd43691,1.38,,,,,,,,,,,0.28,,,6200.0,,,g0iv,8.03,,,HD 43691.xml
HD 44219,hd44219,1,,,1.32,,,,,,,,0.03,,,5752.0,,,g2v,7.69,,,HD 44219.xml
HD 45184,hd45184,,,,,,,,,,,,,,,5940.0,,,g1.5v,6.37,,,HD 45184.xml
HD 45350,hd45350,1.02,,,1.27,,,,,,,,0.29,,,5754.0,,,g5iv,7.88,,,HD 45350.xml
HD 45364,hd45364,0.82,,,,,,,,,,,-0.17,,,5434.0,,,k0v,8.08,,,HD 45364.xml
HD 45652,hd45652,0.83,,,,,,,,,,,0.29,,,5312.0,,,g8-k0,8.1,,,HD 45652.xml
HD 46375 A,hd46375a,0.91,,,1,,,,,,,,0.24,,,5199.0,,,k1iv,7.94,,,HD 46375.xml
HD 46375 B,hd46375b,0.58,,,,,,,,,,,,,,,,,k9.5-m1.5,,,,HD 46375.xml
HD 47186,hd47186,0.99,,,,,,,,,,,0.23,,,5675.0,,,g5v,7.8,,,HD 47186.xml
HD 4732,hd4732,1.74,,,5.4,,,,,,,,0.01,,,4959,,,k0iv,2.04,,,HD 4732.xml
HD 47536,hd47536,0.99,,,23.47,,,,,,,,-0.65,,,4380.0,,,k1iii,5.25,,,HD 47536.xml
HD 48265,hd48265,0.93,,,,,,,,,,,0.17,,,5940.0,,,g5v,8.07,,,HD 48265.xml
HD 49674,hd49674,1.07,,,0.94,,,,,,,,0.25,,,5482.0,,,g5v,8.1,,,HD 49674.xml
HD 50499,hd50499,1.27,,,1.38,,,,,,,,0.23,,,5902.0,,,giv,7.22,,,HD 50499.xml
HD 50554,hd50554,1.04,,,1.11,,,,,,,,-0.07,,,5902.0,,,f8,6.86,,,HD 50554.xml
HD 51608,hd51608,,,,,,,,,,,,,,,5150.0,,,k0iv,8.17,,,HD 51608.xml
HD 52265,hd52265,1.2,,,1.25,,,3.5,,,,,0.21,,,6159.0,,,g0v,6.3,,,HD 52265.xml
HD 5319,hd5319|hip4297|bd+00142|ppm144054|2massj00550140+0047223|sao109532|tyc12-104-1,1.51,0.11,0.11,3.26,,,,,,,,0.15,0.03,0.03,5052.0,,,g5iv,8.05,,,HD 5319.xml
HD 5608,hd5608|hip4552|tyc2285-553-1|sao54306|hr275|bd+33140|2massj00581422+3357031,1.55,,,5.5,,,,,,,,0.06,0.04,0.04,4854,25,25,k0iv,5.999,,,HD 5608.xml
HD 564,hd564|hip801|tyc8028-677-1|sao231952|cd-5022|cpd-5015|2massj00095283-5016041,0.961,0.05,0.05,1.01,0.05,0.05,5.5,3.1,3.1,,,-0.2,0.05,0.05,5902,61,61,g2,8.29,0.01,0.01,HD 564.xml
HD 5891,hd5891,1.91,,,8.7,,,,,,,,-0.02,,,4907.0,,,g5d,8.25,,,HD 5891.xml
HD 59686,hd59686,,,,11.62,,,,,,,,,,,5150.0,,,k2iii,5.45,,,HD 59686.xml
HD 60532,hd60532,1.44,,,,,,,,,,,-0.26,,,6095.0,,,f6iv-v,4.45,,,HD 60532.xml
