Primary planet name(from standardize_OEC_planet.csv),pl_name(from standardize_NASA_Catalogue_Data.csv),Lists(from standardize_OEC_planet.csv),Lists(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup](from standardize_OEC_planet.csv),pl_bmassj(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorminus(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] errorplus(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] lowerlimit(from standardize_OEC_planet.csv),pl_bmassjerr2(from standardize_NASA_Catalogue_Data.csv),Mass [Mjup] upperlimit(from standardize_OEC_planet.csv),pl_bmassjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup](from standardize_OEC_planet.csv),pl_radj(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorminus(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] errorplus(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] lowerlimit(from standardize_OEC_planet.csv),pl_radjerr2(from standardize_NASA_Catalogue_Data.csv),Radius [Rjup] upperlimit(from standardize_OEC_planet.csv),pl_radjerr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days](from standardize_OEC_planet.csv),pl_orbper(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorminus(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] errorplus(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] lowerlimit(from standardize_OEC_planet.csv),pl_orbpererr2(from standardize_NASA_Catalogue_Data.csv),Orbital period [days] upperlimit(from standardize_OEC_planet.csv),pl_orbpererr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity(from standardize_OEC_planet.csv),pl_orbeccen(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorminus(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity errorplus(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Eccentricity lowerlimit(from standardize_OEC_planet.csv),pl_orbeccenerr2(from standardize_NASA_Catalogue_Data.csv),Eccentricity upperlimit(from standardize_OEC_planet.csv),pl_orbeccenerr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K](from standardize_OEC_planet.csv),pl_eqt(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorminus(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] errorplus(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] lowerlimit(from standardize_OEC_planet.csv),pl_eqterr2(from standardize_NASA_Catalogue_Data.csv),Equilibrium temperature [K] upperlimit(from standardize_OEC_planet.csv),pl_eqterr1(from standardize_NASA_Catalogue_Data.csv),Discovery method(from standardize_OEC_planet.csv),Discovery method(from standardize_NASA_Catalogue_Data.csv),Discovery year(from standardize_OEC_planet.csv),pl_publ_date(from standardize_NASA_Catalogue_Data.csv),Last updated [yy/mm/dd](from standardize_OEC_planet.csv),Last updated [yy/mm/dd](from standardize_NASA_Catalogue_Data.csv),source (xml)(from standardize_OEC_planet.csv),source (xml)(from standardize_NASA_Catalogue_Data.csv)
Kepler-290 c,Kepler-290 c,confirmedplanets,,,,,,,,,,,,0.24605,0.241,0.03554,0.124,0.12667,0.124,,0.124,,0.124,,,,,,,,0.00018300,,0.00018300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-290.xml,
Kepler-291 c,Kepler-291 c,confirmedplanets,,,,,,,,,,,,0.17132,0.168,0.07473,0.073,0.07473,0.073,,0.073,,0.073,,,,,,,,0.00005500,,0.00005500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-291.xml,
Kepler-292 b,Kepler-292 b,confirmedplanets,,,,,,,,,,,,0.12029,0.118,0.01276,0.012,0.01276,0.012,,0.012,,0.012,,,,,,,,0.00002000,,0.00002000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-292.xml,
Kepler-292 c,Kepler-292 c,confirmedplanets,,,,,,,,,,,,0.13396,0.131,0.01367,0.013,0.01367,0.013,,0.013,,0.013,,,,,,,,0.00003300,,0.00003300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-292.xml,
Kepler-292 e,Kepler-292 e,confirmedplanets,,,,,,,,,,,,0.24332,0.238,0.03190,0.031,0.03190,0.031,,0.031,,0.031,,,,,,,,0.00010100,,0.00010100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-292.xml,
Kepler-292 f,Kepler-292 f,confirmedplanets,,,,,,,,,,,,0.21416,0.210,0.02005,0.020,0.02005,0.020,,0.020,,0.020,,,,,,,,0.00018400,,0.00018400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-292.xml,
Kepler-293 b,Kepler-293 b,confirmedplanets,,,,,,,,,,,,0.27977,0.274,0.02734,0.116,0.11847,0.116,,0.116,,0.116,,,,,,,,0.00007900,,0.00007900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-293.xml,
Kepler-294 b,Kepler-294 b,confirmedplanets,,,,,,,,,,,,0.16130,0.158,0.07564,0.074,0.07564,0.074,,0.074,,0.074,,,,,,,,0.00002500,,0.00002500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-294.xml,
Kepler-294 c,Kepler-294 c,confirmedplanets,,,,,,,,,,,,0.24696,0.242,0.02461,0.113,0.11574,0.113,,0.113,,0.113,,,,,,,,0.00002800,,0.00002800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-294.xml,
Kepler-295 c,Kepler-295 c,confirmedplanets,,,,,,,,,,,,0.10662,0.104,0.05650,0.055,0.05650,0.055,,0.055,,0.055,,,,,,,,0.00033600,,0.00033600,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-295.xml,
Kepler-296 b,Kepler-296 b,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,0.024,,0.026,,,,,,,,0.00004600,,0.00005100,,0.330000,,,,,,,0.33,,,,,,,,,,,,transit,,,,15/05/11,,Kepler-296.xml,
Kepler-296 c,Kepler-296 c,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,0.029,,0.029,,,,,,,,0.00001000,,0.00001000,,0.330000,,,,,,,0.33,,,,,,,,,,,,transit,,,,15/05/11,,Kepler-296.xml,
Kepler-296 d,Kepler-296 d,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,0.029,,0.029,,,,,,,,0.00005700,,0.00006100,,0.330000,,,,,,,0.33,,,,,,,,,,,,transit,,,,15/05/11,,Kepler-296.xml,
Kepler-296 f,Kepler-296 f,confirmedplanets|planetsinbinarysystems|s-type,,,,,,,,,,,,,,,,,,,0.027,,0.028,,,,,,,,0.00062000,,0.00060000,,0.330000,,,,,,,0.33,,,,,,,,,,,,transit,,,,15/05/11,,Kepler-296.xml,
Kepler-297 b,Kepler-297 b,confirmedplanets,,,,,,,,,,,,0.26154,0.256,0.04739,0.046,0.04739,0.046,,0.046,,0.046,,,,,,,,0.00015300,,0.00015300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-297.xml,
Kepler-297 c,Kepler-297 c,confirmedplanets,,0.13,,0.03,,0.04,,,,,,0.66,0.583,0.07,0.105,0.30,0.105,,0.105,,0.105,,,,,,,,0.00012000,,0.00012000,,,,,,,,,,,,,,,,,,,,,transit,,,,15/12/03,,Kepler-297.xml,
Kepler-298 c,Kepler-298 c,confirmedplanets,,,,,,,,,,,,0.17588,0.172,0.02005,0.020,0.02005,0.020,,0.020,,0.020,,,,,,,,0.00038000,,0.00038000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-298.xml,
Kepler-298 d,Kepler-298 d,confirmedplanets,,,,,,,,,,,,0.22783,0.223,0.01823,0.018,0.01823,0.018,,0.018,,0.018,,,,,,,,0.00061500,,0.00061500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-298.xml,
Kepler-299 b,Kepler-299 b,confirmedplanets,,,,,,,,,,,,0.12029,0.118,0.02461,0.024,0.02461,0.024,,0.024,,0.024,,,,,,,,0.00003300,,0.00003300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-299.xml,
Kepler-299 c,Kepler-299 c,confirmedplanets,,,,,,,,,,,,0.24150,0.236,0.05741,0.056,0.05741,0.056,,0.056,,0.056,,,,,,,,0.00004000,,0.00004000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-299.xml,
Kepler-299 e,Kepler-299 e,confirmedplanets,,,,,,,,,,,,0.17041,0.167,0.03554,0.035,0.03554,0.035,,0.035,,0.035,,,,,,,,0.00142800,,0.00142800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-299.xml,
Kepler-300 b,Kepler-300 b,confirmedplanets,,,,,,,,,,,,0.15219,0.149,0.06926,0.068,0.06926,0.068,,0.068,,0.068,,,,,,,,0.00004300,,0.00004300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-300.xml,
Kepler-300 c,Kepler-300 c,confirmedplanets,,,,,,,,,,,,0.20504,0.201,0.00365,0.093,0.09478,0.093,,0.093,,0.093,,,,,,,,0.00024500,,0.00024500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-300.xml,
Kepler-301 c,Kepler-301 c,confirmedplanets,,,,,,,,,,,,0.12303,0.120,0.06561,0.064,0.06561,0.064,,0.064,,0.064,,,,,,,,0.00003200,,0.00003200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-301.xml,
Kepler-301 d,Kepler-301 d,confirmedplanets,,,,,,,,,,,,0.15948,0.156,0.08566,0.084,0.08566,0.084,,0.084,,0.084,,,,,,,,0.00008100,,0.00008100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-301.xml,
Kepler-302 b,Kepler-302 b,confirmedplanets,,,,,,,,,,,,0.36999,0.362,0.07746,0.076,0.07746,0.076,,0.076,,0.076,,,,,,,,0.00020300,,0.00020300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-302.xml,
Kepler-302 c,Kepler-302 c,confirmedplanets,,,,,,,,,,,,1.13457,1.111,0.04921,0.227,0.23147,0.227,,0.227,,0.227,,,,,,,,0.00042700,,0.00042700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-302.xml,
Kepler-303 b,Kepler-303 b,confirmedplanets,,,,,,,,,,,,0.08111,0.079,0.00456,0.004,0.00456,0.004,,0.004,,0.004,,,,,,,,0.00000400,,0.00000400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-303.xml,
Kepler-303 c,Kepler-303 c,confirmedplanets,,,,,,,,,,,,0.10389,0.102,0.00820,0.008,0.00820,0.008,,0.008,,0.008,,,,,,,,0.00001900,,0.00001900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-303.xml,
Kepler-304 b,Kepler-304 b,confirmedplanets,,,,,,,,,,,,0.26063,0.255,0.01914,0.019,0.01914,0.019,,0.019,,0.019,,,,,,,,0.00000200,,0.00000200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-304.xml,
Kepler-304 d,Kepler-304 d,confirmedplanets,,,,,,,,,,,,0.25061,0.245,0.01914,0.019,0.01914,0.019,,0.019,,0.019,,,,,,,,0.00001500,,0.00001500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-304.xml,
Kepler-305 b,Kepler-305 b,confirmedplanets,,,0.03300,,0.00600,,0.00800,,0.00600,,0.00800,0.26246,0.321,0.01823,0.032,0.01823,0.080,,0.032,,0.080,5.487108,5.48700000,.000021,,0.000021,,,,,,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-305.xml,
Kepler-305 c,Kepler-305 c,confirmedplanets,,,0.01900,,0.00700,,0.00800,,0.00700,,0.00800,0.25608,0.294,0.02734,0.029,0.02734,0.073,,0.029,,0.073,8.290858,8.29100000,.000056,,0.000056,,,,,,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-305.xml,
Kepler-305 d,Kepler-305 d,confirmedplanets,,,,,,,,,,,,0.24696,0.242,0.03736,0.037,0.03736,0.037,,0.037,,0.037,,,,,,,,0.00014500,,0.00014500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-305.xml,
Kepler-306 b,Kepler-306 b,confirmedplanets,,,,,,,,,,,,0.13852,0.136,0.00911,0.009,0.00911,0.009,,0.009,,0.009,,,,,,,,0.00002500,,0.00002500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-306.xml,
Kepler-306 c,Kepler-306 c,confirmedplanets,,,,,,,,,,,,0.21416,0.210,0.01731,0.017,0.01731,0.017,,0.017,,0.017,,,,,,,,0.00003200,,0.00003200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-306.xml,
Kepler-306 e,Kepler-306 e,confirmedplanets,,,,,,,,,,,,0.20687,0.203,0.01367,0.013,0.01367,0.013,,0.013,,0.013,,,,,,,,0.00043900,,0.00043900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-306.xml,
Kepler-307 b,Kepler-307 b,confirmedplanets,,0.023403,0.02341,,,0.002854,0.00286,,0.00274,,0.00286,0.29162,0.217,0.02825,0.008,0.11938,0.008,,0.008,,0.008,10.416,10.42080000,,0.00080000,,0.00090000,,0.00080000,,0.00090000,,,,,,,,,,,,,,,,,,,,,transit,,2013,2014,16/01/13,,Kepler-307.xml,
Kepler-307 c,Kepler-307 c,confirmedplanets,,0.011468,0.01145,0.001825,0.00182,0.002055,0.00205,,0.00182,,0.00205,0.25516,0.196,0.01276,0.006,0.10389,0.006,,0.006,,0.006,13.084,13.07290000,,0.00120000,,0.00120000,,0.00120000,,0.00120000,,,,,,,,,,,,,,,,,,,,,transit,,2013,2014,16/01/13,,Kepler-307.xml,
Kepler-308 c,Kepler-308 c,confirmedplanets,,,,,,,,,,,,0.19684,0.193,0.00365,0.093,0.09478,0.093,,0.093,,0.093,,,,,,,,0.00017100,,0.00017100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-308.xml,
Kepler-309 b,Kepler-309 b,confirmedplanets,,,,,,,,,,,,0.14216,0.139,0.01276,0.012,0.01276,0.012,,0.012,,0.012,,,,,,,,0.00002800,,0.00002800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-309.xml,
Kepler-309 c,Kepler-309 c,confirmedplanets,,,,,,,,,,,,0.22874,0.224,0.01640,0.016,0.01640,0.016,,0.016,,0.016,,,,,,,,0.00085700,,0.00085700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-309.xml,
Kepler-304 c,Kepler-304 c,confirmedplanets,,,,,,,,,,,,0.19775,0.194,0.01367,0.013,0.01367,0.013,,0.013,,0.013,,,,,,,,0.00000700,,0.00000700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-304.xml,
Kepler-310 c,Kepler-310 c,confirmedplanets,,,,,,,,,,,,0.30802,0.302,0.05286,0.141,0.14399,0.141,,0.141,,0.141,,,,,,,,0.00020700,,0.00020700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-310.xml,
Kepler-310 d,Kepler-310 d,confirmedplanets,,,,,,,,,,,,0.22509,0.220,0.01367,0.103,0.10480,0.103,,0.103,,0.103,,,,,,,,0.00078500,,0.00078500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-310.xml,
Kepler-311 b,Kepler-311 b,confirmedplanets,,,,,,,,,,,,0.15492,0.152,0.03007,0.029,0.03007,0.029,,0.029,,0.029,,,,,,,,0.00005700,,0.00005700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-311.xml,
Kepler-311 c,Kepler-311 c,confirmedplanets,,,,,,,,,,,,0.13032,0.128,0.02552,0.025,0.02552,0.025,,0.025,,0.025,,,,,,,,0.00020500,,0.00020500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-311.xml,
Kepler-312 c,Kepler-312 c,confirmedplanets,,,,,,,,,,,,0.28706,0.281,0.05559,0.054,0.05559,0.054,,0.054,,0.054,,,,,,,,0.00006800,,0.00006800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-312.xml,
Kepler-313 b,Kepler-313 b,confirmedplanets,,,,,,,,,,,,0.23056,0.226,0.02825,0.028,0.02825,0.028,,0.028,,0.028,,,,,,,,0.00011400,,0.00011400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-313.xml,
Kepler-313 c,Kepler-313 c,confirmedplanets,,,,,,,,,,,,0.23420,0.229,0.03827,0.037,0.03827,0.037,,0.037,,0.037,,,,,,,,0.00081900,,0.00081900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-313.xml,
Kepler-314 c,Kepler-314 c,confirmedplanets,,,,,,,,,,,,0.26428,0.259,0.03919,0.038,0.03919,0.038,,0.038,,0.038,,,,,,,,0.00000500,,0.00000500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-314.xml,
Kepler-315 b,Kepler-315 b,confirmedplanets,,,,,,,,,,,,0.34356,0.336,0.07108,0.070,0.07108,0.070,,0.070,,0.070,,,,,,,,0.00091800,,0.00091800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-315.xml,
Kepler-315 c,Kepler-315 c,confirmedplanets,,,,,,,,,,,,0.37819,0.370,0.08749,0.086,0.08749,0.086,,0.086,,0.086,,,,,,,,0.00622300,,0.00622300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-315.xml,
Kepler-316 c,Kepler-316 c,confirmedplanets,,,,,,,,,,,,0.10571,0.103,0.01094,0.011,0.01094,0.011,,0.011,,0.011,,,,,,,,0.00003400,,0.00003400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-316.xml,
Kepler-317 b,Kepler-317 b,confirmedplanets,,,,,,,,,,,,0.19046,0.186,0.08749,0.086,0.08749,0.086,,0.086,,0.086,,,,,,,,0.00002700,,0.00002700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-317.xml,
Kepler-317 c,Kepler-317 c,confirmedplanets,,,,,,,,,,,,0.15674,0.153,0.07199,0.070,0.07199,0.070,,0.070,,0.070,,,,,,,,0.00011300,,0.00011300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-317.xml,
Kepler-332 c,Kepler-332 c,confirmedplanets,,,,,,,,,,,,0.09933,0.097,0.00729,0.007,0.00729,0.007,,0.007,,0.007,,,,,,,,0.00010800,,0.00010800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-332.xml,
Kepler-318 c,Kepler-318 c,confirmedplanets,,,,,,,,,,,,0.33536,0.328,0.05923,0.058,0.05923,0.058,,0.058,,0.058,,,,,,,,0.00002000,,0.00002000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-318.xml,
Kepler-319 b,Kepler-319 b,confirmedplanets,,,,,,,,,,,,0.14854,0.145,0.02096,0.021,0.02096,0.021,,0.021,,0.021,,,,,,,,0.00000900,,0.00000900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-319.xml,
Kepler-319 c,Kepler-319 c,confirmedplanets,,,,,,,,,,,,0.23967,0.235,0.03372,0.033,0.03372,0.033,,0.033,,0.033,,,,,,,,0.00000700,,0.00000700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-319.xml,
Kepler-319 d,Kepler-319 d,confirmedplanets,,,,,,,,,,,,0.20869,0.204,0.03190,0.031,0.03190,0.031,,0.031,,0.031,,,,,,,,0.00010500,,0.00010500,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-319.xml,
Kepler-320 c,Kepler-320 c,confirmedplanets,,,,,,,,,,,,0.12485,0.122,0.05832,0.057,0.05832,0.057,,0.057,,0.057,,,,,,,,0.00028100,,0.00028100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-320.xml,
Kepler-321 b,Kepler-321 b,confirmedplanets,,,,,,,,,,,,0.16130,0.158,0.03098,0.030,0.03098,0.030,,0.030,,0.030,,,,,,,,0.00001000,,0.00001000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-321.xml,
Kepler-321 c,Kepler-321 c,confirmedplanets,,,,,,,,,,,,0.21142,0.207,0.04101,0.040,0.04101,0.040,,0.040,,0.040,,,,,,,,0.00002400,,0.00002400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-321.xml,
Kepler-322 c,Kepler-322 c,confirmedplanets,,,,,,,,,,,,0.15219,0.149,0.01640,0.016,0.01640,0.016,,0.016,,0.016,,,,,,,,0.00000900,,0.00000900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-322.xml,
Kepler-323 b,Kepler-323 b,confirmedplanets,,,,,,,,,,,,0.13032,0.128,0.02552,0.025,0.02552,0.025,,0.025,,0.025,,,,,,,,0.00000300,,0.00000300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-323.xml,
Kepler-323 c,Kepler-323 c,confirmedplanets,,,,,,,,,,,,0.14854,0.145,0.02916,0.029,0.02916,0.029,,0.029,,0.029,,,,,,,,0.00000800,,0.00000800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-323.xml,
Kepler-324 c,Kepler-324 c,confirmedplanets,,,,,,,,,,,,0.28706,0.281,0.03007,0.029,0.03007,0.029,,0.029,,0.029,,,,,,,,0.00031400,,0.00031400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-324.xml,
Kepler-325 b,Kepler-325 b,confirmedplanets,,,,,,,,,,,,0.26519,0.260,0.04010,0.128,0.13123,0.128,,0.128,,0.128,,,,,,,,0.00000800,,0.00000800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-325.xml,
Kepler-325 c,Kepler-325 c,confirmedplanets,,,,,,,,,,,,0.23147,0.227,0.02369,0.112,0.11482,0.112,,0.112,,0.112,,,,,,,,0.00006400,,0.00006400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-325.xml,
Kepler-326 b,Kepler-326 b,confirmedplanets,,,,,,,,,,,,0.13852,0.136,0.01458,0.014,0.01458,0.014,,0.014,,0.014,,,,,,,,0.00000400,,0.00000400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-326.xml,
Kepler-326 c,Kepler-326 c,confirmedplanets,,,,,,,,,,,,0.12758,0.125,0.00911,0.009,0.00911,0.009,,0.009,,0.009,,,,,,,,0.00001000,,0.00001000,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-326.xml,
Kepler-326 d,Kepler-326 d,confirmedplanets,,,,,,,,,,,,0.11027,0.108,0.00820,0.008,0.00820,0.008,,0.008,,0.008,,,,,,,,0.00002300,,0.00002300,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-326.xml,
Kepler-327 b,Kepler-327 b,confirmedplanets,,,,,,,,,,,,0.10115,0.099,0.00456,0.004,0.00456,0.004,,0.004,,0.004,,,,,,,,0.00000600,,0.00000600,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-327.xml,
Kepler-327 d,Kepler-327 d,confirmedplanets,,,,,,,,,,,,0.15766,0.154,0.00911,0.009,0.00911,0.009,,0.009,,0.009,,,,,,,,0.00003100,,0.00003100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-327.xml,
KOI-1873.02,Kepler-328 b,confirmedplanets,,0.07046,0.09000,0.00283,0.03900,0.20825,0.04100,,0.03900,,0.04100,0.20960,0.205,0.07746,0.021,0.07746,0.086,,0.021,,0.086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,transit,,2013,2014,13/09/13,,KOI-1873.xml,
Kepler-329 c,Kepler-329 c,confirmedplanets,,,,,,,,,,,,0.17588,0.172,0.02643,0.026,0.02643,0.026,,0.026,,0.026,,,,,,,,0.00008900,,0.00008900,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-329.xml,
Kepler-330 b,Kepler-330 b,confirmedplanets,,,,,,,,,,,,0.12303,0.120,0.04830,0.047,0.04830,0.047,,0.047,,0.047,,,,,,,,0.00007600,,0.00007600,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-330.xml,
Kepler-330 c,Kepler-330 c,confirmedplanets,,,,,,,,,,,,0.17770,0.174,0.06561,0.064,0.06561,0.064,,0.064,,0.064,,,,,,,,0.00007600,,0.00007600,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-330.xml,
Kepler-331 c,Kepler-331 c,confirmedplanets,,,,,,,,,,,,0.16768,0.164,0.01731,0.017,0.01731,0.017,,0.017,,0.017,,,,,,,,0.00006400,,0.00006400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-331.xml,
Kepler-331 d,Kepler-331 d,confirmedplanets,,,,,,,,,,,,0.14945,0.146,0.01549,0.015,0.01549,0.015,,0.015,,0.015,,,,,,,,0.00021600,,0.00021600,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-331.xml,
Kepler-332 b,Kepler-332 b,confirmedplanets,,,,,,,,,,,,0.10662,0.104,0.00729,0.007,0.00729,0.007,,0.007,,0.007,,,,,,,,0.00002800,,0.00002800,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-332.xml,
Kepler-333 b,Kepler-333 b,confirmedplanets,,,,,,,,,,,,0.12029,0.118,0.01458,0.014,0.01458,0.014,,0.014,,0.014,,,,,,,,0.00004400,,0.00004400,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-333.xml,
Kepler-333 c,Kepler-333 c,confirmedplanets,,,,,,,,,,,,0.10115,0.099,0.01823,0.018,0.01823,0.018,,0.018,,0.018,,,,,,,,0.00020700,,0.00020700,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-333.xml,
Kepler-334 b,Kepler-334 b,confirmedplanets,,,,,,,,,,,,0.10207,0.100,0.01914,0.019,0.01914,0.019,,0.019,,0.019,,,,,,,,0.00002100,,0.00002100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-334.xml,
Kepler-334 d,Kepler-334 d,confirmedplanets,,,,,,,,,,,,0.12849,0.126,0.02369,0.023,0.02369,0.023,,0.023,,0.023,,,,,,,,0.00014200,,0.00014200,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-334.xml,
Kepler-335 b,Kepler-335 b,confirmedplanets,,,,,,,,,,,,0.30893,0.302,0.06106,0.060,0.06106,0.060,,0.060,,0.060,,,,,,,,0.00003100,,0.00003100,,,,,,,,,,,,,,,,,,,,,transit,,,,14/02/26,,Kepler-335.xml,
